key,p10,p50,p90,base_final,top_lever,top_rho
custom,518.7,635.9,796.8,664.3,cognitive_feasibility,0.6407
custom~cw-robot-tax,490.8,639.6,788.5,655.9,adoption_end,0.6994
custom~grt-robot-tax,484.1,631.7,781.5,648.4,adoption_end,0.6963
custom~ubi,1586.1,1866.5,2147.4,1846.9,ubi_annual,0.8228
custom~compute-parity,465.1,563.4,719.4,596.7,adoption_end,0.6145
custom~cw-robot-tax+ubi,1569.4,1846.9,2069.3,1838.5,ubi_annual,0.7701
custom~cw-robot-tax+compute-parity,443.4,565.0,701.8,588.3,adoption_end,0.6704
custom~grt-robot-tax+ubi,1562.6,1838.7,2060.0,1831.0,ubi_annual,0.7725
custom~grt-robot-tax+compute-parity,436.7,556.7,692.6,580.8,adoption_end,0.6674
custom~ubi+compute-parity,1526.0,1797.0,2071.3,1779.3,ubi_annual,0.8391
custom~cw-robot-tax+ubi+compute-parity,1497.3,1771.7,1996.1,1770.9,ubi_annual,0.7945
custom~grt-robot-tax+ubi+compute-parity,1492.5,1763.2,1989.7,1763.4,ubi_annual,0.7966
acemoglu-modest,-16.8,-9.6,-2.7,-11.2,reabsorption_rate,-0.6612
acemoglu-modest~cw-robot-tax,-17.9,-10.3,-4.0,-11.7,reabsorption_rate,-0.5823
acemoglu-modest~grt-robot-tax,-18.4,-10.7,-4.6,-12.1,reabsorption_rate,-0.5813
acemoglu-modest~ubi,1034.7,1302.5,1552.6,1279.9,ubi_annual,0.9196
acemoglu-modest~compute-parity,-20.5,-13.4,-6.0,-15.0,reabsorption_rate,-0.6167
acemoglu-modest~cw-robot-tax+ubi,1067.9,1280.0,1503.0,1279.5,ubi_annual,0.9106
acemoglu-modest~cw-robot-tax+compute-parity,-22.4,-14.0,-8.0,-15.4,reabsorption_rate,-0.5446
acemoglu-modest~grt-robot-tax+ubi,1067.6,1279.5,1502.6,1279.1,ubi_annual,0.9107
acemoglu-modest~grt-robot-tax+compute-parity,-22.8,-14.3,-8.4,-15.9,reabsorption_rate,-0.543
acemoglu-modest~ubi+compute-parity,1030.7,1298.5,1548.1,1276.2,ubi_annual,0.9191
acemoglu-modest~cw-robot-tax+ubi+compute-parity,1064.7,1276.0,1500.3,1275.7,ubi_annual,0.9109
acemoglu-modest~grt-robot-tax+ubi+compute-parity,1064.3,1275.6,1499.9,1275.3,ubi_annual,0.911
brynjolfsson-augment,-89.7,-66.4,-52.5,-71.1,adoption_end,-0.6399
brynjolfsson-augment~cw-robot-tax,-89.5,-67.5,-54.1,-73.0,adoption_end,-0.5643
brynjolfsson-augment~grt-robot-tax,-91.4,-69.2,-55.6,-74.6,adoption_end,-0.5722
brynjolfsson-augment~ubi,992.7,1257.7,1511.8,1222.0,ubi_annual,0.9096
brynjolfsson-augment~compute-parity,-108.1,-81.0,-63.3,-86.3,adoption_end,-0.6702
brynjolfsson-augment~cw-robot-tax+ubi,966.5,1214.4,1458.9,1220.1,ubi_annual,0.9051
brynjolfsson-augment~cw-robot-tax+compute-parity,-106.8,-81.7,-65.1,-88.2,adoption_end,-0.6019
brynjolfsson-augment~grt-robot-tax+ubi,964.7,1212.4,1456.9,1218.4,ubi_annual,0.905
brynjolfsson-augment~grt-robot-tax+compute-parity,-108.7,-83.3,-66.4,-89.9,adoption_end,-0.6083
brynjolfsson-augment~ubi+compute-parity,977.3,1242.9,1490.7,1206.7,ubi_annual,0.9087
brynjolfsson-augment~cw-robot-tax+ubi+compute-parity,950.8,1202.1,1446.6,1204.8,ubi_annual,0.9058
brynjolfsson-augment~grt-robot-tax+ubi+compute-parity,949.0,1200.4,1444.6,1203.2,ubi_annual,0.9057
windfall-medium,150.4,208.2,303.0,223.9,adoption_end,0.5443
windfall-medium~cw-robot-tax,139.3,203.4,291.6,218.2,reabsorption_rate,-0.4824
windfall-medium~grt-robot-tax,134.3,198.8,286.6,213.1,reabsorption_rate,-0.4879
windfall-medium~ubi,1195.1,1479.4,1754.1,1452.3,ubi_annual,0.9001
windfall-medium~compute-parity,150.4,208.2,303.0,223.9,adoption_end,0.5443
windfall-medium~cw-robot-tax+ubi,1202.0,1445.1,1680.2,1446.5,ubi_annual,0.8641
windfall-medium~cw-robot-tax+compute-parity,139.3,203.4,291.6,218.2,reabsorption_rate,-0.4824
windfall-medium~grt-robot-tax+ubi,1196.5,1439.6,1676.2,1441.4,ubi_annual,0.8651
windfall-medium~grt-robot-tax+compute-parity,134.3,198.8,286.6,213.1,reabsorption_rate,-0.4879
