filing_status,state,income_band_lo,income_band_hi,n_children,prob,source_level,n_unweighted
Single,Alabama,,25000.0,0,1.0,filing_state_band,2717
Single,Alabama,,25000.0,1,0.0,filing_state_band,2717
Single,Alabama,,25000.0,2,0.0,filing_state_band,2717
Single,Alabama,,25000.0,3+,0.0,filing_state_band,2717
Single,Alabama,25000.0,55000.0,0,1.0,filing_state_band,2395
Single,Alabama,25000.0,55000.0,1,0.0,filing_state_band,2395
Single,Alabama,25000.0,55000.0,2,0.0,filing_state_band,2395
Single,Alabama,25000.0,55000.0,3+,0.0,filing_state_band,2395
Single,Alabama,55000.0,,0,1.0,filing_state_band,2307
Single,Alabama,55000.0,,1,0.0,filing_state_band,2307
Single,Alabama,55000.0,,2,0.0,filing_state_band,2307
Single,Alabama,55000.0,,3+,0.0,filing_state_band,2307
Single,Alaska,,25000.0,0,1.0,filing_state_band,210
Single,Alaska,,25000.0,1,0.0,filing_state_band,210
Single,Alaska,,25000.0,2,0.0,filing_state_band,210
Single,Alaska,,25000.0,3+,0.0,filing_state_band,210
Single,Alaska,25000.0,55000.0,0,1.0,filing_state_band,236
Single,Alaska,25000.0,55000.0,1,0.0,filing_state_band,236
Single,Alaska,25000.0,55000.0,2,0.0,filing_state_band,236
Single,Alaska,25000.0,55000.0,3+,0.0,filing_state_band,236
Single,Alaska,55000.0,,0,1.0,filing_state_band,374
Single,Alaska,55000.0,,1,0.0,filing_state_band,374
Single,Alaska,55000.0,,2,0.0,filing_state_band,374
Single,Alaska,55000.0,,3+,0.0,filing_state_band,374
Single,Arizona,,25000.0,0,1.0,filing_state_band,2597
Single,Arizona,,25000.0,1,0.0,filing_state_band,2597
Single,Arizona,,25000.0,2,0.0,filing_state_band,2597
Single,Arizona,,25000.0,3+,0.0,filing_state_band,2597
Single,Arizona,25000.0,55000.0,0,1.0,filing_state_band,3059
Single,Arizona,25000.0,55000.0,1,0.0,filing_state_band,3059
Single,Arizona,25000.0,55000.0,2,0.0,filing_state_band,3059
Single,Arizona,25000.0,55000.0,3+,0.0,filing_state_band,3059
Single,Arizona,55000.0,,0,1.0,filing_state_band,4733
Single,Arizona,55000.0,,1,0.0,filing_state_band,4733
Single,Arizona,55000.0,,2,0.0,filing_state_band,4733
Single,Arizona,55000.0,,3+,0.0,filing_state_band,4733
Single,Arkansas,,25000.0,0,1.0,filing_state_band,1720
Single,Arkansas,,25000.0,1,0.0,filing_state_band,1720
Single,Arkansas,,25000.0,2,0.0,filing_state_band,1720
Single,Arkansas,,25000.0,3+,0.0,filing_state_band,1720
Single,Arkansas,25000.0,55000.0,0,1.0,filing_state_band,1484
Single,Arkansas,25000.0,55000.0,1,0.0,filing_state_band,1484
Single,Arkansas,25000.0,55000.0,2,0.0,filing_state_band,1484
Single,Arkansas,25000.0,55000.0,3+,0.0,filing_state_band,1484
Single,Arkansas,55000.0,,0,1.0,filing_state_band,1312
Single,Arkansas,55000.0,,1,0.0,filing_state_band,1312
Single,Arkansas,55000.0,,2,0.0,filing_state_band,1312
Single,Arkansas,55000.0,,3+,0.0,filing_state_band,1312
Single,California,,25000.0,0,1.0,filing_state_band,10483
Single,California,,25000.0,1,0.0,filing_state_band,10483
Single,California,,25000.0,2,0.0,filing_state_band,10483
Single,California,,25000.0,3+,0.0,filing_state_band,10483
Single,California,25000.0,55000.0,0,1.0,filing_state_band,9610
Single,California,25000.0,55000.0,1,0.0,filing_state_band,9610
Single,California,25000.0,55000.0,2,0.0,filing_state_band,9610
Single,California,25000.0,55000.0,3+,0.0,filing_state_band,9610
Single,California,55000.0,,0,1.0,filing_state_band,24767
Single,California,55000.0,,1,0.0,filing_state_band,24767
Single,California,55000.0,,2,0.0,filing_state_band,24767
Single,California,55000.0,,3+,0.0,filing_state_band,24767
Single,Colorado,,25000.0,0,1.0,filing_state_band,1922
Single,Colorado,,25000.0,1,0.0,filing_state_band,1922
Single,Colorado,,25000.0,2,0.0,filing_state_band,1922
Single,Colorado,,25000.0,3+,0.0,filing_state_band,1922
Single,Colorado,25000.0,55000.0,0,1.0,filing_state_band,2281
Single,Colorado,25000.0,55000.0,1,0.0,filing_state_band,2281
Single,Colorado,25000.0,55000.0,2,0.0,filing_state_band,2281
Single,Colorado,25000.0,55000.0,3+,0.0,filing_state_band,2281
Single,Colorado,55000.0,,0,1.0,filing_state_band,5014
Single,Colorado,55000.0,,1,0.0,filing_state_band,5014
Single,Colorado,55000.0,,2,0.0,filing_state_band,5014
Single,Colorado,55000.0,,3+,0.0,filing_state_band,5014
Single,Connecticut,,25000.0,0,1.0,filing_state_band,1121
Single,Connecticut,,25000.0,1,0.0,filing_state_band,1121
Single,Connecticut,,25000.0,2,0.0,filing_state_band,1121
Single,Connecticut,,25000.0,3+,0.0,filing_state_band,1121
Single,Connecticut,25000.0,55000.0,0,1.0,filing_state_band,1363
Single,Connecticut,25000.0,55000.0,1,0.0,filing_state_band,1363
Single,Connecticut,25000.0,55000.0,2,0.0,filing_state_band,1363
Single,Connecticut,25000.0,55000.0,3+,0.0,filing_state_band,1363
Single,Connecticut,55000.0,,0,1.0,filing_state_band,2707
Single,Connecticut,55000.0,,1,0.0,filing_state_band,2707
Single,Connecticut,55000.0,,2,0.0,filing_state_band,2707
Single,Connecticut,55000.0,,3+,0.0,filing_state_band,2707
Single,Delaware,,25000.0,0,1.0,filing_state_band,334
Single,Delaware,,25000.0,1,0.0,filing_state_band,334
Single,Delaware,,25000.0,2,0.0,filing_state_band,334
Single,Delaware,,25000.0,3+,0.0,filing_state_band,334
Single,Delaware,25000.0,55000.0,0,1.0,filing_state_band,415
Single,Delaware,25000.0,55000.0,1,0.0,filing_state_band,415
Single,Delaware,25000.0,55000.0,2,0.0,filing_state_band,415
Single,Delaware,25000.0,55000.0,3+,0.0,filing_state_band,415
Single,Delaware,55000.0,,0,1.0,filing_state_band,666
Single,Delaware,55000.0,,1,0.0,filing_state_band,666
Single,Delaware,55000.0,,2,0.0,filing_state_band,666
Single,Delaware,55000.0,,3+,0.0,filing_state_band,666
Single,District of Columbia,,25000.0,0,1.0,filing_state_band,298
Single,District of Columbia,,25000.0,1,0.0,filing_state_band,298
Single,District of Columbia,,25000.0,2,0.0,filing_state_band,298
Single,District of Columbia,,25000.0,3+,0.0,filing_state_band,298
Single,District of Columbia,25000.0,55000.0,0,1.0,filing_state_band,201
Single,District of Columbia,25000.0,55000.0,1,0.0,filing_state_band,201
Single,District of Columbia,25000.0,55000.0,2,0.0,filing_state_band,201
Single,District of Columbia,25000.0,55000.0,3+,0.0,filing_state_band,201
Single,District of Columbia,55000.0,,0,1.0,filing_state_band,1331
Single,District of Columbia,55000.0,,1,0.0,filing_state_band,1331
Single,District of Columbia,55000.0,,2,0.0,filing_state_band,1331
Single,District of Columbia,55000.0,,3+,0.0,filing_state_band,1331
Single,Florida,,25000.0,0,1.0,filing_state_band,8222
Single,Florida,,25000.0,1,0.0,filing_state_band,8222
Single,Florida,,25000.0,2,0.0,filing_state_band,8222
Single,Florida,,25000.0,3+,0.0,filing_state_band,8222
Single,Florida,25000.0,55000.0,0,1.0,filing_state_band,8980
Single,Florida,25000.0,55000.0,1,0.0,filing_state_band,8980
Single,Florida,25000.0,55000.0,2,0.0,filing_state_band,8980
Single,Florida,25000.0,55000.0,3+,0.0,filing_state_band,8980
Single,Florida,55000.0,,0,1.0,filing_state_band,13408
Single,Florida,55000.0,,1,0.0,filing_state_band,13408
Single,Florida,55000.0,,2,0.0,filing_state_band,13408
Single,Florida,55000.0,,3+,0.0,filing_state_band,13408
Single,Georgia,,25000.0,0,1.0,filing_state_band,4012
Single,Georgia,,25000.0,1,0.0,filing_state_band,4012
Single,Georgia,,25000.0,2,0.0,filing_state_band,4012
Single,Georgia,,25000.0,3+,0.0,filing_state_band,4012
Single,Georgia,25000.0,55000.0,0,1.0,filing_state_band,3922
Single,Georgia,25000.0,55000.0,1,0.0,filing_state_band,3922
Single,Georgia,25000.0,55000.0,2,0.0,filing_state_band,3922
Single,Georgia,25000.0,55000.0,3+,0.0,filing_state_band,3922
Single,Georgia,55000.0,,0,1.0,filing_state_band,6104
Single,Georgia,55000.0,,1,0.0,filing_state_band,6104
Single,Georgia,55000.0,,2,0.0,filing_state_band,6104
Single,Georgia,55000.0,,3+,0.0,filing_state_band,6104
Single,Hawaii,,25000.0,0,1.0,filing_state_band,383
Single,Hawaii,,25000.0,1,0.0,filing_state_band,383
Single,Hawaii,,25000.0,2,0.0,filing_state_band,383
Single,Hawaii,,25000.0,3+,0.0,filing_state_band,383
Single,Hawaii,25000.0,55000.0,0,1.0,filing_state_band,365
Single,Hawaii,25000.0,55000.0,1,0.0,filing_state_band,365
Single,Hawaii,25000.0,55000.0,2,0.0,filing_state_band,365
Single,Hawaii,25000.0,55000.0,3+,0.0,filing_state_band,365
Single,Hawaii,55000.0,,0,1.0,filing_state_band,839
Single,Hawaii,55000.0,,1,0.0,filing_state_band,839
Single,Hawaii,55000.0,,2,0.0,filing_state_band,839
Single,Hawaii,55000.0,,3+,0.0,filing_state_band,839
Single,Idaho,,25000.0,0,1.0,filing_state_band,655
Single,Idaho,,25000.0,1,0.0,filing_state_band,655
Single,Idaho,,25000.0,2,0.0,filing_state_band,655
Single,Idaho,,25000.0,3+,0.0,filing_state_band,655
Single,Idaho,25000.0,55000.0,0,1.0,filing_state_band,756
Single,Idaho,25000.0,55000.0,1,0.0,filing_state_band,756
Single,Idaho,25000.0,55000.0,2,0.0,filing_state_band,756
Single,Idaho,25000.0,55000.0,3+,0.0,filing_state_band,756
Single,Idaho,55000.0,,0,1.0,filing_state_band,975
Single,Idaho,55000.0,,1,0.0,filing_state_band,975
Single,Idaho,55000.0,,2,0.0,filing_state_band,975
Single,Idaho,55000.0,,3+,0.0,filing_state_band,975
Single,Illinois,,25000.0,0,1.0,filing_state_band,4814
Single,Illinois,,25000.0,1,0.0,filing_state_band,4814
Single,Illinois,,25000.0,2,0.0,filing_state_band,4814
Single,Illinois,,25000.0,3+,0.0,filing_state_band,4814
Single,Illinois,25000.0,55000.0,0,1.0,filing_state_band,5606
Single,Illinois,25000.0,55000.0,1,0.0,filing_state_band,5606
Single,Illinois,25000.0,55000.0,2,0.0,filing_state_band,5606
Single,Illinois,25000.0,55000.0,3+,0.0,filing_state_band,5606
Single,Illinois,55000.0,,0,1.0,filing_state_band,8482
Single,Illinois,55000.0,,1,0.0,filing_state_band,8482
Single,Illinois,55000.0,,2,0.0,filing_state_band,8482
Single,Illinois,55000.0,,3+,0.0,filing_state_band,8482
Single,Indiana,,25000.0,0,1.0,filing_state_band,2917
Single,Indiana,,25000.0,1,0.0,filing_state_band,2917
Single,Indiana,,25000.0,2,0.0,filing_state_band,2917
Single,Indiana,,25000.0,3+,0.0,filing_state_band,2917
Single,Indiana,25000.0,55000.0,0,1.0,filing_state_band,3574
Single,Indiana,25000.0,55000.0,1,0.0,filing_state_band,3574
Single,Indiana,25000.0,55000.0,2,0.0,filing_state_band,3574
Single,Indiana,25000.0,55000.0,3+,0.0,filing_state_band,3574
Single,Indiana,55000.0,,0,1.0,filing_state_band,3759
Single,Indiana,55000.0,,1,0.0,filing_state_band,3759
Single,Indiana,55000.0,,2,0.0,filing_state_band,3759
Single,Indiana,55000.0,,3+,0.0,filing_state_band,3759
Single,Iowa,,25000.0,0,1.0,filing_state_band,1422
Single,Iowa,,25000.0,1,0.0,filing_state_band,1422
Single,Iowa,,25000.0,2,0.0,filing_state_band,1422
Single,Iowa,,25000.0,3+,0.0,filing_state_band,1422
Single,Iowa,25000.0,55000.0,0,1.0,filing_state_band,1850
Single,Iowa,25000.0,55000.0,1,0.0,filing_state_band,1850
Single,Iowa,25000.0,55000.0,2,0.0,filing_state_band,1850
Single,Iowa,25000.0,55000.0,3+,0.0,filing_state_band,1850
Single,Iowa,55000.0,,0,1.0,filing_state_band,1891
Single,Iowa,55000.0,,1,0.0,filing_state_band,1891
Single,Iowa,55000.0,,2,0.0,filing_state_band,1891
Single,Iowa,55000.0,,3+,0.0,filing_state_band,1891
Single,Kansas,,25000.0,0,1.0,filing_state_band,1262
Single,Kansas,,25000.0,1,0.0,filing_state_band,1262
Single,Kansas,,25000.0,2,0.0,filing_state_band,1262
Single,Kansas,,25000.0,3+,0.0,filing_state_band,1262
Single,Kansas,25000.0,55000.0,0,1.0,filing_state_band,1564
Single,Kansas,25000.0,55000.0,1,0.0,filing_state_band,1564
Single,Kansas,25000.0,55000.0,2,0.0,filing_state_band,1564
Single,Kansas,25000.0,55000.0,3+,0.0,filing_state_band,1564
Single,Kansas,55000.0,,0,1.0,filing_state_band,1576
Single,Kansas,55000.0,,1,0.0,filing_state_band,1576
Single,Kansas,55000.0,,2,0.0,filing_state_band,1576
Single,Kansas,55000.0,,3+,0.0,filing_state_band,1576
Single,Kentucky,,25000.0,0,1.0,filing_state_band,2417
Single,Kentucky,,25000.0,1,0.0,filing_state_band,2417
Single,Kentucky,,25000.0,2,0.0,filing_state_band,2417
Single,Kentucky,,25000.0,3+,0.0,filing_state_band,2417
Single,Kentucky,25000.0,55000.0,0,1.0,filing_state_band,2095
Single,Kentucky,25000.0,55000.0,1,0.0,filing_state_band,2095
Single,Kentucky,25000.0,55000.0,2,0.0,filing_state_band,2095
Single,Kentucky,25000.0,55000.0,3+,0.0,filing_state_band,2095
Single,Kentucky,55000.0,,0,1.0,filing_state_band,2200
Single,Kentucky,55000.0,,1,0.0,filing_state_band,2200
Single,Kentucky,55000.0,,2,0.0,filing_state_band,2200
Single,Kentucky,55000.0,,3+,0.0,filing_state_band,2200
Single,Louisiana,,25000.0,0,1.0,filing_state_band,2711
Single,Louisiana,,25000.0,1,0.0,filing_state_band,2711
Single,Louisiana,,25000.0,2,0.0,filing_state_band,2711
Single,Louisiana,,25000.0,3+,0.0,filing_state_band,2711
Single,Louisiana,25000.0,55000.0,0,1.0,filing_state_band,2085
Single,Louisiana,25000.0,55000.0,1,0.0,filing_state_band,2085
Single,Louisiana,25000.0,55000.0,2,0.0,filing_state_band,2085
Single,Louisiana,25000.0,55000.0,3+,0.0,filing_state_band,2085
Single,Louisiana,55000.0,,0,1.0,filing_state_band,2278
Single,Louisiana,55000.0,,1,0.0,filing_state_band,2278
Single,Louisiana,55000.0,,2,0.0,filing_state_band,2278
Single,Louisiana,55000.0,,3+,0.0,filing_state_band,2278
Single,Maine,,25000.0,0,1.0,filing_state_band,700
Single,Maine,,25000.0,1,0.0,filing_state_band,700
Single,Maine,,25000.0,2,0.0,filing_state_band,700
Single,Maine,,25000.0,3+,0.0,filing_state_band,700
Single,Maine,25000.0,55000.0,0,1.0,filing_state_band,814
Single,Maine,25000.0,55000.0,1,0.0,filing_state_band,814
Single,Maine,25000.0,55000.0,2,0.0,filing_state_band,814
Single,Maine,25000.0,55000.0,3+,0.0,filing_state_band,814
Single,Maine,55000.0,,0,1.0,filing_state_band,850
Single,Maine,55000.0,,1,0.0,filing_state_band,850
Single,Maine,55000.0,,2,0.0,filing_state_band,850
Single,Maine,55000.0,,3+,0.0,filing_state_band,850
Single,Maryland,,25000.0,0,1.0,filing_state_band,1729
Single,Maryland,,25000.0,1,0.0,filing_state_band,1729
Single,Maryland,,25000.0,2,0.0,filing_state_band,1729
Single,Maryland,,25000.0,3+,0.0,filing_state_band,1729
Single,Maryland,25000.0,55000.0,0,1.0,filing_state_band,1930
Single,Maryland,25000.0,55000.0,1,0.0,filing_state_band,1930
Single,Maryland,25000.0,55000.0,2,0.0,filing_state_band,1930
Single,Maryland,25000.0,55000.0,3+,0.0,filing_state_band,1930
Single,Maryland,55000.0,,0,1.0,filing_state_band,4644
Single,Maryland,55000.0,,1,0.0,filing_state_band,4644
Single,Maryland,55000.0,,2,0.0,filing_state_band,4644
Single,Maryland,55000.0,,3+,0.0,filing_state_band,4644
Single,Massachusetts,,25000.0,0,1.0,filing_state_band,2486
Single,Massachusetts,,25000.0,1,0.0,filing_state_band,2486
Single,Massachusetts,,25000.0,2,0.0,filing_state_band,2486
Single,Massachusetts,,25000.0,3+,0.0,filing_state_band,2486
Single,Massachusetts,25000.0,55000.0,0,1.0,filing_state_band,2407
Single,Massachusetts,25000.0,55000.0,1,0.0,filing_state_band,2407
Single,Massachusetts,25000.0,55000.0,2,0.0,filing_state_band,2407
