ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_TOTAL,2024,28695.214,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_1,2024,440.162,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_2,2024,6387.495,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_3,2024,5052.038,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_4,2024,3525.744,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_5,2024,2512.312,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_6,2024,1449.959,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_7,2024,2261.306,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_8,2024,2968.282,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_9,2024,3978.221,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_TOTAL,OCU_ISCO08_X,2024,119.695,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_A,OCU_ISCO08_TOTAL,2024,1485.015,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_A,OCU_ISCO08_1,2024,0.347,U,,,R1:3513
