period,p10,p25,p50,p75,p90,base,preset
0,5.622948620138682,6.406616787732435,7.278668341627281,8.35590090495988,9.28386746352162,7.417335699357904,Acemoglu — Modest AI
1,7.611316411551583,8.642802514321957,9.944402837773412,11.383829196349971,12.82017443856152,10.140375230127272,Acemoglu — Modest AI
2,6.772870349399997,7.9305209833216175,9.269226977586882,11.09200977020856,12.58261017494287,9.564290171158184,Acemoglu — Modest AI
3,4.529438105271801,5.818601818639138,7.441240111194368,9.541340546840964,11.265039237019598,7.769671456413448,Acemoglu — Modest AI
4,1.4928993313205206,3.1153780325252662,5.077408082208952,7.262534006053408,9.42981893583534,5.28083408279324,Acemoglu — Modest AI
5,-2.007989417481786,0.013699948969891,2.365008997248073,4.865419686991085,7.103102348149884,2.455839437370717,Acemoglu — Modest AI
6,-5.770506309535944,-3.336827795058132,-0.5066832518125094,2.222719684126127,4.6465815696112935,-0.5961912022418678,Acemoglu — Modest AI
7,-10.0046956216353,-6.9107574416424065,-3.783133477905923,-0.6315846411915711,1.9314410287389976,-3.798714690031157,Acemoglu — Modest AI
8,-14.981337228755171,-11.0497963760592,-7.3218276569089,-3.876830978667088,-0.7941044212796551,-7.128308663512614,Acemoglu — Modest AI
9,-19.8564768216927,-15.779096343031302,-11.47005065724804,-7.456023259971838,-4.178768546051762,-12.282555968377606,Acemoglu — Modest AI
0,7.441384961284009,8.389104757551735,9.746644007468744,11.256811879195862,12.688734456575256,9.901562017804562,Brynjolfsson — Augmentation
1,10.051299701121255,11.630716142975496,13.632567608227548,15.704854968900085,18.067807313804884,13.86437811692421,Brynjolfsson — Augmentation
2,3.694834297712736,5.345151624126615,7.628397993483857,9.970000434356322,12.555339032907298,7.9002255763001346,Brynjolfsson — Augmentation
3,-6.5523676061331715,-3.541989537132184,-0.6535002009582749,2.3277609440408593,5.1055819995843,-0.6176336408662099,Brynjolfsson — Augmentation
4,-18.449595554406475,-13.820719800012943,-10.089969106226707,-6.264805038517562,-2.8016410424212723,-10.43950573077836,Brynjolfsson — Augmentation
5,-31.720904122094232,-25.63053136556116,-20.50095553684388,-15.804399915263527,-11.483067990966964,-21.12708527702384,Brynjolfsson — Augmentation
6,-47.209785983512944,-39.45036081233512,-32.660894235612794,-26.61924206943684,-21.48765137189033,-32.49516118093584,Brynjolfsson — Augmentation
7,-64.32771391075757,-54.59615020540688,-45.89291593972481,-38.772658654000864,-33.04531724689142,-48.444448929825626,Brynjolfsson — Augmentation
8,-80.81866432198719,-69.03621509078559,-58.74031779442019,-50.87917491960325,-43.56820598663677,-60.90154448331693,Brynjolfsson — Augmentation
9,-95.65870783578964,-82.59141650083274,-70.62419642474755,-61.489287156465245,-53.3827436544074,-72.94382836090466,Brynjolfsson — Augmentation
0,40.96154021291575,47.72994283965902,54.1856717585584,61.69177032528682,69.3110650188741,54.81680242437084,Windfall Trust — Medium
1,72.81407324925642,83.88923641988498,94.6049740581702,107.49504101148268,120.01730236229449,96.35812291450058,Windfall Trust — Medium
2,98.1859930107719,112.51986918566934,126.78581568535697,143.43594524517064,160.5606977147646,129.65541038488695,Windfall Trust — Medium
3,118.10707716580217,134.54174487580755,154.1458886793519,172.82199903382502,195.85604914436425,156.45303199923217,Windfall Trust — Medium
4,134.6507952898255,152.65112157054273,177.04972405329747,198.1144469156925,224.04361313531027,179.28865063765596,Windfall Trust — Medium
5,144.4254132208759,165.73438428603492,192.17177652146688,216.87418528315183,249.11847674319696,199.86197857925248,Windfall Trust — Medium
6,146.7746692741452,170.64591890430447,199.32974890954256,227.30830092602451,263.9215364970357,204.6063769647023,Windfall Trust — Medium
7,146.76772895499923,172.1803197896421,203.11564840490476,235.15834199440232,273.5967149043105,209.5476632161723,Windfall Trust — Medium
8,145.42301180427827,173.7577601301357,207.2277971534768,242.4656388688996,281.78068266207435,214.0490822607524,Windfall Trust — Medium
9,145.35790672156125,175.257782006752,210.66100656149464,249.43400925010684,291.3178957869055,218.745649538312,Windfall Trust — Medium
0,18.19530712857557,20.460668706094424,23.799405738474263,27.49221771163642,30.717710328879942,24.107519406000893,Autor et al. — China-shock dynamics
1,35.463268793995134,40.03205932531968,45.85391362046079,52.56384453129914,58.92735059758807,47.186684838360534,Autor et al. — China-shock dynamics
2,58.76639999798549,66.26506706710165,75.43735902545995,87.71364163092738,98.54973383445798,79.67145303201251,Autor et al. — China-shock dynamics
3,85.06473279012995,95.29778510104936,109.22608783924916,127.58696558693208,144.77017946695366,116.65823002296467,Autor et al. — China-shock dynamics
4,113.11522187809167,127.06859831560251,146.6213110141259,171.98303411855505,195.2998079346515,159.11384644564282,Autor et al. — China-shock dynamics
5,138.40849439233386,158.40333413439868,182.02435939392893,215.5321495226937,247.1722075325737,198.81804174845007,Autor et al. — China-shock dynamics
6,163.65379775300212,187.2860859887389,218.60762110023927,260.5492921243127,298.3011580345448,240.14905303047388,Autor et al. — China-shock dynamics
7,188.02052443652224,216.77977775562476,255.387287668966,305.2031460285838,350.8201251475861,281.61564760207926,Autor et al. — China-shock dynamics
8,212.7658804149768,246.40293387599175,293.5184022086378,351.32692681238905,405.74004167919384,324.480288341359,Autor et al. — China-shock dynamics
9,237.8596208101024,278.00169300666647,332.73534192726754,398.5394282935814,465.3231949688493,369.2509552336218,Autor et al. — China-shock dynamics
10,265.7170376327591,309.8418252843269,373.077112217208,449.90574183503475,528.1126900849038,416.21021971367503,Autor et al. — China-shock dynamics
11,292.17649547786493,343.19807548806716,414.785784720895,503.44278723777217,590.9771418784636,465.5107712981478,Autor et al. — China-shock dynamics
12,319.0142460425772,377.3523935677428,459.84548989261975,559.8565218379263,660.6741307321942,517.2492120915032,Autor et al. — China-shock dynamics
13,347.2440268948154,411.61378592163385,507.93194930472606,615.5440162340757,733.0536774748153,571.4954583358348,Autor et al. — China-shock dynamics
14,377.1347040678481,448.4360745993902,556.4973990236524,676.6586871950927,811.9725742475068,628.2993202078612,Autor et al. — China-shock dynamics
0,59.94349239907836,67.82784375759195,75.20362727810235,81.57700114395126,85.30358532678417,82.21282529772681,Korinek-Suh — AGI in 20 years
1,151.21468861339412,168.30951640153455,186.17899870020852,199.72432207298056,207.93780713656105,204.38420622904655,Korinek-Suh — AGI in 20 years
2,267.61226031600984,294.78310558264366,323.714771350076,349.55308303857237,368.5344561072489,360.8285990138049,Korinek-Suh — AGI in 20 years
3,395.3474349655633,432.73941754321714,475.3217471979185,515.7778898359858,550.1108485270371,533.707165993736,Korinek-Suh — AGI in 20 years
4,526.0886030706253,574.3801312168592,631.3843565122825,687.7492529420952,740.6050903122735,712.4457258924173,Korinek-Suh — AGI in 20 years
5,658.1716580300042,718.7560722139484,789.050778674929,862.480181441157,931.5726911086656,892.0414193809281,Korinek-Suh — AGI in 20 years
6,791.705720457263,863.0723530905077,950.7338188247958,1035.962718185796,1122.1734095585448,1069.415869311861,Korinek-Suh — AGI in 20 years
7,926.2904176004104,1005.6236242070928,1109.061816662971,1207.0654227157877,1308.1148835307474,1242.6401307878284,Korinek-Suh — AGI in 20 years
8,1060.3374011439732,1148.5221732078971,1262.4560918795346,1373.6075747765665,1487.3067474381226,1410.206513079577,Korinek-Suh — AGI in 20 years
9,1189.1991583226006,1283.6871693314151,1409.350057470716,1528.5058429591936,1647.2477060418685,1570.7907614829817,Korinek-Suh — AGI in 20 years
10,1305.4646319972874,1405.5848939079451,1543.3604161577746,1672.150039477042,1797.4134119408527,1723.0927376869035,Korinek-Suh — AGI in 20 years
11,1407.26278745559,1513.5205878385332,1657.4915974599292,1799.9949915996256,1923.5820223956116,1836.697880151562,Korinek-Suh — AGI in 20 years
12,1494.8738261967123,1608.5205511096317,1761.6486555210956,1907.9289801115503,2033.631699941928,1939.4502171825009,Korinek-Suh — AGI in 20 years
13,1573.9343272000158,1694.820207115322,1849.450028606551,2002.8107940415848,2134.4726962556233,2026.1865484284135,Korinek-Suh — AGI in 20 years
14,1650.8998593282454,1772.2938119657738,1928.4064007252068,2082.4210846943224,2218.8354169264917,2101.4710719051395,Korinek-Suh — AGI in 20 years
15,1711.567721276264,1840.339817315025,1998.7694990537475,2153.528174882486,2294.7491695597514,2166.0539515983423,Korinek-Suh — AGI in 20 years
16,1770.5508914215834,1900.8327193535197,2062.329638346275,2217.7637088355127,2369.3749881800277,2232.956437409822,Korinek-Suh — AGI in 20 years
17,1819.7888042721752,1950.7934719520872,2116.8507341014974,2280.9486153484586,2423.7887398168864,2303.712050213903,Korinek-Suh — AGI in 20 years
18,1866.0722759466305,2003.8127579253385,2163.6871760538843,2331.4373501100335,2460.5291641173603,2290.7548382069604,Korinek-Suh — AGI in 20 years
19,1903.908265344975,2043.6195127339656,2198.288066792602,2359.786016359413,2483.287876880411,2284.2520307268833,Korinek-Suh — AGI in 20 years
0,247.7792210133426,281.00474713491093,311.187804131497,337.1537407761371,352.98239378772183,340.29592697553755,Korinek-Suh — AGI in 5 years
1,679.4087605328953,742.7854466712206,811.1191717047784,862.9022071820383,902.4918135070184,887.9689482130537,Korinek-Suh — AGI in 5 years
2,1270.830309728886,1371.9387297218284,1477.6778628304749,1570.0672913671845,1656.1651751029435,1643.7350494520524,Korinek-Suh — AGI in 5 years
3,1780.09862306764,1910.878287996964,2043.9802080321952,2182.789993970808,2312.474315999327,2252.039789055415,Korinek-Suh — AGI in 5 years
4,2197.595428234564,2349.5400803851485,2498.1901538999005,2654.8277476991175,2792.756900996876,2709.170095641997,Korinek-Suh — AGI in 5 years
5,2499.7074677975147,2633.034284068606,2761.2027148886173,2875.9515142610917,2965.0985686163417,2822.167771186705,Korinek-Suh — AGI in 5 years
6,2550.737526743933,2676.5565606160953,2808.9892784715285,2941.55785522841,3040.632749815771,2864.0869948524332,Korinek-Suh — AGI in 5 years
7,2645.2823719658813,2765.795017960044,2916.160645935814,3054.288956108775,3166.8225597415035,2950.6443783600853,Korinek-Suh — AGI in 5 years
8,2706.6271537687508,2833.299475173056,2997.6267693402224,3150.2441695941648,3277.156587858478,3025.827712960042,Korinek-Suh — AGI in 5 years
9,2755.4862228072616,2892.338133027357,3063.9445026623657,3237.6232716858804,3368.715383163965,3090.8590020386455,Korinek-Suh — AGI in 5 years
0,275.87889202023325,303.39790521598246,339.3661846184199,366.0810735727858,384.50904673984655,372.9051537083975,AI 2027 — Fast takeoff
1,646.0800063279416,700.1669637799996,772.3059990124945,822.1144148181174,860.3324511469978,844.8706166100519,AI 2027 — Fast takeoff
2,1092.2455074512814,1179.286540229769,1283.9217715866027,1374.62378593419,1453.5465251730088,1410.654157856385,AI 2027 — Fast takeoff
3,1525.022090273825,1630.9704290397335,1771.969657825388,1891.2641489438956,1993.9701104323549,1951.9537672785823,AI 2027 — Fast takeoff
4,1828.101646244067,1947.22427998332,2100.9802176110716,2234.2707548373137,2352.1001698570662,2269.638518408391,AI 2027 — Fast takeoff
5,2037.076730794541,2170.326411221703,2336.4230910755487,2476.881594173536,2594.70124219321,2515.089158308367,AI 2027 — Fast takeoff
6,1981.803620581196,2121.534208134837,2302.874288218545,2434.6296898964356,2537.8538744391985,2440.7314993457135,AI 2027 — Fast takeoff
7,1987.5824552747515,2135.6743410713702,2312.0691451979055,2449.144218542899,2552.281180417442,2415.1659966605284,AI 2027 — Fast takeoff
0,69.21514540935131,78.65980551288106,88.20699600220595,95.95058740004993,100.98064693560876,93.9003903214964,AI 2040 — Plan A (The Deal)
1,93.58594179227484,103.9619146354728,116.11007434579344,126.34573402940455,133.01818305009817,125.67508759795064,AI 2040 — Plan A (The Deal)
2,121.19410844889804,134.5882305025337,149.20254458274923,163.5189480764638,173.38256414659142,163.3433522374492,AI 2040 — Plan A (The Deal)
3,149.19985893468453,165.4072432384777,183.78977936816972,200.81008391140705,214.82333508491544,201.22113693139795,AI 2040 — Plan A (The Deal)
4,177.04742682407212,197.3646912589594,218.93870036747785,239.24916179817703,257.6692876239529,240.3522016956446,AI 2040 — Plan A (The Deal)
