lever,target,spearman,preset
price_reduction_share,final_fed_deficit_B,0.627955611955612,Acemoglu — Modest AI
retained_profit_share,final_fed_deficit_B,-0.613021345021345,Acemoglu — Modest AI
reabsorption_rate,final_fed_deficit_B,-0.5783144423144423,Acemoglu — Modest AI
reemployment_haircut,final_fed_deficit_B,0.2597660837660838,Acemoglu — Modest AI
cognitive_feasibility,final_fed_deficit_B,-0.2428304908304908,Acemoglu — Modest AI
adoption_end,final_fed_deficit_B,-0.2352827232827233,Acemoglu — Modest AI
lfp_exit_rate,final_fed_deficit_B,0.1553394113394113,Acemoglu — Modest AI
robotics_lag,final_fed_deficit_B,0.1387766347766347,Acemoglu — Modest AI
ssdi_annual,final_fed_deficit_B,0.0664978504978505,Acemoglu — Modest AI
price_passthrough,final_fed_deficit_B,-0.0632364272364272,Acemoglu — Modest AI
demand_multiplier,final_fed_deficit_B,0.0622150582150582,Acemoglu — Modest AI
shareholder_eff_rate,final_fed_deficit_B,-0.050015774015774,Acemoglu — Modest AI
attrition_rate,final_fed_deficit_B,-0.0498612738612738,Acemoglu — Modest AI
survivor_raise_ceiling,final_fed_deficit_B,-0.03602544002544,Acemoglu — Modest AI
physical_feasibility,final_fed_deficit_B,-0.0335452175452175,Acemoglu — Modest AI
equity_taxable_share,final_fed_deficit_B,-0.0289796089796089,Acemoglu — Modest AI
interest_rate,final_fed_deficit_B,0.0232524232524232,Acemoglu — Modest AI
cg_realization_rate,final_fed_deficit_B,-0.0226653586653586,Acemoglu — Modest AI
survivor_gains_share,final_fed_deficit_B,0.0208329448329448,Acemoglu — Modest AI
auto_cost,final_fed_deficit_B,-0.0203163443163443,Acemoglu — Modest AI
ui_weeks,final_fed_deficit_B,0.0181748035751178,Acemoglu — Modest AI
mpc,final_fed_deficit_B,0.0169209349433169,Acemoglu — Modest AI
survivor_spillover_to_profit,final_fed_deficit_B,0.0156880716880716,Acemoglu — Modest AI
state_rate_hike_cap,final_fed_deficit_B,0.0151694671694671,Acemoglu — Modest AI
ubi_recapture_rate,final_fed_deficit_B,0.0125998805998805,Acemoglu — Modest AI
productivity_passthrough,final_fed_deficit_B,0.010066006066006,Acemoglu — Modest AI
baseline_growth_rate,final_fed_deficit_B,0.0067181467181467,Acemoglu — Modest AI
