group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-8.68877050728696,-15.792273077617478,-20.420162805595567,-24.08552846270096,-27.273184593624478,-30.310722082098803,-33.298534264539654,-36.30621616895746,-39.35460607142697,-40.724326190809386,-276.25432422465775
① Labour → capital,Labour taxes gained (survivors),flow,0.481638898455226,1.0617349886989087,1.6614197575838903,2.2806990999206374,2.9195711340037582,3.5780370938894626,4.256103852385323,4.953783095057738,5.671078415442544,6.311442292142635,33.17550862758012
① Labour → capital,Capital-side recoveries,flow,4.318062956451029,9.524410805051758,14.912336211989162,20.48183917726324,26.23291970087399,32.165577782821416,38.279813423105516,44.575626621726286,51.053017378683734,56.817067727889956,298.3606717858561
① Labour → capital,Channel 1 net,subtotal,-3.889068652380705,-5.206127283866811,-3.846406836022515,-1.3229901855170851,1.8793062412532677,5.432892794612076,9.237383010951184,13.223193547826561,17.369489722699306,22.404183829223207,55.281856188778484
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,11.259791121929638,24.821061694650012,38.83986044890126,53.31618738468337,68.25004250199633,83.64142580084015,99.49033728121486,115.7967769431204,132.56074478655685,147.52728048826484,775.5035084521577
③ Taxable → consumer surplus,Consumption tax change,flow,-0.3067776941615301,-0.5907937526839282,-0.7761814718563845,-0.9189764496347494,-1.040521053978714,-1.1551582915880583,-1.267309695038752,-1.3800205112796469,-1.4942085602615163,-1.5490132802055518,-10.478960760688832
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,4.87366360246738,7.513309825628853,9.099358181995086,10.440733591416114,11.665742208888606,12.865985102021837,14.067986717551339,15.29123393141408,16.541232521197344,16.55779011048208,118.91703579306272
Net,Net fiscal impact (federal + state),net,-9.069509949009614,-13.310230862179592,-13.721946489873986,-12.682700226567949,-10.826957021614053,-8.588250598997819,-6.097913401638906,-3.448060894867165,-0.6659513587595534,4.297380438535573,-74.11414036497307
