group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-3.912106772162408,-7.1494151505864565,-9.307169333391037,-11.048517392048122,-12.585788983728651,-14.06233053781227,-15.522293198652475,-16.996264344880345,-18.493655544311835,-19.27677129855194,-128.35431255612554
Federal revenue changes,Payroll (FICA),flow,-3.8225563305333634,-6.907311198588656,-8.873628463370842,-10.404437495292711,-11.719379933179148,-12.96606544926288,-14.190184978349452,-15.423231913568404,-16.67495318520763,-17.15633976812412,-118.13808871547721
Federal revenue changes,Corporate recovery,flow,4.1487427892039666,9.151161757011907,14.328278160125985,19.680091998546196,25.20660327227254,30.90781198130502,36.78371812564364,42.83432170528838,49.05962272023927,54.598612382201765,286.69896489183867
Federal revenue changes,Windfall capital gains,flow,0.0,0.10656101588146447,0.23044095325900874,0.353480823868271,0.4757142303799822,0.5971734313580443,0.7178893950238037,0.8378918508697523,0.957209339208682,1.0758692587408745,5.352230298589884
Federal revenue changes,Compute-pool tax,flow,0.16932016724706223,0.3732490480398499,0.5840580518631769,0.8017471787170433,1.0263164286014486,1.2577658015163935,1.4960952974618777,1.741304916437901,1.9933946584444637,2.2184553456881937,11.66170689401741
Federal revenue changes,Survivor wage taxes,flow,0.4276065818683994,0.9426246969643576,1.4750337972584033,2.0248395718442715,2.5920398012585966,3.176635597489741,3.7786333609746476,4.398044392048662,5.034872471924827,5.603395863357417,29.45372613498932
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,0.31536005785118437,0.3836987619358205,0.4006912021049595,0.41768364227409865,0.4346760824432375,0.45166852261237656,0.4686609627815161,0.48565340295065434,0.5026458431197939,0.43588982816960475,4.296628306243246
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-2.6736335065251584,-3.0994310693417115,-1.1622956321503464,1.8248883279090466,5.4301808980480075,9.362659347206424,13.532518964883558,17.877720009146604,22.379136303417575,27.49911161148179,90.97085525407579
Federal outlay changes,Means-tested transfers,flow,1.5901016143209024,3.027568892650461,3.911837064820971,4.559146927840279,5.086879274481392,5.575276854492064,6.048762350126169,6.524471349866011,7.00762917982894,7.100885732417979,50.432559240845166
Federal outlay changes,Unemployment insurance,flow,3.1536005785118437,3.836987619358204,4.006912021049595,4.176836422740986,4.346760824432376,4.516685226123766,4.6866096278151606,4.856534029506543,5.026458431197939,4.358898281696049,42.96628306243246
Federal outlay changes,SSDI,flow,0.0,0.17638764877689528,0.4832454531372699,0.8585764337412279,1.2773748819274786,1.7265367039613124,2.2009557847003625,2.6979999397428887,3.2167400288780748,3.7567716289901694,16.39458850385568
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,4.743702192832746,7.0409441607855605,8.401994539007836,9.594559784322492,10.711014980841247,11.818498784577141,12.936327762641692,14.079005319115442,15.250827639904953,15.216555643104197,109.79343080713332
Net,Net fiscal impact (federal),net,-7.4173356993579045,-10.140375230127272,-9.564290171158182,-7.769671456413445,-5.280834082793239,-2.4558394373707166,0.5961912022418652,3.7987146900311615,7.128308663512621,12.282555968377594,-18.82257555305752
Levels,Federal revenue (absolute),level,4980.126366493475,4979.700568930659,4981.637704367849,4984.6248883279095,4988.230180898048,4992.1626593472065,4996.332518964884,5000.6777200091465,5005.179136303418,5010.299111611482,5010.299111611482
Levels,Federal deficit (absolute),level,1840.4173356993579,1843.1403752301273,1842.5642901711583,1840.7696714564136,1838.2808340827933,1835.4558394373707,1832.403808797758,1829.2012853099689,1825.8716913364874,1820.7174440316223,1820.7174440316223
Levels,Federal debt (Δ cumulative),level,7.4173356993579045,17.78023100046591,27.877928101638073,36.48393740110066,42.859289605926925,46.60090773147546,47.40274376117786,45.026111383982034,39.24858606198888,28.143487675470944,28.143487675470944
Levels,Deficit (% of GDP),level,6.280304809191076,6.0460714671173665,5.810106360189451,5.579606445398528,5.356175263175241,5.140694381618939,4.933215444136767,4.733665601702317,4.541817151723484,4.353521235185691,4.353521235185691
State & local,State income tax,flow,-0.9541074045911887,-1.7378878662165564,-2.2505958751857023,-2.659084657433065,-3.0159301266662975,-3.357235858948833,-3.6939199175900987,-4.033694596339738,-4.378885710262962,-4.5373182618104435,-30.618660275044885
State & local,State consumption tax,flow,-0.3067776941615301,-0.5908969485944193,-0.7766770605591733,-0.9201479113421719,-1.0426411038064782,-1.1584775007524781,-1.272095695584291,-1.3865508474444412,-1.5027902271453664,-1.5599764253555917,-10.517031414745942
