lever,target,spearman
adoption_end,final_employment_drop_pct,0.7410935850935851
cognitive_feasibility,final_employment_drop_pct,0.608022704022704
physical_feasibility,final_employment_drop_pct,0.1394129474129474
shareholder_eff_rate,final_employment_drop_pct,0.058534198534198535
auto_cost,final_employment_drop_pct,0.048158700158700156
lfp_exit_rate,final_employment_drop_pct,-0.04482042882042882
survivor_spillover_to_profit,final_employment_drop_pct,0.03845099045099045
retained_profit_share,final_employment_drop_pct,0.03751562551562552
price_reduction_share,final_employment_drop_pct,-0.03558883158883159
attrition_rate,final_employment_drop_pct,-0.034843930843930844
productivity_passthrough,final_employment_drop_pct,-0.034532314532314534
equity_taxable_share,final_employment_drop_pct,0.03145523545523546
consumption_stickiness,final_employment_drop_pct,0.031167699491273803
mpc,final_employment_drop_pct,0.03110998427594317
reemployment_haircut,final_employment_drop_pct,-0.030378426378426377
equity_pe_multiple,final_employment_drop_pct,0.028642624642624643
reabsorption_rate,final_employment_drop_pct,-0.02674911874911875
demand_multiplier,final_employment_drop_pct,0.025413181413181413
interest_rate,final_employment_drop_pct,-0.02336834336834337
baseline_growth_rate,final_employment_drop_pct,-0.021397137397137396
compute_effective_rate,final_employment_drop_pct,-0.020434400434400434
survivor_gains_share,final_employment_drop_pct,-0.018634794634794633
robotics_lag,final_employment_drop_pct,-0.0174995934995935
ssdi_annual,final_employment_drop_pct,0.017144477144477144
ui_weeks,final_employment_drop_pct,0.016142552524636904
cg_realization_rate,final_employment_drop_pct,0.01445977445977446
survivor_raise_ceiling,final_employment_drop_pct,-0.007751251751251752
price_passthrough,final_employment_drop_pct,0.007096243096243096
state_rate_hike_cap,final_employment_drop_pct,-0.0060281580281580285
ubi_recapture_rate,final_employment_drop_pct,-0.004140688140688141
price_reduction_share,final_fed_deficit_B,0.627955611955612
retained_profit_share,final_fed_deficit_B,-0.613021345021345
reabsorption_rate,final_fed_deficit_B,-0.5783144423144423
reemployment_haircut,final_fed_deficit_B,0.2597660837660838
cognitive_feasibility,final_fed_deficit_B,-0.24283049083049082
adoption_end,final_fed_deficit_B,-0.2352827232827233
lfp_exit_rate,final_fed_deficit_B,0.15533941133941134
robotics_lag,final_fed_deficit_B,0.13877663477663477
ssdi_annual,final_fed_deficit_B,0.0664978504978505
price_passthrough,final_fed_deficit_B,-0.06323642723642724
demand_multiplier,final_fed_deficit_B,0.06221505821505822
shareholder_eff_rate,final_fed_deficit_B,-0.05001577401577401
attrition_rate,final_fed_deficit_B,-0.04986127386127386
survivor_raise_ceiling,final_fed_deficit_B,-0.036025440025440024
physical_feasibility,final_fed_deficit_B,-0.03354521754521755
equity_taxable_share,final_fed_deficit_B,-0.02897960897960898
interest_rate,final_fed_deficit_B,0.023252423252423254
cg_realization_rate,final_fed_deficit_B,-0.022665358665358664
survivor_gains_share,final_fed_deficit_B,0.020832944832944834
auto_cost,final_fed_deficit_B,-0.020316344316344315
ui_weeks,final_fed_deficit_B,0.018174803575117804
mpc,final_fed_deficit_B,0.016920934943316975
survivor_spillover_to_profit,final_fed_deficit_B,0.015688071688071688
state_rate_hike_cap,final_fed_deficit_B,0.01516946716946717
ubi_recapture_rate,final_fed_deficit_B,0.012599880599880599
productivity_passthrough,final_fed_deficit_B,0.010066006066006066
baseline_growth_rate,final_fed_deficit_B,0.006718146718146718
equity_pe_multiple,final_fed_deficit_B,0.0047168927168927165
consumption_stickiness,final_fed_deficit_B,-0.00311111421859593
compute_effective_rate,final_fed_deficit_B,-0.001473841473841474
