group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-108.60963134108698,-239.05357161694423,-394.6564369525597,-559.9584929067177,-733.6043668828432,-912.9296830337673,-1097.4040657139813,-1286.5784464858216,-1480.3404618960483,-1678.6595441778688,-1881.622199224653,-2046.8926734206182,-2201.742909865095,-2347.333478114493,-2488.830312944075,-2626.5243943180712,-2752.894673831912,-2828.5664625753648,-2791.45442306523,-2738.7882916111857,-33196.44451997834
① Labour → capital,Labour taxes gained (survivors),flow,5.387190216298036,-40.64503948242666,-92.9596235368635,-150.39006559214175,-202.60429320377673,-247.2959452663354,-281.7069072816757,-304.2851107756933,-313.52940161726156,-308.0458550377291,-286.3341588865624,-261.27924228341567,-216.24300730776002,-162.14437103905126,-98.00682700662115,-24.671993165494932,22.657659385078503,2.4229285033293735,0.0017485401563439606,0.0,-2959.672314837947
① Labour → capital,Capital-side recoveries,flow,65.04197016787138,134.59373693580312,208.6553003037952,287.2266602718476,370.30781683996037,457.89877000813345,549.9995197763669,646.6100661446605,747.7304091130147,853.360548681429,963.5004848499037,1051.091438018077,1138.68239118625,1226.273344354423,1313.8642975225962,1401.4551976216499,1495.9621231013166,1579.6646377498548,1596.0699273234713,1596.0893096667871,17684.077949637212
① Labour → capital,Channel 1 net,subtotal,-38.18047095691756,-145.10487416356779,-278.96076018562803,-423.12189822701174,-565.9008432466596,-702.3268582919693,-829.1114532192901,-944.2534911168543,-1046.139454400295,-1133.344850534169,-1204.4558732613118,-1257.0804776859568,-1279.3035259866049,-1283.2045047991214,-1272.9728424281002,-1249.7411898619162,-1234.2748913455166,-1246.4788963221806,-1195.3827472016023,-1142.6989819443986,-18472.03888517907
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,53.970803310001074,111.4964063772376,172.57680920170955,237.212011783417,305.4020141223598,377.1468162185381,452.4464180719517,531.300819682601,613.7100210504856,699.6740221756057,789.192823057961,860.9376251541394,932.6824272503178,1004.4272293464961,1076.1720314426746,1147.9167889819826,1268.7061897870806,1450.7106878856575,1483.7432214038465,1483.7778187513209,15053.202985055386
③ Taxable → consumer surplus,Consumption tax change,flow,-3.834721177019127,-9.325326604989835,-15.908972310561666,-22.914093413832518,-30.28277999412644,-37.9003995376675,-45.74527279325053,-53.799381925595654,-62.05936850646269,-70.52530296898307,-79.20195457652082,-86.58947002554376,-93.17324191127915,-99.36124914844054,-105.38105179325368,-111.24692600012857,-116.72932967766661,-120.40181220016437,-119.3613187797781,-117.17701418135636,-1400.9189875266209
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,60.92079503084223,105.9638703140611,163.82344053983547,230.27495369939393,305.0006197561309,387.21230371058044,476.71101053791426,573.3118824159071,676.9269884404505,787.4908964775321,904.9641831471216,995.1187303504188,1099.3740648240944,1203.1823994962567,1307.8186939307902,1413.1604443275737,1513.9800493018383,1588.8595945056481,1620.8382493672918,1656.5160714520498,17071.449241625734
Net,Net fiscal impact (federal + state),net,-102.93598716477891,-260.3940710826187,-458.6931730360252,-676.3109453402382,-901.184242996917,-1127.4395615402173,-1351.5677365504548,-1571.3647554583572,-1785.1258113472084,-1991.3610499806841,-2188.622010984954,-2338.788678061919,-2471.8508327219783,-2585.7481534438184,-2686.1725881521443,-2774.1485601896184,-2864.9842703250215,-2955.740303027993,-2935.582315348672,-2916.3920675778045,-36944.40711433143
