group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Total
Federal revenue changes,Income tax,flow,-48.90133465203009,-107.3850958514462,-176.89423272565907,-250.53037083222688,-327.60339222476614,-406.82193067909435,-487.82729708311876,-570.2861870481869,-654.0096118360625,-738.841796107053,-824.6798479385636,-893.6165767728305,-957.4552323182446,-1016.9269854029408,-1074.392501374982,-1129.9608088480659,-1178.965119522119,-1198.388109928505,-1168.468230112906,-1138.530621718262,-14350.485282977064
Federal revenue changes,Payroll (FICA),flow,-47.781954131667035,-105.29464557421268,-173.97908936142687,-246.83152036101768,-323.1385386089247,-401.57904882433974,-481.77688748900744,-563.3797237943755,-646.177712637573,-729.9881419949404,-814.6707039544765,-880.2429084966677,-940.8961353941368,-997.023308901804,-1051.0644473242176,-1103.1409960933165,-1148.5608460359463,-1164.7650202850934,-1130.9507683491702,-1097.4283933130278,-14048.67079092534
Federal revenue changes,Corporate recovery,flow,61.867217031988964,128.03512479596563,198.50372329192993,273.2730125198819,352.34299247982153,435.71366317174886,523.3850245956638,615.3570767515664,711.6298196394567,812.2032532593346,917.0773776112002,1000.4480483031277,1083.818718995055,1167.189389686982,1250.5600603789094,1333.9286316949253,1410.9537567408934,1457.0694862379526,1462.0893664519535,1462.0893664519535,16657.535110090314
Federal revenue changes,Compute-pool tax,flow,3.1747531358824164,6.558612139837506,10.151577011865271,13.953647751965706,17.96482436013881,22.1851068363846,26.61449518070305,31.252989393094172,36.100589473557974,41.15729542209445,46.4231072387036,50.64338971494937,54.86367219119517,59.08395466744095,63.304237143686734,67.5244213024607,71.4315879222305,73.86778016299922,74.1360178576493,74.1360178576493,844.5280767644889
Federal revenue changes,Survivor wage taxes,flow,4.782770005368446,-36.08314241993256,-82.50450397206492,-133.3872120181565,-179.46384877006182,-218.58797406219344,-248.22591864141143,-266.9540786666495,-273.44973944205213,-266.5561931194596,-245.10105580352194,-220.38701135428025,-177.95212039094037,-128.2059161547151,-70.42372740896812,-5.368328383264066,21.867247002381895,1.3377072768710798,0.0,0.0,-2524.66304632305
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46336779077911,43.529250165538464,45.69029270162352,45.69029270162352,151.37320335956463
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,3.9420007231398047,4.322315249563654,4.702629775987502,5.082944302411354,5.463258828835201,5.843573355259049,6.2238878816828995,6.6042024081067465,6.984516934530599,7.364831460954445,7.745145987378297,5.843573355259057,5.843573355259054,5.843573355259043,5.843573355259057,5.8434969180561716,5.3499813151161515,3.3337556028114275,0.39499934347608456,0.0,102.5758335083456
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-22.916547887317492,-109.84683166022464,-220.0198959793682,-338.4394986371421,-454.4347039349571,-563.246610202235,-661.6066955554878,-747.4057209564445,-818.9221378681423,-874.6607510790694,-913.20597685928,-937.3114852504423,-931.7775235618127,-910.0392927497777,-876.1728052303125,-831.1735834092042,-801.4600247866643,-784.0151507674254,-717.1083221073736,-654.0433380200633,-13167.806896502743
Federal outlay changes,Means-tested transfers,flow,19.876270179011275,49.19784050307351,85.03583500610581,123.45990661145225,164.0343559394143,205.98702642073727,249.07175381917278,293.0536179953474,337.7723840314517,383.07409031539447,428.8126322374084,464.08839405534764,494.5506225452727,522.3923671022061,549.0252074496988,574.5130675155918,596.6658507533774,604.5593124594377,586.2077720626316,565.4982267232464,7296.876533725379
