period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_target_M,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.2,137.62161029843563,16.33218970156438,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,10.608500538190269,434.438525364348,12.029708056065765,259.4511830159281,232.911875885135,16.932016724706223,1693.201672470622,338.64033449412443,1354.5613379764975,1083.649070381198,203.18420069647465,67.72806689882484,0.0,340.29592697553755,340.29592697553755,0.9968513035767154,1.1012604992161044,341.37079999248766,341.37079999248766,1.0580281471351847,1.0580281471351847,0.2581620159500677,340.29592697553755,18.010442298487785,2.2771096159245756,67.72806689882475,0.0,0.0,0.0,-0.0,0.0,1.005504541207228,1.005504541207228,195.60533860812035,191.12781652666814,79.5050807160451,157.68002892559215,15.768002892559219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.03321869600222,47.705370229559435,15.338884708076508,22.266073374290865,83.03321869600222,0.0,41.51660934800111,41.51660934800111,0.0,0,True,5.222740547978136,5.222740547978136,697.4808062387025,4879.689182666099,2173.2959269755374,6.7570842919893845,3473.483390651999
1,0.36,111.93860954652727,20.460260203930204,13.53530221517148,0.8166094850782191,1.6332189701564381,5.222740547978136,0.34705903115824316,153.9538,2.328306436538696e-16,27.29077843708484,1009.0664302885427,27.941294007862794,472.95040349494815,492.1001372292693,35.49617093821536,3549.6170938215346,709.923418764307,2839.6936750572277,2271.7549400457824,425.9540512585841,141.98468375286126,0.0,893.4600143472952,1247.3677784018541,0.9940036073277699,1.2122818591490747,898.8498711279618,1254.8926072363217,2.3432612581103056,3.2714486857920284,0.5934728707812558,893.4600143472952,-102.869044848007,-13.010281426878338,141.98468375286035,0.0,0.0,0.0,-0.05304250269095134,0.10608500538190269,0.9611839570981164,1.0142264597890678,449.95016410814037,447.460308970189,216.23828901853767,194.6006378967666,19.46006378967666,0.0,0.0,0.0,29.397941462815886,0.0,0.0,0.0,0.0,0.0,0.0,226.28474644374919,111.65595721021332,39.50703122701367,62.11147657964383,226.28474644374919,0.0,113.14237322187459,113.14237322187459,0.0,0,True,16.41662251829863,11.193881970320495,2192.389034950641,4529.576854030825,2726.4600143472953,7.150636873295488,3401.8576267781255
2,0.52,73.7115709787844,27.033156597422384,28.173822354830524,2.7775246334322103,5.555049266864421,15.522228199457375,1.180447969208689,153.9538,5.82076609134674e-17,52.12097981421413,1807.3279267393368,50.045348307945105,788.0070170682476,816.0517413609826,58.52125033727484,5852.125033727484,1170.4250067454968,4681.700026981987,3745.36002158559,702.2550040472981,234.08500134909917,0.0,1649.1908028479809,2946.453292385909,0.991122350928763,1.3499814062465667,1663.962881376405,2972.845168535288,3.606859703661557,6.444035238782057,0.907798686488966,1649.1908028479809,-174.03581761042363,-21.899883446600334,234.08500134909877,0.0,0.0,0.0,-0.1329743788572494,0.2659487577144988,0.9020659157196401,1.0350402945768895,801.2021567614544,805.2816181450831,413.34744931359364,255.45096212458253,25.54509621245825,0.0,0.0,0.0,99.99088680355958,0.0,0.0,0.0,0.0,0.0,0.0,415.07942298815874,200.84415183279935,73.12678207868768,119.20860563007133,415.07942298815874,0.0,207.53971149407937,207.53971149407937,0.0,0,True,29.524617241808624,14.002389042351245,3942.9210868377945,4102.398495393755,3482.190802847981,7.615718972943486,3307.4602885059207
3,0.6799999999999999,40.07053378168948,19.63864815474367,45.75278380667959,6.313984991017725,12.62796998203545,26.866435662651547,2.683443621182533,153.9538,1.164153218269348e-16,73.97236457840633,2517.56993615075,69.71212167986755,949.8603681919694,1067.1445848566693,76.52778890259016,7652.7788902590155,1530.5557780518031,6122.223112207213,4897.77848976577,918.3334668310819,306.1111556103604,0.0,2237.7115796895523,5302.023003770899,0.9892484095764565,1.4576679927839715,2262.032021509765,5359.64774109765,4.204649297898566,9.962475728592416,1.0829164903832023,2237.7115796895523,-157.22329232536518,-19.528076517933698,306.1111556103606,0.0,0.0,0.0,-0.24966479888194015,0.4993295977638803,0.8354888496255523,1.0851536485074924,1118.0511690650985,1119.3648313904278,591.1462883598218,186.99434736828954,18.69943473682895,0.0,0.0,0.0,227.3034596766381,0.0,0.0,0.0,0.0,0.0,0.0,576.3274410492156,280.1539356952233,104.92569637220049,171.71973246385818,576.3274410492156,0.0,288.1637205246078,288.1637205246078,0.0,0,True,39.63119981819441,12.764764155542867,5292.623852835716,3750.5325157151974,4070.7115796895523,7.64884748367071,3226.836279475392
4,0.8400000000000001,8.400541811689829,19.62839308564476,54.19314923802953,10.926878372221465,21.85375674444293,34.307157439777356,4.643923308194123,153.9538,1.164153218269348e-16,94.54346575940976,3147.602579459812,87.15787826520516,1141.8652732230614,1318.0601823531015,94.52259541332904,9452.259541332902,1890.4519082665806,7561.8076330663225,6049.446106453059,1134.2711449599483,378.0903816533158,0.0,2654.1500680095187,8168.253991931253,0.9875313553247156,1.565284416757604,2687.6615650718177,8271.386977120746,4.3077174621874,13.257174408006383,1.1255745599264524,2654.1500680095187,30.413687103122406,3.3827959377310686,359.39345786833303,9.348461892491395,9.348461892491395,2.0368534854115468,-0.34668338237880136,0.6933667647576027,1.1533166176211986,1.5,1399.8328793686862,1397.724587599685,740.0555425098777,186.89195054029017,18.68919505402902,0.0,0.0,0.0,393.36762139997273,0.0,0.0,0.0,0.0,0.0,0.0,693.5096883679076,350.0451124914406,131.92959164130446,214.91778017289366,693.5096883679076,0.0,344.9200059542999,348.5896824136079,0.0,2,True,43.89336160196907,9.586204162191711,5861.822343543392,3648.9650464406222,4487.150068009519,7.282698494104389,3166.4103175863925
5,1.0,0.044741993381605505,7.669276786245892,61.17960320074507,16.33331336039405,32.6666267207881,29.118579760277814,6.94165817816747,153.9538,1.164153218269348e-16,99.9709380389561,3200.115645845824,88.61197780028375,1051.4421057280967,1403.4827487362884,101.16593620163769,10116.593620163769,2023.3187240327538,8093.274896131015,6474.619916904812,1213.9912344196523,404.6637448065505,0.0,2709.710193002992,11204.694344611496,0.9849494512144381,1.6050143565293542,2751.1159985539684,11375.90800299057,3.981732840862029,16.46452803660077,1.0443731735228285,2709.710193002992,0.051376239385305195,6.5006830640647e-05,1.7083638286418088,201.47769048895435,201.47769048895435,43.673677603558076,-0.4352774892989648,0.8705549785979296,1.0647225107010352,1.5,1426.8578072062567,1419.2921785400383,759.936872069988,71.10865888154792,7.110865888154793,0.0,0.0,0.0,587.9992809741858,0.0,0.0,0.0,0.0,0.0,0.0,710.7329262655951,353.96566009952966,136.3707563963355,220.39657477656078,710.7329262655951,0.0,327.73575370033547,382.99717256525963,1.2874603271484375e-14,22,True,44.67750509253174,15.558925332253919,5966.54227534552,3692.1346189227297,4542.710193002992,6.67520032537248,3132.0028274347405
6,1.0,0.0,0.044741993381605505,57.05850928921876,21.23168634775749,42.46337269551498,24.132022976330244,9.023466697796934,153.9538,1.164153218269348e-16,100.0,3078.731728461879,85.25082770981734,943.8717695261635,1403.9800730031598,101.20010347821051,10120.010347821051,2024.0020695642102,8096.008278256841,6476.8066226054725,1214.401241738526,404.80041391284175,0.0,2685.505119090898,14338.387237486855,0.9849372002599136,1.6052186910477326,2726.5749718684847,14557.666451935333,3.6534369476874122,19.50634662033986,0.9312175327284101,2685.505119090898,0.0,0.0,0.0,202.40020695642087,202.40020695642087,43.8743772813487,-0.4442969296589645,0.888593859317929,1.0557030703410355,1.5,1375.9729889405633,1362.2015173130844,731.6648296903401,0.4218093226214074,0.042180932262140744,0.0,0.0,0.0,764.3407085192696,0.0,0.0,0.0,0.0,0.0,0.0,684.5032463779934,340.55722220823105,132.16089365656035,211.78513051320198,684.5032463779934,0.0,341.86874548736694,342.6345008906265,0.0,1,True,41.84777892534112,17.71575594901087,5588.64111973653,3793.7222284413338,4518.505119090898,6.1471018740749015,3172.3654991093736
7,1.0,0.0,0.0,47.324319500455054,25.293450060704014,50.58690012140803,19.99941404163369,10.749716275799207,153.9538,1.164153218269348e-16,100.0,2977.5270046475694,82.44844437984018,903.9036741659002,1403.9800730031598,101.20010347821051,10120.010347821051,2024.0020695642102,8096.008278256841,6476.8066226054725,1214.401241738526,404.80041391284175,0.0,2711.22551499997,17623.148241986302,0.9849372002599136,1.6052186910477326,2752.688713843389,17892.66182385613,3.4152108334254105,22.199100171530457,0.8303491157864196,2711.22551499997,0.0,0.0,0.0,202.40020695642087,202.40020695642087,43.8743772813487,-0.42675209576905476,0.8535041915381095,1.0732479042309453,1.5,1333.5121961110558,1314.5706321619498,701.633038304339,0.0,0.0,0.0,0.0,0.0,910.5642021853446,0.0,0.0,0.0,0.0,0.0,0.0,659.1873295329817,329.4441763745638,127.47251729685692,202.27063586156117,659.1873295329817,0.0,329.59366476649086,329.59366476649086,0.0,0,True,39.10287284788249,19.1034588062488,5222.067424112971,3883.7717254897134,4544.22551499997,5.724159839339751,3185.4063352335093
8,1.0,0.0,0.0,39.22002978600213,28.65963673780845,57.3192734756169,16.574514387003916,12.180345613568592,153.9538,5.82076609134674e-17,100.0,2893.65358978646,80.1259691951216,871.0966389595948,1403.9800730031598,101.20010347821051,10120.010347821051,2024.0020695642102,8096.008278256841,6476.8066226054725,1214.401241738526,404.80041391284175,0.0,2732.8288595208546,21060.903031186608,0.9849372002599136,1.6052186910477326,2774.622441714753,21382.990738525135,3.1874292692230393,24.56434054551163,0.7443553072890039,2732.8288595208546,0.0,0.0,0.0,202.40020695642087,202.40020695642087,43.8743772813487,-0.4116873995387691,0.8233747990775382,1.088312600461231,1.5,1298.3228140536019,1275.0965360929465,676.7171405759209,0.0,0.0,0.0,0.0,0.0,1031.7469225611042,0.0,0.0,0.0,0.0,0.0,0.0,638.1931938501508,320.234239639912,123.57945582656488,194.37949838367376,638.1931938501508,0.0,319.0965969250754,319.0965969250754,0.0,0,True,36.82568153578331,20.251167148779395,4917.955585178605,3958.435203616171,4565.828859520854,5.325345015440021,3195.903403074925
9,1.0,0.0,0.0,32.50359968514926,31.44936394645876,62.89872789291752,13.736128798229498,13.365979677244972,153.9538,1.164153218269348e-16,100.0,2824.1434972203165,78.2012178857861,843.9078085323691,1403.9800730031598,101.20010347821051,10120.010347821051,2024.0020695642102,8096.008278256841,6476.8066226054725,1214.401241738526,404.80041391284175,0.0,2750.732631292538,24654.071783726613,0.9849372002599136,1.6052186910477326,2792.800018688147,25031.110386754288,2.9706586076626,26.62520876259973,0.6704279149118241,2750.732631292538,0.0,0.0,0.0,202.40020695642087,202.40020695642087,43.8743772813487,-0.3989245311760163,0.7978490623520326,1.1010754688239837,1.5,1269.1596136734868,1242.38237897576,656.0680903334945,0.0,0.0,0.0,0.0,0.0,1132.1771020725155,0.0,0.0,0.0,0.0,0.0,0.0,620.7943039030044,312.6015045710693,120.35308113306039,187.83971819887458,620.7943039030044,0.0,310.3971519515022,310.3971519515022,0.0,0,True,34.93845923588112,21.202330437651614,4665.92289866175,4020.312561113472,4583.732631292538,4.950210224530176,3204.602848048498
