group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-434.4385253643479,-915.3310828587953,-1521.6012218250137,-2188.8054866487264,-2742.320732407994,-3123.5787333131534,-3081.5267263902297,-2980.7859001373326,-16988.388408945593
① Labour → capital,Labour taxes gained (survivors),flow,35.509208641181516,-93.24773718833369,-157.53018294729145,-127.18056533010076,1.8202430556546387,9.942281409608853,0.0,0.0,-330.6867523592809
① Labour → capital,Capital-side recoveries,flow,203.7211800616157,409.26455821984905,648.2557963333619,921.5368030502714,1140.4521875492396,1382.2310957274374,1402.6960647688882,1401.9967222165865,7510.15440792725
① Labour → capital,Channel 1 net,subtotal,-195.20813666155067,-599.3142618272799,-1030.8756084389433,-1394.4492489285558,-1600.0483018030995,-1731.4053561761073,-1678.8306616213415,-1578.7891779207462,-9808.920753377624
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,237.0482341458871,468.8425644660477,738.1086663448312,1044.8465397822379,1290.692784436882,1797.9138905814502,1864.1794565329494,1864.1794565329494,9305.811592823235
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-15.338884708076508,-35.79319537638771,-61.245905490941944,-89.43469528986887,-114.22094300399176,-131.33078102386867,-132.3130873812336,-127.74706785903071,-707.4245601333997
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,243.6831801233689,412.2439162151434,662.9677848349744,958.6015990911103,1158.1364918373918,1340.4756552021634,1315.2778987543945,1369.7799924630967,7461.166518521644
Net,Net fiscal impact (federal + state),net,-454.2302014929961,-1047.351373418811,-1755.08929876486,-2442.485543309535,-2872.405736644483,-3203.2117924021395,-3126.42164775697,-3076.3162382428736,-17977.511832032666
