group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Total
Federal revenue changes,Income tax,flow,-195.60533860812035,-410.10892714425654,-679.1945037341785,-974.4273313747736,-1222.5027160280645,-1393.4043148392964,-1376.7399738578274,-1333.8940489455883,-7585.877154532106
Federal revenue changes,Payroll (FICA),flow,-191.12781652666814,-404.10577967417237,-673.7088188298989,-971.1571232539432,-1214.944144877261,-1383.6378175863736,-1363.873065247224,-1317.068246265856,-7519.6228122613975
Federal revenue changes,Corporate recovery,flow,178.3231549745564,354.4511721213762,560.32984986124,795.9591881941478,983.2437030633591,1132.6877421445704,1134.5029719825645,1134.5029719825645,6274.000754324379
Federal revenue changes,Windfall capital gains,flow,0.0,4.580254191396281,8.842875078032888,13.629771308026642,18.919971867643252,22.869546614288467,27.370355656173473,26.671013103871626,122.88378781943264
Federal revenue changes,Compute-pool tax,flow,25.39802508705933,50.23313190707654,79.08307139408906,111.94784354809691,138.2885126182374,159.53740984879542,159.78681055996705,159.78681055996705,884.0616155232888
Federal revenue changes,Survivor wage taxes,flow,31.52392811385329,-82.7731649521829,-139.8640218265851,-113.01223222188159,1.6216604868422184,9.008237404260425,0.0,0.0,-293.49559299569364
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,67.13639711978293,81.03592657018321,81.03592657018321,229.20825026014933
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,15.768002892559219,16.721799199424943,20.3728186530939,24.023838106762845,18.09093149455082,14.6759982804828,0.1745747476579366,0.0,109.82796337453246
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-135.72004406676027,-471.00151435133785,-824.1387294042067,-1113.036045693564,-1277.2820813746928,-1371.1268010134893,-1337.7423995885054,-1248.9655729948577,-7779.013188487414
Federal outlay changes,Means-tested transfers,flow,79.5050807160451,191.95213953305654,336.57706135366624,499.6002658205944,636.3839412338618,730.4864428562552,733.8668883128992,705.3490843934004,3913.7209042197787
Federal outlay changes,Unemployment insurance,flow,157.68002892559215,167.21799199424945,203.728186530939,240.2383810676284,180.90931494550819,146.759982804828,1.7457474765793657,0.0,1098.2796337453246
Federal outlay changes,SSDI,flow,0.0,14.698970731407943,46.21018056757345,99.07907469679546,175.06318085432787,266.71593163379475,367.37646396772874,460.8513392722694,1429.9951417238976
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,237.18510964163727,373.86910225871395,586.5154284521788,838.9177215850183,992.3564370336978,1143.962357294878,1102.9890997572072,1166.2004236656699,6441.995679689001
Net,Net fiscal impact (federal),net,-372.9051537083975,-844.8706166100518,-1410.6541578563856,-1951.9537672785823,-2269.6385184083906,-2515.0891583083676,-2440.7314993457126,-2415.1659966605275,-14221.008868176417
Levels,Federal revenue (absolute),level,4847.07995593324,4511.798485648662,4158.661270595794,3869.763954306436,3705.517918625308,3611.673198986511,3645.0576004114946,3733.834427005142,3733.834427005142
Levels,Federal deficit (absolute),level,2205.9051537083974,2677.870616610052,3243.6541578563847,3784.9537672785827,4102.638518408391,4348.089158308367,4273.731499345713,4248.165996660528,4248.165996660528
Levels,Federal debt (Δ cumulative),level,372.9051537083975,1232.6919764667855,2692.6538133818417,4752.313733195699,7212.044800931918,10015.615751277563,12856.971880674379,15786.416752561883,15786.416752561883
Levels,Deficit (% of GDP),level,6.862083465650164,7.098231452946772,7.2862229760561865,7.179107456367364,6.730236406293909,6.2916096271864035,5.726427208239837,5.27052932031161,5.27052932031161
State & local,State income tax,flow,-47.705370229559435,-101.11637604036638,-168.69789926093637,-243.2210320200097,-304.87387150266846,-346.5366008874835,-340.9136872851781,-329.82360492588873,-1882.8884421520906
State & local,State consumption tax,flow,-15.338884708076508,-35.79319537638771,-61.245905490941944,-89.43469528986887,-114.22094300399176,-131.33078102386867,-132.3130873812336,-127.74706785903071,-707.4245601333997
State & local,Survivor wage taxes (state),flow,3.985280527328226,-10.474572236150788,-17.666161120706374,-14.168333108219173,0.19858256881242023,0.9340440053484275,0.0,0.0,-37.19115936358726
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,22.266073374290865,55.09661315585436,96.82517503588964,143.70771561285486,183.87098629824487,211.18929618776838,212.46337374484503,203.57956879742702,1128.9988022071752
State & local,Net fiscal impact (state),net,-81.32504778459858,-202.48075680875928,-344.43514090847447,-490.53177603095236,-602.7672182360925,-688.1226340937721,-685.6901484112569,-661.1502415823464,-3756.5029638562523
State & local,Gap states must close,memo,81.32504778459858,202.48075680875928,344.43514090847447,490.53177603095236,602.7672182360925,688.1226340937721,685.6901484112569,661.1502415823464,3756.5029638562523
State & local,…closed via rate hikes,memo,81.32504778459858,202.48075680875928,344.43514090847447,490.53177603095236,602.7672182360925,685.5682537565134,684.3440702309157,661.1502415823464,3752.6025053386525
State & local,…closed via spending cuts,memo,0.0,0.0,0.0,0.0,0.0,2.5543803372586162,1.3460781803413049,0.0,3.900458517599921
