period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,swf_revenue_B,fed_vat_B,shareholder_cg_tax_B,shareholder_realized_B,shareholder_windfall_stock_B,shareholder_undist_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.05,150.07490494587844,3.8788950541215406,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,2.519518877820204,103.17914977403264,2.8570556633156188,61.619655966282934,33.27637445507348,6.032030958176592,402.1353972117728,120.64061916353182,281.49477804824096,154.82212792653254,84.44843341447229,42.22421670723614,0.0,93.9003903214964,93.9003903214964,0.9985926516078883,1.0240493685638248,94.03272712882702,94.03272712882702,0.3134144755086675,0.3134144755086675,0.06289149889554133,93.9003903214964,11.226891462671833,1.4186262723821497,42.224216707236266,0.0,0.0,0.0,0.0,0.0,1.0031058405736712,1.0031058405736712,1.0,0.992353092919036,46.45626791942859,45.392856425083686,18.882456670060716,37.44900686982814,3.7449006869828136,0.0,0.0,0.0,0.0,0.0,112.46159844946222,26.032777418856995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84257670170047,11.330025429520365,3.6429851181681703,5.288192426394081,18.84257670170047,0.0,9.421288350850235,9.421288350850235,0.0,0,True,0.7232407868230636,144.87984683444083,4945.231073218392,1926.9003903214964,6.431479923803946,3505.5787116491497
1,0.08000000000000002,146.66626379257985,2.6854003664755193,3.0298761439104442,0.5773850256098793,0.19394475270607703,0.7232407868230636,0.07768913189513961,153.9538,1.164153218269348e-16,4.733586444387949,175.71335475959484,4.865545378456223,72.74202598151093,55.38338688633221,10.019683063506255,667.978870900417,200.39366127012508,467.58520963029184,257.17186529666054,140.27556288908755,70.13778144454376,0.0,125.67508759795065,223.33149353230692,0.9976980210388003,1.0399479134901217,125.96505650787812,223.8467841198831,0.3828032850263447,0.6802623416305543,0.10162267066740928,125.67508759795065,27.541263044888282,3.4794010000399447,70.13778144454355,0.0,0.0,0.0,0.002519518877820204,0.025195188778202038,1.0078074758617104,1.0052879569838902,1.0,0.9824925543977493,79.13223754754729,77.19368106973636,36.448265838811466,25.787709706765362,2.5787709706765365,0.0,0.0,0.0,0.8547081482159129,4.498463937978489,182.02526373111843,43.17678881229095,0.0,0.0,3.4910055487093867,0.0,0.0,0.0,0.0,0.0,0.0,33.3629269591702,19.38743614231122,6.9488413809648035,10.506050435934121,33.3629269591702,0.0,16.6814634795851,16.6814634795851,0.0,0,True,0.534399838562246,251.93100900595334,4922.851893496336,1958.6750875979506,5.9660770655709925,3498.318536520415
2,0.11000000000000001,143.1779160870402,2.9539478669774635,4.4725494373948855,1.5262543214902278,0.5158706175665284,1.1003794842238837,0.2068821853068453,153.9538,1.164153218269348e-16,6.999427044320972,240.7082393236936,6.66526948392794,93.53342316077908,79.0962901362519,14.283660316653696,952.2440211102464,285.6732063330739,666.5708147771726,366.6139481274449,199.97124443315175,99.98562221657586,0.0,163.3433522374492,395.60810551104845,0.9967711729442046,1.0569481512574204,163.872468096138,396.8895933682796,0.4536967976341775,1.0988272747553924,0.12658181593264367,163.3433522374492,41.4279770059543,5.232710593466051,99.98562221657568,0.0,0.0,0.0,0.004310261035645846,0.04310261035645846,1.0120424044408662,1.0077321434052204,1.0,0.9686777201719314,108.54232623921952,105.56442837701587,50.69345096235771,28.276438895416696,2.82764388954167,0.0,0.0,0.0,1.3833920043565002,7.281010549244738,253.74526001397643,61.464058912314734,0.0,0.0,9.285671116197511,0.0,0.0,0.0,0.0,0.0,0.0,45.57294266690722,26.601484707458223,9.640635249910359,14.563533303004679,45.57294266690722,0.0,22.78647133345361,22.78647133345361,0.0,0,True,0.5718313124421015,334.97785040590634,4907.712208736523,1996.3433522374492,5.544973661197793,3492.213528666546
3,0.14,139.38358940711865,3.222495367479409,5.826687815816761,2.7652236566548813,0.9422144569963401,1.4351680202770625,0.37842127565688943,153.9538,1.164153218269348e-16,9.464014914137453,305.3890532254902,8.456296896643643,114.23916231503073,104.41508420483257,18.823962717618922,1254.9308478412615,376.4792543523784,878.4515934888831,483.14837641888573,263.53547804666493,131.76773902333244,0.0,201.22113693139795,612.6535666628885,0.9958164851876,1.0750500818657207,202.06648506475594,615.2273795180964,0.509278377332533,1.5505886660576724,0.14619839891090725,201.22113693139795,54.757718850088864,6.914224805712755,131.76773902333372,0.0,0.0,0.0,0.005881579634046197,0.05881579634046197,1.016358544567073,1.010476964933027,1.0,0.9509085902415825,137.8480411035829,133.7426953852758,64.90711868959049,30.765168084068048,3.076516808406805,0.0,0.0,0.0,1.928463976106221,10.149810400559057,327.5353340579881,80.89458771892834,0.0,0.0,16.959860225934122,0.0,0.0,0.0,0.0,0.0,0.0,57.764494539288506,33.79831673663157,12.313527066997535,18.56687554137219,57.764494539288506,0.0,28.882247269644253,28.882247269644253,0.0,0,True,0.6458359154680385,416.86743469900256,4894.211010068195,2034.221136931398,5.148489147564848,3486.1177527303557
4,0.17000000000000004,135.24671062366926,3.4910428679813568,7.1233325675669255,4.260672600043001,1.4664320171750016,1.7755709304074034,0.5900383931570509,153.9538,1.7462298274040223e-16,12.151105965770725,371.38496563294507,10.283739705702866,135.3950500718622,131.33976909207422,23.640590266401933,1576.0393510934618,472.8118053280386,1103.2275457654234,606.7751501709829,330.96826372962704,165.48413186481346,0.0,240.3522016956446,877.5119110250486,0.9948382229342475,1.0942537053150225,241.59928333546785,882.0649335696529,0.5539154865272978,2.0223132290855426,0.16183541373732105,240.3522016956446,68.23299266695656,8.613013749199592,165.4841318648137,0.0,0.0,0.0,0.007440363003160456,0.07440363003160455,1.0210073384680047,1.0135669754648442,1.0,0.9291851646067023,167.7595596063373,162.47224757775976,79.49873122122342,33.25389727271942,3.325389727271942,0.0,0.0,0.0,2.48926853884071,13.101413362319525,403.3126827527075,101.46837523213178,0.0,0.0,26.39577630915003,0.0,0.0,0.0,0.0,0.0,0.0,70.22280284661034,41.15315844884799,15.04023656904257,22.64242157791936,70.22280284661034,0.0,35.11140142330517,35.11140142330517,0.0,0,True,0.7159369218325631,499.09972252109986,4881.596203107449,2073.3522016956445,4.778245780327704,3479.888598576695
5,0.2,130.7711833333534,3.7595903684832974,8.389142419933547,5.9875557530708114,2.0859293354727857,2.119271249163354,0.8411275405228029,153.9538,1.164153218269348e-16,15.058164635524818,439.1765344516457,12.160904675977356,157.15893612566867,159.87034479797683,28.733542963002712,1915.5695308668473,574.6708592600542,1340.8986716067932,737.4942693837363,402.26960148203796,201.13480074101895,0.0,281.1076740757759,1193.7200615418265,0.9938405056437267,1.1145590216053258,282.84988635444864,1201.1183431979707,0.5895152893294174,2.503368966257623,0.17415721527441522,281.1076740757759,81.98312514279118,10.344481147176754,201.13480074101773,0.0,0.0,0.0,0.009034975562644532,0.09034975562644532,1.0260897137610374,1.017054738198393,1.0,0.903507443267291,198.4815656347533,191.97636970935937,94.58683617061075,35.742626461370726,3.5742626461370732,0.0,0.0,0.0,3.065176388920577,16.1325073101083,480.9978151121061,123.18542145192504,0.0,0.0,37.546728038510146,0.0,0.0,0.0,0.0,0.0,0.0,83.0460729271234,48.71859910753302,17.842481473079957,26.829473493687185,83.0460729271234,0.0,41.5230364635617,41.5230364635617,0.0,0,True,0.7880616456009826,582.397940166552,4869.568516594716,2114.107674075776,4.433528188989847,3473.4769635364382
6,0.41666666666666663,106.46088894067711,23.522232747075304,9.647454934558349,7.921242930349034,2.7993295373517957,2.471000453005026,1.1316504569833772,153.9538,1.164153218269348e-16,30.848807278107394,982.087795510587,27.194249072430683,484.1066242190364,344.21523790315285,61.780472477212456,4118.698165147496,1235.609449544249,2883.0887156032477,1585.6987935817863,864.9266146809742,432.46330734048706,0.0,776.1405371432248,2017.6094011467244,0.9881564400757731,1.2463152730736067,785.4429781216721,2041.791480903582,1.355517488070931,3.523723728459268,0.3231675515304681,776.1405371432248,142.75525194779723,17.999094447733206,432.46330734048695,0.0,0.0,0.0,0.01068097964091197,0.1068097964091197,1.056111455409784,1.045430475768872,1.0,0.7715134533031678,440.54289502329357,432.82829244685536,202.74043018677327,224.49725948553893,22.449725948553898,0.0,0.0,0.0,3.6555833948520062,19.239912604484246,1072.5634361003254,264.57559126505083,0.0,0.0,50.38793167233232,0.0,0.0,0.0,0.0,0.0,0.0,185.03887942388045,108.71660804043806,37.452431284451414,56.86893454672421,185.03887942388045,0.0,92.51943971194022,92.51943971194022,0.0,0,True,4.221290640449116,1340.6020875151914,4684.2850842014195,2609.1405371432247,4.556823742192677,3422.4805602880597
7,0.6333333333333333,76.7778558273053,25.461742472922698,26.980759897957384,12.04583348747748,4.58136394408373,6.231242334000576,1.8750020362528348,153.9538,1.164153218269348e-16,50.129288249263546,1590.3533654190965,44.037270119928976,687.5739046983994,540.1582313653248,96.82308361455061,6454.872240970041,1936.4616722910123,4518.410568679029,2485.1258127734664,1355.5231706037086,677.7615853018542,0.0,1188.1086885895281,3286.4224657821214,0.9833096363742684,1.3860281950602322,1208.2752417340378,3342.205083944931,1.7361547660043692,4.802370424413839,0.45211969260956353,1188.1086885895281,228.06130038829676,28.68637903307556,677.7615853018548,0.0,0.0,0.0,0.0251534334433441,0.251534334433441,1.12471941650277,1.099565983059426,1.0,0.6109606610285419,711.6945544123508,702.3667055328059,346.5527018701801,242.47141473690985,24.247141473690988,0.0,0.0,0.0,8.151482114362473,42.902537444013014,1676.1361038946184,414.2226295146587,0.0,0.0,82.46455099350715,0.0,0.0,0.0,0.0,0.0,0.0,309.40060505556175,176.29210547393973,63.24509052338823,98.54978809130941,309.40060505556175,0.0,154.70030252778088,154.70030252778088,0.0,0,True,5.225004499281876,2294.9193639843265,4466.179979011069,3021.1086885895284,4.4146737572794725,3360.299697472219
8,0.85,44.15159912925335,27.401252198770077,43.8889730810315,17.42293596496455,7.515051179327763,10.439912535596191,3.1340759110565735,153.9538,1.164153218269348e-16,71.32152689361786,2222.256883390274,61.53483167807802,900.0389788331803,747.6993251844926,133.86137637501722,8924.09175833448,2677.2275275003444,6246.864230834137,3435.775326958775,1874.059269250241,937.0296346251203,0.0,1650.1073276342229,5067.98669204763,0.9791467164441042,1.533697787565203,1685.2503306417627,5175.921653960775,2.0262615323291397,6.223271849337821,0.5420896279429411,1650.1073276342229,298.4220033732737,37.32259231646738,937.0296346251204,0.0,0.0,0.0,0.041593640596793297,0.4159364059679329,1.2832011690872118,1.2416075284904184,1.0,0.42184906644341313,993.1336844580176,982.5500838145966,497.4729644666394,260.4455699882807,26.04455699882807,0.0,0.0,0.0,12.7386343895991,67.04544415578474,2291.2355366227425,572.1265362007487,0.0,0.0,135.27092122789975,0.0,0.0,0.0,0.0,0.0,0.0,441.4563732426698,246.57311511765982,90.08540606321722,142.12044437826032,441.4563732426698,0.0,220.7281866213349,220.7281866213349,0.0,0,True,6.1570266045949875,3324.7046410557255,4225.882128048597,3483.107327634223,4.277107478261829,3294.271813378665
9,1.0,16.89504787874921,21.305198799159133,61.63429034947056,22.594603315622106,11.601558070097651,14.977226586495505,4.945875000405831,153.9538,1.164153218269348e-16,89.0258974583614,2709.8273888383674,75.03577713950996,1004.3388490533673,905.2180119866316,161.87439947085198,10791.626631390132,3237.4879894170394,7554.138641973093,4154.7762530852015,2266.241592591928,1133.1207962959638,0.0,2089.8125977125665,7360.518757442102,0.9744790778727748,1.6453841369373747,2144.543320801195,7553.285570286066,2.2254335539917154,7.838188666068142,0.6035408855673992,2089.8125977125665,206.27053970206896,25.397710571992306,744.4976835478969,194.31155637403344,194.31155637403344,42.33544962531195,0.05917342014370393,0.5917342014370393,1.5,1.5,1.0,0.25591121493242563,1210.0720129701376,1198.8798590556453,623.4686661137509,201.8620057494137,20.186200574941367,0.0,0.0,0.0,17.41339007833285,91.64942146490971,2853.8569829983708,723.5781259786509,0.0,0.0,208.82804526175772,0.0,0.0,0.0,0.0,0.0,0.0,566.7602807691128,300.8755168125839,112.27429733831866,179.0081771902026,566.7602807691128,0.0,283.3801403845564,283.3801403845564,0.0,0,True,7.92259469409465,4587.300191187406,3927.146119412356,3922.8125977125665,4.177388341196932,3231.6198596154436
