group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-103.17914977403264,-175.7133547595949,-240.7082393236936,-305.3890532254903,-371.38496563294507,-439.1765344516457,-982.087795510587,-1590.3533654190965,-2222.2568833902737,-2709.827388838367,-2785.9323814020945,-2777.2620096705,-2735.0481304657533,-2672.570172907423,-20110.889424771496
① Labour → capital,Labour taxes gained (survivors),flow,12.645517735053984,31.02066404492823,46.66068759942035,61.67194365580162,76.84600641615616,92.32760628996793,160.75434639553043,256.7476794213723,335.74459568974106,231.66825027406128,120.41304897407747,60.18977749128356,23.973425528600032,4.405198639613019,1515.0687481556072
① Labour → capital,Capital-side recoveries,flow,39.30840541325007,66.25777809805439,94.76334245726208,125.16751089855771,157.46962789731688,191.66906414990012,409.6512937752173,645.1327970942378,894.299335949109,1126.8412511611284,1169.1270012092607,1191.2902098574677,1203.6544810177645,1210.6341001890182,8525.266199167545
① Labour → capital,Channel 1 net,subtotal,-51.22522662572858,-78.43491261661228,-99.28420926701115,-118.54959867113095,-137.069331319472,-155.17986401177762,-411.6821553398392,-688.4728889034863,-992.2129517514236,-1351.317887403177,-1496.3923312187565,-1525.7820223217486,-1507.420223919389,-1457.5308740787918,-10070.554477448344
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,84.44843341447229,140.27556288908755,199.97124443315175,263.53547804666493,330.96826372962704,402.26960148203796,864.9266146809742,1355.5231706037086,1874.059269250241,2460.5531489659616,2635.010931227962,2734.244198515945,2792.4681052739948,2826.832301140519,18965.08632365435
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-3.6429851181681703,-6.9488413809648035,-9.640635249910359,-12.313527066997535,-15.04023656904257,-17.842481473079957,-37.452431284451414,-63.24509052338823,-90.08540606321722,-112.27429733831866,-119.27668458592133,-118.64973716301395,-116.6431298183502,-113.8623220120456,-836.91780564687
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,57.87475527930012,73.6542605595438,99.99145038743492,128.12250573255807,158.46543665374028,191.13140151804174,512.0448299428149,745.7913142182155,1009.2653430622521,1192.9806937401836,1148.011573489921,1225.845039727944,1286.0771565300427,1335.4037816083164,9164.65954245031
Net,Net fiscal impact (federal + state),net,-112.74296702319687,-159.0380145571209,-208.91629490435645,-258.98563147068654,-310.5750045422549,-364.1537470028993,-961.1794165671055,-1497.50929364509,-2091.563700876893,-2656.5728784816793,-2763.6805892945986,-2870.2767992127065,-2910.140510267782,-2906.796977699154,-20072.131825545526
