group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Total
Federal revenue changes,Income tax,flow,-46.45626791942859,-79.13223754754729,-108.54232623921952,-137.8480411035829,-167.7595596063373,-198.4815656347533,-440.54289502329357,-711.6945544123508,-993.1336844580176,-1210.0720129701376,-1246.0343631932362,-1243.994269780824,-1227.022395129211,-1201.0429057926506,-9011.757078810591
Federal revenue changes,Payroll (FICA),flow,-45.392856425083686,-77.19368106973636,-105.56442837701587,-133.7426953852758,-162.47224757775976,-191.97636970935937,-432.82829244685536,-702.3667055328059,-982.5500838145966,-1198.8798590556453,-1230.1990455953498,-1224.4248239673648,-1203.8702274403183,-1175.1739552721226,-8866.63527166929
Federal revenue changes,Corporate recovery,flow,33.27637445507348,55.38338688633221,79.0962901362519,104.41508420483257,131.33976909207422,159.87034479797683,344.21523790315285,540.1582313653248,747.6993251844926,905.2180119866316,905.2180119866316,905.9614939100339,905.9614939100339,906.0125772511662,6723.825633070009
Federal revenue changes,Windfall capital gains,flow,0.0,0.8547081482159129,1.3833920043565002,1.928463976106221,2.48926853884071,3.065176388920577,3.6555833948520062,8.151482114362473,12.7386343895991,17.41339007833285,21.689313070787616,21.77470113584784,21.45388568352699,20.91376484921541,137.5117637729642
Federal revenue changes,Compute-pool tax,flow,6.032030958176592,10.019683063506255,14.283660316653696,18.823962717618922,23.640590266401933,28.733542963002712,61.780472477212456,96.82308361455061,133.86137637501722,161.87439947085198,161.87439947085198,162.01236981516638,162.01236981516638,162.02130873367156,1203.7932500578486
Federal revenue changes,Survivor wage taxes,flow,11.226891462671833,27.541263044888282,41.4279770059543,54.757718850088864,68.23299266695656,81.98312514279118,142.75525194779723,228.06130038829676,298.4220033732737,206.27053970206896,107.84508914218392,54.47698312879864,22.340609100351745,4.368049920349349,1349.7097948764713
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.33544962531195,80.3452766809895,101.54164499641948,114.2267316090372,121.68644935496518,460.1355522667233
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,3.7449006869828136,2.5787709706765365,2.82764388954167,3.076516808406805,3.325389727271942,3.5742626461370732,22.449725948553898,24.247141473690988,26.04455699882807,20.186200574941367,0.0,0.11594051876989481,0.0,0.006949207542229635,112.1779994513433
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-37.56892678160756,-59.948106503664484,-75.08779126347731,-88.5889899318053,-101.2037968925517,-113.23148340528431,-298.51491579858043,-516.6200209889312,-756.9178719514033,-1055.6538805876444,-1199.2613184371414,-1222.5359602431527,-1204.8975324514133,-1161.2077617478633,-7891.238356984521
Federal outlay changes,Means-tested transfers,flow,18.882456670060716,36.448265838811466,50.69345096235771,64.90711868959049,79.49873122122342,94.58683617061075,202.74043018677327,346.5527018701801,497.4729644666394,623.4686661137509,659.9690567188333,653.619252357113,639.5501782224615,621.3160778460167,4589.706187334423
Federal outlay changes,Unemployment insurance,flow,37.44900686982814,25.787709706765362,28.276438895416696,30.765168084068048,33.25389727271942,35.742626461370726,224.49725948553893,242.47141473690985,260.4455699882807,201.8620057494137,0.0,1.1594051876989484,0.0,0.06949207542229635,1121.7799945134327
Federal outlay changes,SSDI,flow,0.0,3.4910055487093867,9.285671116197511,16.959860225934122,26.39577630915003,37.546728038510146,50.38793167233232,82.46455099350715,135.27092122789975,208.82804526175772,296.95308942337044,382.41098943683375,462.328483412068,535.7477083283151,2248.0707609945853
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,56.33146353988886,65.72698109428622,88.25556097397191,112.63214699959266,139.14840480309286,167.8761906704916,477.6256213446445,671.4886676005971,893.1894556828198,1034.1587171249223,956.9221461422037,1037.1896469816456,1101.8786616345294,1157.133278249754,7959.556942842441
