group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-108.60963134108698,-139.77094738133144,-179.5589962889852,-203.28636043449657,-228.49571463365652,-1117.5889976219564,-2270.786386372752,-3381.3971870549185,-3359.778424616121,-3279.9224189901147,-14269.195064735419
① Labour → capital,Labour taxes gained (survivors),flow,4.436458237725557,-48.63600454210358,-65.15902142966661,-86.03734573425764,-97.48130262095579,-44.011274272156,-139.1723749771592,14.924625177786508,0.0,0.0,-461.13624016078677
① Labour → capital,Capital-side recoveries,flow,57.2989791216381,61.74258917015526,64.89068967659023,68.03826480252108,71.185335563168,536.4993797082132,1051.8841493334387,1550.0832592329941,1573.8753334801875,1572.917468288188,6608.415448377094
① Labour → capital,Channel 1 net,subtotal,-46.87419398172332,-126.66436275327976,-179.8273280420616,-221.2854413662331,-254.7916816914443,-625.1008921858993,-1358.0746120164724,-1816.389302644138,-1785.9030911359334,-1707.0049507019266,-8121.915856519112
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,44.44654390235383,46.7641339401593,49.08172397796474,51.399314015770216,53.716904053575675,410.9196233367949,797.4784830988834,1278.763134446557,1341.901491547266,1341.901491547266,5416.372843866591
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-3.834721177019127,-5.903233105831307,-7.620834896764343,-8.637285306192862,-9.716864823072385,-41.31134274675041,-90.51886772197541,-139.42452671316263,-145.41824051272732,-141.84224742367445,-594.2281644271702
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,60.92079503084223,50.96907079167423,72.89233446227334,91.7026837756236,111.58004188320768,660.2609053126155,1134.5407163733921,1614.0511840626264,1573.9858634783473,1747.9385865523461,7118.842181722949
Net,Net fiscal impact (federal + state),net,-111.62971018958467,-183.5366666507853,-260.34049740109924,-321.6254104480496,-376.0885883977244,-1326.6731402452651,-2583.1341961118396,-3569.865013419927,-3505.307195127008,-3596.785784677947,-15834.986202669232
