group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-48.90133465203009,-201.78626057401883,-402.231817648158,-644.6248501062033,-908.1886778426609,-1181.7756740475656,-1433.0403323684009,-1442.1575037847401,-1410.389883276585,-1383.0415642303753,-9056.137898530738
Federal revenue changes,Payroll (FICA),flow,-47.781954131667035,-198.45557938222365,-397.8263029990738,-640.353916052092,-905.0779266158198,-1180.7835580565347,-1433.7640364860893,-1440.7138416425373,-1406.689024620751,-1377.3975153255597,-9028.84365531235
Federal revenue changes,Corporate recovery,flow,50.94947284987327,199.65531690962268,363.5822330698381,542.7302213305197,737.0992816916677,946.6894141532815,1163.3109359906716,1201.9045843786348,1201.9045843786348,1201.9045843786348,7609.73062913138
Federal revenue changes,Compute-pool tax,flow,6.349506271764833,24.813622090696768,45.07505263282477,67.13379789814884,90.98985788666899,116.64323259838521,143.1176864850661,148.5192578455437,148.5192578455437,148.5192578455437,939.6805294001867
Federal revenue changes,Survivor wage taxes,flow,3.938702158748546,-27.689207914838303,-127.9282011559466,-208.17036231738172,-225.5073672173609,-139.08539015073444,14.20330670508271,0.0,0.0,0.0,-710.2385198924308
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,15.481240135741015,37.55951826183232,37.55951826183232,37.55951826183232,128.15979492123796
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,3.9420007231398047,11.818022058363884,13.452469011209232,15.086915964054588,16.721362916899942,18.35580986974529,19.114312004291175,3.8305217748463125,0.0,0.0,102.32141432255023
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-31.50360678017067,-191.64408681239746,-505.87656708930626,-868.1981932829541,-1193.9634691806048,-1419.9561656334226,-1511.5768875336378,-1491.0574631664201,-1429.0955474113248,-1372.4557190699238,-10015.327705960162
Federal outlay changes,Means-tested transfers,flow,19.876270179011275,89.40952680642546,194.2370387781043,324.87990185917516,469.58019042839635,621.8689447249402,761.5282146872458,780.6718147491084,764.3488816995106,746.8035212018457,4773.204305113763
Federal outlay changes,Unemployment insurance,flow,39.42000723139804,118.18022058363884,134.52469011209232,150.8691596405459,167.21362916899943,183.5580986974529,191.14312004291176,38.30521774846312,0.0,0.0,1023.2141432255023
Federal outlay changes,SSDI,flow,0.0,7.349485365703972,37.93948213206917,98.3726163369795,193.6709557636475,324.70689139124306,490.31153116274453,682.8094397074924,856.2646668825494,1005.5899489507655,3697.015017693195
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,59.29627741040932,214.93923275576827,366.70121102226585,574.1216778367005,830.4647753610433,1130.1339348136362,1442.982865892902,1501.786472205064,1620.61354858206,1752.3934701526111,9493.43346603246
Net,Net fiscal impact (federal),net,-90.79988419057999,-406.58331956816573,-872.5777781115721,-1442.3198711196546,-2024.428244541648,-2550.090100447059,-2954.55975342654,-2992.843935371484,-3049.709095993385,-3124.8491892225347,-19508.76117199262
Levels,Federal revenue (absolute),level,4951.29639321983,4791.155913187603,4476.923432910694,4114.601806717046,3788.836530819395,3562.843834366577,3471.223112466362,3491.74253683358,3553.704452588675,3610.3442809300764,3610.3442809300764
Levels,Federal deficit (absolute),level,1923.79988419058,2239.5833195681657,2705.577778111572,3275.3198711196546,3857.428244541648,4383.09010044706,4787.55975342654,4825.843935371484,4882.709095993385,4957.849189222536,4957.849189222536
Levels,Federal debt (Δ cumulative),level,90.79988419058002,501.015199126369,1393.6335852029958,2891.69879973077,5031.7949962616485,7783.156896559174,11049.042925848082,14483.84857825349,18112.911617377016,21962.27727129463,21962.27727129463
Levels,Deficit (% of GDP),level,6.40892002052619,6.458136300876885,6.741932429917453,7.0452653047087095,7.158444335667519,7.01649986221515,6.633752716298183,6.1160426985663126,5.729732287493262,5.386951143524288,5.386951143524288
State & local,State income tax,flow,-11.926342557389859,-49.574029435639346,-99.55425200619987,-160.40436655299908,-226.8367414638883,-295.9502261558867,-358.35685649531507,-358.4170558936081,-350.2830344152673,-343.28056425980566,-2254.5834692359995
State & local,State consumption tax,flow,-3.834721177019127,-16.852679321596018,-35.85320946225041,-59.061143533143,-84.44166808024909,-110.9088210636828,-135.41246794364696,-139.19222605129355,-136.62546937249496,-133.75258799867225,-855.9349940040481
State & local,Survivor wage taxes (state),flow,0.49775607897701024,-3.501083292562043,-16.18286407019748,-26.28276508128094,-28.33207257865994,-17.142073333100143,1.4462065443472079,0.0,0.0,0.0,-89.49689573247633
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,5.566518343572716,25.455929671429775,56.15247154768396,94.30925690864213,136.47425536097714,180.78606391676615,221.40578450507266,227.55638930170934,222.76118275286322,217.3670191769675,1387.8348714856845
State & local,Net fiscal impact (state),net,-20.829825999004687,-95.38372172122718,-207.74279708633176,-340.05753207606523,-476.0847374837743,-604.7871844694354,-713.7289023996872,-725.1656712466108,-709.6696865406254,-694.4001714354453,-4587.850230458208
State & local,Gap states must close,memo,20.829825999004687,95.38372172122718,207.74279708633176,340.05753207606523,476.0847374837743,604.7871844694354,713.7289023996872,725.1656712466108,709.6696865406254,694.4001714354453,4587.850230458208
State & local,…closed via rate hikes,memo,10.414912999502343,47.69186086061359,103.87139854316588,170.02876603803261,238.04236874188715,302.3935922347177,312.76344362822437,249.401272331615,279.458992643531,302.3166429798699,2016.3832510011594
State & local,…closed via spending cuts,memo,10.414912999502343,47.69186086061359,103.87139854316588,170.02876603803261,238.04236874188715,302.3935922347177,400.96545877146286,475.7643989149959,430.2106938970944,392.08352845557533,2571.4669794570473
