group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-13.03315576093044,-27.70766295911768,-36.01231209093067,-42.069620042148905,-47.38447059954592,-52.487369764240576,-57.58948666730235,-58.37001250719781,-60.615996724161306,-63.409672242066534,-458.6797593576422
① Labour → capital,Labour taxes gained (survivors),flow,2.7378362094773925,8.523877709156222,14.671009993995792,20.34453907303797,26.005449076735168,31.821242518334632,37.8509873593198,43.16562095158119,47.8845196707021,52.82266365602584,285.82774621836614
① Labour → capital,Capital-side recoveries,flow,5.912243871888459,15.568242868202292,25.783237754809896,36.557228531711274,47.89021519890643,59.78219775639535,72.23317620417805,83.10698767577475,93.98079914737144,104.85461061896814,545.6689396282061
① Labour → capital,Channel 1 net,subtotal,-4.383075679564588,-3.615542381759168,4.4419356578750175,14.83214756260034,26.51119367609568,39.11607051048941,52.4946768961955,67.90259612015812,81.24932209391224,94.26760203292744,372.81692648893
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,11.429111289176701,30.065740706486796,49.74690629676732,70.47260806001827,92.24284599623965,115.05762010543147,138.91693038759374,159.82915646744652,180.74138254729937,201.65360862715218,1050.1559104836122
③ Taxable → consumer surplus,Consumption tax change,flow,-0.4601665412422952,-1.0175333381363236,-1.3477130688861692,-1.579615340922483,-1.7786634663559777,-1.9679144965202833,-2.156556654960896,-2.193050153703044,-2.264574322976947,-2.361235808857934,-17.127023192562355
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,7.310495403701067,13.95016290591345,16.897004926884023,19.228890078481786,21.37348546160687,23.480478707912614,25.610066501923637,24.495524555604963,25.111668470331928,25.93090108197591,203.38867809433623
Net,Net fiscal impact (federal + state),net,-12.15373762450795,-18.583238625808942,-13.802782337895174,-5.976357856803929,3.359044748132831,13.667677306056508,24.72805373931097,41.21402141085012,53.87307930060337,65.97546514209358,152.3012252020314
