group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-5.868160158243611,-12.518771623181422,-16.361065560403826,-19.215672966524174,-21.747316545138247,-24.19039081092235,-26.63810548975115,-27.24181580115708,-28.462907852431382,-29.91458098494374,-212.15878779269698
Federal revenue changes,Payroll (FICA),flow,-5.733834495800045,-12.140599703771873,-15.68389117999252,-18.21337277087088,-20.404272199933875,-22.494613403538896,-24.579205799960228,-24.66958692822306,-25.444857138043854,-26.475420763359466,-195.8396543834947
Federal revenue changes,Corporate recovery,flow,5.404283370147272,14.231987725691768,23.572264141620238,33.42511261793268,43.79053315462911,54.6685257517095,66.05909040917389,76.0034696105549,85.94784881193591,95.89222801331692,498.99534360671214
Federal revenue changes,Compute-pool tax,flow,0.5079605017411868,1.3362551425105245,2.210973613189659,3.1321159137785908,4.099682044277319,5.113672004685843,6.174085795004166,7.1035180652198475,8.032950335435528,8.962382605651209,46.67359602149387
Federal revenue changes,Survivor wage taxes,flow,2.430701966822976,7.567689715106188,13.025356038264132,18.062530723296554,23.088471429952026,28.25195194138613,33.60549994513291,38.32416757253232,42.51390231735368,46.8984270104752,253.76869866032212
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,0.47304008677677656,0.7833149052830395,0.8411102778184478,0.8989056503538564,0.9567010228892646,1.014496395424673,1.0722917679600819,0.9092262525923216,0.9092262525923224,0.9092262525923233,8.767538864283107
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-2.7860087285554442,-0.7401238383617752,7.604747330496132,18.089619167966628,29.783798906675603,42.3636418787449,55.693656627559676,70.42897877151924,83.4961627268422,96.27226213373244,400.2067349766196
Federal outlay changes,Means-tested transfers,flow,2.3851524214813526,5.246096985242495,6.859230989173403,7.933290038917211,8.824147977665149,9.65676739996895,10.481291309887645,10.293377388073132,10.355649211155223,10.588282210786026,82.6232859323506
Federal outlay changes,Unemployment insurance,flow,4.730400867767765,7.833149052830394,8.411102778184476,8.989056503538563,9.567010228892645,10.14496395424673,10.722917679600819,9.092262525923214,9.092262525923223,9.092262525923234,87.67538864283105
Federal outlay changes,SSDI,flow,0.0,0.17638764877689528,0.5425961527425023,0.99943673379703,1.5107039468360797,2.0631585075339864,2.6516346998876568,3.2742072907355637,3.8472361607798935,4.401878096679792,19.4672392377694
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,7.115553289249117,13.255633686849784,15.812929920100382,17.921783276252803,19.901862153393875,21.86488986174967,23.855843689376123,22.65984720473191,23.29514789785834,24.08242283338905,189.76591381295106
Net,Net fiscal impact (federal),net,-9.901562017804562,-13.995757525211559,-8.208182589604249,0.16783589171382474,9.881936753281728,20.49875201699523,31.837812938183554,47.76913156678733,60.20101482898386,72.1898393003434,210.44082116366855
Levels,Federal revenue (absolute),level,4980.013991271445,4982.059876161638,4990.404747330496,5000.889619167967,5012.583798906676,5025.163641878745,5038.49365662756,5053.228978771519,5066.296162726842,5079.072262133733,5079.072262133733
Levels,Federal deficit (absolute),level,1842.9015620178045,1846.9957575252115,1841.2081825896043,1832.8321641082862,1823.1180632467183,1812.5012479830048,1801.1621870618164,1785.2308684332127,1772.798985171016,1760.8101606996565,1760.8101606996565
Levels,Federal debt (Δ cumulative),level,9.901562017804562,24.194366403550255,33.128379985261006,33.954395493105004,25.091090604616436,5.345071305759686,-26.332389493251064,-74.89149274483593,-137.33925235616488,-213.64926922719323,-213.64926922719323
Levels,Deficit (% of GDP),level,6.280315535457334,6.007860039060529,5.715737709159059,5.429364077254345,5.152758936943406,4.8870245951729165,4.632369255844307,4.38132478602515,4.151783521436364,3.935095736459822,3.935095736459822
State & local,State income tax,flow,-1.4311611068867827,-3.0482916321643856,-3.967355350534326,-4.640574304753847,-5.232881854473805,-5.802365549779331,-6.37217537759098,-6.458609777817674,-6.7082317336860715,-7.019670493763328,-50.68131718145053
State & local,State consumption tax,flow,-0.4601665412422952,-1.0175333381363236,-1.3477130688861692,-1.579615340922483,-1.7786634663559777,-1.9679144965202833,-2.156556654960896,-2.193050153703044,-2.264574322976947,-2.361235808857934,-17.127023192562355
State & local,Survivor wage taxes (state),flow,0.3071342426544166,0.9561879940500341,1.6456539557316612,2.2820083497414156,2.9169776467831423,3.5692905769485015,4.245487414186892,4.841453379048873,5.370617353348417,5.9242366455506374,32.05904755804399
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,0.6679822012287259,1.4778441243467046,1.9251852846020865,2.2060124525828386,2.428324331102261,2.630085241587621,2.8265145805075975,2.7449036034653767,2.72574682506591,2.757704501179184,22.390303145668305
State & local,Net fiscal impact (state),net,-2.252175606703388,-4.58748110059738,-5.594599748290921,-6.144193748517755,-6.522892005148902,-6.831074710938734,-7.109759198872585,-6.555110155937221,-6.327935528380512,-6.214374158249807,-58.13959596163721
State & local,Gap states must close,memo,2.252175606703388,4.58748110059738,5.594599748290921,6.144193748517755,6.522892005148902,6.831074710938734,7.109759198872585,6.555110155937221,6.327935528380512,6.214374158249807,58.13959596163721
State & local,…closed via rate hikes,memo,2.252175606703388,4.58748110059738,5.594599748290921,6.144193748517755,6.522892005148902,6.831074710938734,7.109759198872585,6.555110155937221,6.327935528380512,6.214374158249807,58.13959596163721
State & local,…closed via spending cuts,memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
