period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.05,152.72888577238268,1.2249142276173286,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,0.795637540364269,32.582889402326096,0.9022281042049323,19.45883872619461,17.195447086832228,1.2699012543529669,126.99012543529666,12.699012543529667,114.291112891767,80.00377902423689,22.858222578353402,11.429111289176705,0.0,24.107519406000893,24.107519406000893,0.9997663357371701,1.001687674986935,24.11315378830534,24.11315378830534,0.08216419401718614,0.08216419401718614,0.020498321505964975,24.107519406000893,3.038401894103903,0.3839311565538011,11.429111289177504,0.0,0.0,0.0,-0.0,0.0,1.0008240020367527,1.0008240020367527,1.0,0.9975851872375903,14.670400395609027,14.334586239500112,5.962881053703383,11.826002169419414,1.1826002169419412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01434346684071,3.577902767216957,1.150416353105738,1.669955503071815,6.01434346684071,0.0,6.01434346684071,0.0,0.0,0,True,0.35283613154186516,47.12017134246418,4976.481363817122,1857.1075194060008,6.329466751243907,3515.0
1,0.07500000000000001,151.5401544585529,0.8358951822879063,0.970345039845623,0.09164672168307156,0.12249142276173286,0.35283613154186516,0.040431043326900964,153.9538,1.164153218269348e-16,1.5677726314304086,58.638411407553804,1.623711823238403,24.14958741236289,28.152167044515505,2.0727237664711264,207.27237664711262,20.72723766471126,186.54513898240134,130.58159728768092,37.30902779648027,18.65451389824014,0.0,47.62835220681661,72.45909719499753,0.9996190206531904,1.0027546110719305,47.64650454099439,72.48671313562032,0.15669565039296204,0.23838795246483444,0.04254156549295787,47.62835220681661,-3.7704711266063575,-0.47645222324153447,18.654513898240577,0.0,0.0,0.0,-0.002386912621092807,0.00795637540364269,0.9989690008879929,1.0013559135090857,1.0,0.9937723294290552,26.28908192227334,25.869119284091298,12.517094340921924,8.00292303799903,0.8002923037999031,0.0,0.0,0.0,2.2048456097111915,0.0,0.0,0.0,0.0,0.0,0.0,12.930701392455237,6.480210201189171,2.344468934582594,3.6295700334419374,12.930701392455237,0.0,12.930701392455237,0.0,0.0,0,True,0.5641407358682577,122.45941740894033,4957.896510781816,1880.6283522068165,6.187202981889344,3515.0
2,0.1,149.99115982807723,0.9848538946074008,1.4313521601031867,0.25256899698861063,0.3383990581292723,0.8437451610472942,0.1117209010469936,153.9538,1.164153218269348e-16,2.5739151433240237,90.53254939074424,2.506868233724519,35.26599772067277,40.68155127837688,2.9874608685504036,298.74608685504035,29.874608685504036,268.8714781695363,188.21003471867542,53.774295633907265,26.88714781695364,0.0,80.37181755348426,155.00468766433173,0.999451551261172,1.003970279551278,80.41592156424787,155.089746440172,0.25521218202584844,0.4922009451475227,0.06565691369754408,80.37181755348426,-8.947248457086017,-1.1305706442461692,26.88714781695488,0.0,0.0,0.0,-0.004447114227769333,0.014823714092564444,0.9975276763716592,1.0019747905994285,1.0,0.9882225040023002,40.4797397429684,40.018096630475,20.04797791738252,9.396204340191913,0.9396204340191913,0.0,0.0,0.0,6.091183046326901,0.0,0.0,0.0,0.0,0.0,0.0,20.6767774443048,10.034713017300847,3.689678319659441,5.821815463098344,20.6767774443048,0.0,20.6767774443048,0.0,0.0,0,True,0.6432577422015987,198.58462703816303,4937.963547750417,1913.3718175534843,6.075709265373195,3515.0
3,0.125,148.21408947894875,1.1338126069268952,1.9156840890447915,0.4941857834907304,0.6643941797050605,1.3122193885295823,0.21941447335419256,153.9538,1.164153218269348e-16,3.728203214893855,124.91014855335257,3.458792286150113,47.235427235961694,54.78359978841636,4.014112560590799,401.4112560590798,40.14112560590798,361.2701304531718,252.88909131722025,72.25402609063437,36.12701304531719,0.0,117.64396392034875,277.2987922146105,0.9992640750018078,1.0053346804249774,117.73060481548475,277.50301361940666,0.36051104512127746,0.8497612122271035,0.08940199225210307,117.64396392034875,-15.49030631796077,-1.9572140222917984,36.12701304531614,0.0,0.0,0.0,-0.007016968884513052,0.023389896281710176,0.9956682333974475,1.0026852022819606,1.0,0.980935710957325,55.76359770506478,55.27239649759407,28.245743435898895,10.789485642384793,1.0789485642384793,0.0,0.0,0.0,11.95909523469109,0.0,0.0,0.0,0.0,0.0,0.0,29.174154005116666,13.874154350693724,5.1425874744531335,8.200198157678004,29.174154005116666,0.0,29.174154005116666,0.0,0.0,0,True,0.7987635332937896,281.9152237687724,4916.150360392626,1950.6439639203488,5.977601150608626,3515.0
4,0.15000000000000002,146.13255462640856,1.2827713192463908,2.4193872102337366,0.8150780136165493,1.1005657881551874,1.8398424791483625,0.3636005631912055,153.9538,1.164153218269348e-16,5.080254838523912,163.62916169217004,4.5309311437441,60.6403570478217,70.45831257463395,5.152678842592312,515.2678842592311,51.526788425923115,463.74109583330807,324.6187670833156,92.74821916666163,46.37410958333082,0.0,160.41055505292,446.02831103396875,0.9990567562927372,1.0068478136930288,160.56200415296277,446.44942164154327,0.47432767374604673,1.318888093915173,0.11442482660386365,160.41055505292,-22.260717119946943,-2.812392454130386,46.374109583330124,0.0,0.0,0.0,-0.009808040498529602,0.03269346832843201,0.9936872210430895,1.003495261541619,1.0,0.9719119502941298,72.96501064696287,72.46088917920368,37.56025508711952,12.182766944577684,1.2182766944577685,0.0,0.0,0.0,19.81018418679337,0.0,0.0,0.0,0.0,0.0,0.0,38.69677221739979,18.20326186600351,6.7837828811414145,10.897335016124492,38.69677221739979,0.0,38.69677221739979,0.0,0.0,0,True,0.9524353511807658,372.90004633570555,4891.942651165571,1993.41055505292,5.894436255065222,3515.0
5,0.175,144.26974473678015,0.9103745384476521,2.939596577069505,1.2190532892786605,1.6547658890180366,2.41331138093065,0.5469535884753467,153.9538,2.328306436538696e-16,6.290234643912552,196.5462592381833,5.442413552445036,67.57888197033822,82.20136467040628,6.011458649691028,601.1458649691028,60.11458649691028,541.0312784721925,378.72189493053475,108.20625569443851,54.10312784721927,0.0,200.45030618624187,659.8594665512297,0.9989007950010403,1.0079891159752001,200.6708846257682,660.585585529084,0.5721207339223227,1.8833559772072492,0.13497938218276495,200.45030618624187,-30.774496342614196,-3.887638667175692,54.10312784721889,0.0,0.0,0.0,-0.012974591128485225,0.04324863709495075,0.9911569063516669,1.004131497480152,1.0,0.9672306086764847,87.73871365085007,86.9193383749718,45.615187815392595,8.69956368909546,0.869956368909546,0.0,0.0,0.0,29.785786002324663,0.0,0.0,0.0,0.0,0.0,0.0,47.291868452085325,21.888207212361433,8.251892106698037,13.264130465850156,47.291868452085325,0.0,47.291868452085325,0.0,0.0,0,True,1.022423308137014,458.8317146791616,4866.450231320571,2033.450306186242,5.803827909790911,3515.0
6,0.2,142.3369468901955,0.9103745384476543,3.0582607306145286,1.6734061798800592,2.2810941386628167,2.9394598794760483,0.7542576427234118,153.9538,2.328306436538696e-16,7.545674812706482,229.5844494806098,6.35724904725718,77.3887259727844,93.94441676617862,6.870238456789746,687.0238456789746,68.70238456789745,618.3214611110772,432.825022777754,123.66429222221544,61.83214611110773,0.0,242.01090079301656,921.6661513407832,0.9987451864862987,1.0091304182573717,242.31496088050142,922.8241235217478,0.666732685812339,2.5391622711711097,0.15247106113315645,242.01090079301656,-36.71552106432637,-4.637619549494294,61.83214611110725,0.0,0.0,0.0,-0.015484410058645825,0.051614700195486085,0.9893026151338608,1.0047870251925066,1.0,0.9625492670588397,102.5844168117469,101.41247765804285,53.22383866575217,8.699563689095479,0.869956368909548,0.0,0.0,0.0,41.0596944959307,0.0,0.0,0.0,0.0,0.0,0.0,55.34400762840087,25.58755501082004,9.653509450149791,15.465323617936743,55.34400762840087,0.0,55.34400762840087,0.0,0.0,0,True,1.050528355170982,532.8505571393738,4843.772196057762,2075.0109007930164,5.7165920478881596,3515.0
7,0.22500000000000003,140.37604399657684,0.9103745384476544,3.15386037066863,2.172109824029924,2.9719036535166405,3.386506694455513,0.9830009223047934,153.9538,1.164153218269348e-16,8.819370488694112,261.96559626541983,7.253890849489585,86.93856726668068,105.68746886195096,7.7290182638884675,772.9018263888466,77.29018263888467,695.611643749962,486.9281506249734,139.1223287499924,69.56116437499622,0.0,283.6978953563828,1233.0140312373896,0.9985899295529176,1.010271720539543,284.0984942471814,1234.755122945639,0.7544130642835593,3.278846649327091,0.16806269303480612,283.6978953563828,-42.40619742923675,-5.355618305346994,69.56116437499648,0.0,0.0,0.0,-0.017994549746965193,0.05998183248988398,0.9874674806356633,1.0054620303826285,1.0,0.9578679254411947,117.15631669181529,115.59284796489553,60.63514731278921,8.699563689095479,0.869956368909548,0.0,0.0,0.0,53.49426576329953,0.0,0.0,0.0,0.0,0.0,0.0,63.20016786450999,29.216431608709065,11.024261685657917,17.603856264796004,63.20016786450999,0.0,63.20016786450999,0.0,0.0,0,True,1.132667508055315,603.5217023217124,4821.931081408801,2116.697895356383,5.628750059609642,3515.0
8,0.25,138.3330019500739,0.9103745384476523,3.231202942691605,2.707371804240803,3.71697781387382,3.8250538098472995,1.229817140824943,153.9538,2.328306436538696e-16,10.146419282879737,295.17581173875146,8.173489764636816,96.71227221498593,117.43052095772326,8.587798070987185,858.7798070987184,85.87798070987184,772.9018263888465,541.0312784721925,154.58036527776932,77.29018263888467,0.0,326.774120087753,1596.7785722622643,0.9984350230106989,1.0114130228217146,327.28631564064375,1599.2814108696925,0.8387594401330006,4.098589878927393,0.18267829169516656,326.774120087753,-47.59928090732187,-6.010471066449913,77.29018263888473,0.0,0.0,0.0,-0.020440460506049973,0.06813486835349991,0.985719701779751,1.006160162285801,1.0,0.9531865838235496,132.10889422705273,130.1268951193642,68.22216089281001,8.69956368909546,0.869956368909546,0.0,0.0,0.0,66.90560064972875,0.0,0.0,0.0,0.0,0.0,0.0,71.1700341856734,32.940022392334534,12.428993093808469,19.790547633080475,71.1700341856734,0.0,71.1700341856734,0.0,0.0,0,True,1.2172504200315277,673.3840954282509,4799.8532051438815,2159.774120087753,5.543679319806824,3515.0
9,0.275,136.2053769915947,0.9103745384476543,3.294088825160406,3.2768982591035987,4.513640942972476,4.259585633615224,1.4938348091059472,153.9538,2.328306436538696e-16,11.528408528016387,329.34054033070913,9.11951937937066,106.7516635049184,129.17357305349557,9.446577878085906,944.6577878085903,94.46577878085904,850.1920090277313,595.1344063194118,170.03840180554627,85.01920090277316,0.0,371.7479076124226,2016.429837042555,0.9982804656748107,1.012554325103886,372.38824197679867,2019.9031298078169,0.9210334267850109,4.995856720783824,0.19656024563486768,371.7479076124226,-52.70838902582471,-6.654465439351526,85.01920090277301,0.0,0.0,0.0,-0.022950440826900786,0.07650146942300262,0.9839334212186259,1.0068838620455267,1.0,0.9485052422059046,147.49677112267776,145.0709473075216,76.0168067942895,8.699563689095479,0.8699563689095478,0.0,0.0,0.0,81.24553697350456,0.0,0.0,0.0,0.0,0.0,0.0,79.3357308318433,36.77282190050973,13.873150470448609,22.03529302153343,79.3357308318433,0.0,79.3357308318433,0.0,0.0,0,True,1.3113968077126439,743.9874313157787,4777.013999844467,2204.7479076124228,5.462428917454638,3515.0
