group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-32.582889402326096,-58.63428206368646,-90.50926274094613,-124.83492191144859,-163.4478246924742,-196.17456017901682,-228.97405932006902,-261.06909008258594,-293.954727466757,-327.7542293135776,-362.73962347105623,-399.0107737663017,-436.6615601815148,-475.75674240891306,-516.3512075044223,-3968.4557545050957
① Labour → capital,Labour taxes gained (survivors),flow,3.422333050657704,-4.246923349847892,-10.07613440592338,-17.437935879065932,-25.041887962856272,-34.58639616947814,-41.197472237516415,-47.50774636307734,-53.239515919544424,-58.86242664411825,-64.38434937902005,-69.85922589026528,-75.2764166540354,-80.62264955423517,-85.87240368341264,-664.7891510417389
① Labour → capital,Capital-side recoveries,flow,18.465348341185194,30.22489081098663,43.66901214692729,58.797712349007156,75.61099141722626,88.2128233200973,100.81465522296837,113.41648712583942,126.01831902871045,138.6201509315815,151.22198283445252,163.82381473732357,176.42564664019466,189.02747854306566,201.62931044593674,1675.9786238955026
① Labour → capital,Channel 1 net,subtotal,-10.695208010483196,-32.656314602547724,-56.916384999942224,-83.47514544150738,-112.8787212381042,-142.54813302839767,-169.35687633461703,-195.16034931982387,-221.175924357591,-247.99650502611436,-275.9019900156237,-305.04618491924344,-335.51233019535556,-367.3519134200826,-400.5943007418981,-2957.266281651332
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,22.858222578353402,37.30902779648027,53.774295633907265,72.25402609063437,92.74821916666163,108.20625569443851,123.66429222221544,139.1223287499924,154.58036527776932,170.03840180554627,185.49643833332314,200.95447486110012,216.41251138887708,231.87054791665395,247.32858444443087,2056.617991960384
③ Taxable → consumer surplus,Consumption tax change,flow,-1.150416353105738,-2.3442794502659523,-3.6886107165604733,-5.139130949800243,-6.775430175419172,-8.234734779870022,-9.625308676869938,-10.982808558896526,-12.372466672240968,-13.799623459856534,-15.276124204198943,-16.80630375591006,-18.394234283348286,-20.042716934255655,-21.754123221034217,-166.38631219163273
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,18.27623850925267,25.55262783957336,40.40850816338177,58.08456144931893,79.15312017177237,96.32401304152518,117.27954050137821,139.09595261069254,162.07318310181853,186.20200810947543,211.5350837746513,238.0939719353307,265.90673543837784,294.9992383529113,325.3983521523735,2258.383135151834
Net,Net fiscal impact (federal + state),net,-30.121862872841604,-60.553221892387036,-101.01350387988447,-146.69883784062657,-198.80727158529575,-247.10688084979287,-296.26172551286515,-345.23911048941295,-395.6215741316505,-447.99813659544634,-502.71319799447394,-559.9464606104842,-619.8132999170816,-682.3938687072496,-747.7467761153058,-5382.035728994799
