period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,swf_revenue_B,fed_vat_B,shareholder_cg_tax_B,shareholder_realized_B,shareholder_windfall_stock_B,shareholder_undist_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.03,152.4839029268592,1.4698970731407943,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,0.954765048437134,39.0994672827913,1.0826737250459184,23.350606471433533,15.312136215417269,2.28582225783534,152.388150522356,22.8582225783534,129.5299279440026,71.24146036920143,32.38248198600065,25.905985588800515,0.0,30.248130461729204,30.248130461729204,0.9996715763189645,1.00961974742553,30.258067927779063,30.258067927779063,0.10229261255265645,0.10229261255265645,0.02302204634771549,30.248130461729204,6.887434634566177,0.8702643213865163,25.905985588801954,0.0,0.0,0.0,0.0,0.0,1.001871164268124,1.001871164268124,1.0,0.9971022246851083,17.60448047473083,17.20150348740013,7.15545726444406,14.191202603303296,1.4191202603303295,0.0,0.0,0.0,0.0,0.0,51.749246805316446,11.978992316045472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8076652266868924,4.293483320660348,1.3804996237268856,2.003946603686178,6.8076652266868924,0.0,6.8076652266868924,0.0,0.0,0,True,0.07017403570832102,46.85762441503167,4973.8985294060185,1863.2481304617293,6.301100801582805,3515.0
1,0.044444444444444446,151.66295593895347,0.750772952197453,0.847011822307912,0.5129731745903853,0.08819382438844765,0.07017403570832102,0.02171825185404903,153.9538,5.82076609134674e-17,1.4880074808458987,48.00791779389023,1.3293508787135255,19.68418883452623,23.01253246588062,3.433315075506755,228.8876717004503,34.33315075506755,194.5545209453828,107.00498651996054,48.6386302363457,38.91090418907655,0.0,23.307878607192148,54.46345298277323,0.9995090544506381,1.0144489029037262,23.319327127059292,54.490204706257586,0.0747235424561396,0.17460628699217712,0.027699664694590943,23.307878607192148,10.345726384555627,1.3071768513593807,38.91090418907788,0.0,0.0,0.0,0.0,0.00954765048437134,1.0028274223004914,1.0028274223004914,1.0028859242276589,0.995155096699584,21.732665804216282,20.991704831422343,9.670274027971764,7.234014784725681,0.7234014784725682,0.0,0.0,0.0,0.393294275720405,2.069969872212658,75.60856561021895,17.981142472785095,0.0,0.0,1.5874888389920578,0.0,0.0,0.0,0.0,0.0,0.0,8.640120649264066,5.283547158251602,1.883850320543062,2.779900021828784,8.640120649264066,0.0,8.640120649264066,0.0,0.0,0,True,0.018290535439399347,59.07084589101376,4977.983899044498,1856.3078786071922,5.951202291570586,3515.0
2,0.05888888888888889,150.86591337564897,0.7787520278650674,0.9217673462524214,1.0939303734645787,0.18827135300126882,0.05877416984548282,0.04639135392221583,153.9538,1.164153218269348e-16,2.0057229015139733,54.67884611337776,1.514070500618775,21.474734956518958,30.926054759875687,4.611300518045751,307.4200345363834,46.11300518045751,261.3070293559259,143.71886614575925,65.32675733898148,52.26140587118517,0.0,19.658914199174202,75.75627077143064,0.9993438155712687,1.019406384785501,19.67182254281156,75.80601349709161,0.059741973396879984,0.23021765430278743,0.02892003845387173,19.658914199174202,13.896576529034478,1.7557636803427874,52.26140587118548,0.0,0.0,0.0,0.0,0.011408620052806184,1.003819780689335,1.003819780689335,1.0043346708711178,0.9928492318720183,24.874776344462123,23.78276817437236,10.875719009856574,7.49480358005986,0.7494803580059861,0.0,0.0,0.0,0.5746250986376641,3.0243426244087583,99.17195169175676,24.13570930286532,0.0,0.0,3.3888843540228386,0.0,0.0,0.0,0.0,0.0,0.0,9.516534561464196,6.02130159454328,2.1467842806611834,3.1042123666025243,9.516534561464196,0.0,9.516534561464196,0.0,0.0,0,True,0.03045050048536432,59.57839033650022,4984.900492744765,1852.6589141991742,5.630092203679741,3515.0
3,0.07333333333333333,150.0287317716309,0.8067311035326813,0.9823733766978567,1.7052800087809419,0.2938289656390471,0.064403762396117,0.07245101132243657,153.9538,1.164153218269348e-16,2.549510455973858,61.49070284491744,1.7026924644085761,23.327941115433205,39.052703097402436,5.819778585452328,387.9852390301552,58.197785854523275,329.787453175632,181.3830992465976,82.446863293908,65.95749063512638,0.0,15.946414608552361,93.97537350312592,0.9991759612161664,1.0244921930708544,15.959565909835215,94.05287672127538,0.04593095101445403,0.2706801737502889,0.03001215391095717,15.946414608552361,17.53967363052815,2.2160258967054642,65.95749063512788,0.0,0.0,0.0,0.0,0.012654133508561594,1.0048503671248654,1.0048503671248654,1.0058219154356502,0.9901846302024112,28.07533310755752,26.637865401465103,12.130123726412537,7.755592375394034,0.7755592375394035,0.0,0.0,0.0,0.7537068328573514,3.9668780676702706,122.45124235886439,30.44269280628613,0.0,0.0,5.288921381502847,0.0,0.0,0.0,0.0,0.0,0.0,10.419689533735166,6.7775043358948235,2.415986080919174,3.442225013626633,10.419689533735166,0.0,10.419689533735166,0.0,0.0,0,True,0.025454519109915724,60.001474375665616,4992.028222874757,1848.9464146085525,5.325577522121467,3515.0
4,0.08777777777777779,149.16856707332073,0.8347101792002964,1.035174948662412,2.34764038961178,0.4050394601966464,0.0627185035047655,0.09994944550339199,153.9538,2.328306436538696e-16,3.1082265762061634,68.0383260842066,1.8839977387594224,25.10995767918991,47.392477478460904,7.058749277726488,470.58328518176586,70.58749277726487,399.995792404501,219.99768582247555,99.99894810112525,79.99915848090018,0.0,11.71324569273114,108.50788040095084,0.9990055928956926,1.029706327759786,11.72490502158193,108.61588881242658,0.031974198669428806,0.29619907377949495,0.030719049341497346,11.71324569273114,21.275022395398388,2.6879612584419434,79.9991584809004,0.0,0.0,0.0,0.0,0.013954499504834073,1.0059199226301543,1.0059199226301543,1.0073476579212564,0.9871612916907628,31.15658691789831,29.377645915856565,13.330438115294388,8.016381170728222,0.8016381170728223,0.0,0.0,0.0,0.9306294419273695,4.898049694354576,145.45780142811915,36.902092983047545,0.0,0.0,7.290710283539635,0.0,0.0,0.0,0.0,0.0,0.0,11.253441442087501,7.504093250451725,2.674171056910419,3.763138393167302,11.253441442087501,0.0,11.253441442087501,0.0,0.0,0,True,0.02639936210208637,59.50707313787817,4999.724283876832,1844.713245692731,5.035600665536222,3515.0
5,0.10222222222222223,148.27947845635072,0.8626892548679099,1.083843777747843,3.015367413585221,0.5209956780786948,0.06275296412842829,0.12867245524119164,153.9538,1.164153218269348e-16,3.685730098022455,74.59727974102637,2.0656167551176847,26.908898123252502,55.945377903051074,8.32821259486823,555.2141729912154,83.28212594868229,471.93204704253304,259.5626258733932,117.98301176063326,94.38640940850658,0.0,7.254706537375701,119.01782335035507,0.9988328119700198,1.0350487888522961,7.2631840388453845,119.15690185989546,0.018766386020749398,0.30787384780281934,0.031253012248589424,7.254706537375701,25.10249174033113,3.171555069271787,94.3864094085055,0.0,0.0,0.0,0.0,0.015193919964558211,1.0070298468556034,1.0070298468556034,1.0089118983279357,0.983779216337073,34.239484310823535,32.125205812902934,14.5442027678807,8.277169966062393,0.8277169966062395,0.0,0.0,0.0,1.1054792908537054,5.818312057124765,168.20253816343507,43.513909833149555,0.0,0.0,9.377922205416505,0.0,0.0,0.0,0.0,0.0,0.0,12.081784528029786,8.232589617299912,2.933224590692248,4.087525389309412,12.081784528029786,0.0,12.081784528029786,0.0,0.0,0,True,0.02513072034055926,58.68296781695097,5007.744588401984,1840.2547065373758,4.760348336829331,3515.0
6,0.11666666666666667,147.36367940547467,0.8906683305355242,1.130517853889263,3.707210244731137,0.6415528378833457,0.06157672210007058,0.15859460538603198,153.9538,1.7462298274040223e-16,4.280583262332815,81.14472496781494,2.2469171002592474,28.71731287447055,64.71140437117293,9.628168536877553,641.8779024585034,96.28168536877551,545.5962170897279,300.0779193993503,136.39905427243198,109.11924341794555,0.0,2.5417398392120893,125.13009789007782,0.9986577195278876,1.0405195763483845,2.5451561526142203,125.29828332897951,0.006230017927920424,0.3067043845916496,0.031616906101623536,2.5417398392120893,29.022810826700717,3.666816301577692,109.11924341794517,0.0,0.0,0.0,0.0,0.016449078997751054,1.0081813351281792,1.0081813351281792,1.0105146366556887,0.9800384041413417,37.313852057590196,34.87094302256583,15.765553816692226,8.53795876139657,0.8537958761396572,0.0,0.0,0.0,1.2783392900421064,6.728101526537402,190.69592545816974,50.27814335659216,0.0,0.0,11.547951081900223,0.0,0.0,0.0,0.0,0.0,0.0,12.899152259413981,8.959929887658909,3.1922383769510048,4.4138002963817575,12.899152259413981,0.0,12.899152259413981,0.0,0.0,0,True,0.024516785562365473,57.48760500802612,5016.109723820777,1835.5417398392121,4.499067044638762,3515.0
7,0.13111111111111112,146.42051521370914,0.9186474062031394,1.1764554598188908,4.421625917021528,0.7665186122748371,0.06035824909037542,0.18967914188210638,153.9538,1.164153218269348e-16,4.893211331120673,87.73013065412384,2.429268579724868,30.55137508521862,73.69055688282651,10.958617103754458,730.5744735836305,109.58617103754457,620.988302546086,341.5435664003473,155.2470756365215,124.19766050921716,0.0,-2.373110388185089,126.51089043859506,0.9984804162695295,1.0461186902480517,-2.3767220162928986,126.70342690471432,-0.005511035998734569,0.29379420144558577,0.031855001041587706,-2.373110388185089,33.03613106040035,4.173757832583862,124.19766050921747,0.0,0.0,0.0,0.0,0.01771391856734439,1.009375766959096,1.009375766959096,1.0121558729045153,0.9759388551035691,40.401204146269585,37.63721207635344,17.00685964765053,8.79874755673076,0.8798747556730762,0.0,0.0,0.0,1.44928903348209,7.62783701832679,212.94801728994642,57.19479355337537,0.0,0.0,13.797335020947067,0.0,0.0,0.0,0.0,0.0,0.0,13.717100360947864,9.69171443150082,3.453375881193584,4.745767880837332,13.717100360947864,0.0,13.717100360947864,0.0,0.0,0,True,0.02354968965762743,56.02822524894614,5024.7760526135135,1830.626889611815,4.251235315108042,3515.0
8,0.14555555555555555,145.45033904218076,0.9466264818707518,1.2224105319311898,5.1578853055376,0.8958462791815814,0.05876636592378707,0.2219259933743461,153.9538,1.7462298274040223e-16,5.523384910160878,94.3585932496993,2.6128123154431746,32.41334864912502,82.88283543801175,12.319558295498943,821.3038863665962,123.19558295498942,698.1083034116068,383.9595668763838,174.5270758529017,139.6216606823213,0.0,-7.484652787791933,122.82156436396099,0.9983010023939204,1.0518461305512972,-7.497390836875628,123.03059304702244,-0.01646661981274195,0.2702137377015468,0.03198218157047101,-7.484652787791933,37.14258349768383,4.692376596064769,139.6216606823206,0.0,0.0,0.0,0.0,0.01900300090216367,1.0106145454078552,1.0106145454078552,1.0138356070744154,0.9714805692237551,43.50353628870083,40.42665672288639,18.269720621092073,9.059536352064923,0.9059536352064922,0.0,0.0,0.0,1.6184049314035929,8.517920691597856,234.96846547728333,64.26386042349917,0.0,0.0,16.125233025268468,0.0,0.0,0.0,0.0,0.0,0.0,14.53701653243149,10.428400238112078,3.7169012144161613,5.0840916759680255,14.53701653243149,0.0,14.53701653243149,0.0,0.0,0,True,0.022580161254307368,54.31788238347442,5033.739142786218,1825.515347212208,4.016227343758606,3515.0
9,0.16,144.60811435785484,0.819644523071581,1.2688481651442953,5.915378998946695,1.0295144819651254,0.05695744255477492,0.25534203046267334,153.9538,2.328306436538696e-16,6.070448174806442,98.16587918682663,2.7182369857603272,31.987922317116016,91.10784964178391,13.542109882075172,902.8073254716783,135.42109882075172,767.3862266509265,422.06242465800966,191.84655666273162,153.47724533018527,0.0,-15.461113498143304,111.04509779673651,0.9981414903551931,1.0569911664075327,-15.489901629719245,111.25186045239,-0.032242931743497724,0.23157578586692157,0.030894195663138807,-15.461113498143304,40.83152804148141,5.15829326438793,153.47724533018436,0.0,0.0,0.0,0.0,0.020318815984593175,1.0117424806630497,1.0117424806630497,1.015553839165389,0.9686503967039751,45.40112256079391,41.91597301838113,18.869417358976108,7.875956434779049,0.7875956434779049,0.0,0.0,0.0,1.7857603376273534,9.398738619091333,253.11979099089208,70.64119008384641,0.0,0.0,18.531260675372256,0.0,0.0,0.0,0.0,0.0,0.0,14.814368289507755,10.84878360765159,3.881329422883231,5.24254852336086,14.814368289507755,0.0,14.814368289507755,0.0,0.0,0,True,0.016557904951740293,49.08873356691322,5043.537747967271,1817.5388865018567,3.7903338763841115,3515.0
