metric,period,pct,value
fed_deficit_B,0,10,22.75580255059244
fed_deficit_B,1,10,16.921194553580406
fed_deficit_B,2,10,13.029901788600254
fed_deficit_B,3,10,8.420623599884694
fed_deficit_B,4,10,3.047356274270836
fed_deficit_B,5,10,-2.599851464769916
fed_deficit_B,6,10,-9.517230230156366
fed_deficit_B,7,10,-16.689183560063107
fed_deficit_B,8,10,-24.367291572279846
fed_deficit_B,9,10,-32.68473191894998
fed_deficit_B,0,25,25.671132188738678
fed_deficit_B,1,25,19.364539856303516
fed_deficit_B,2,25,15.561564635675587
fed_deficit_B,3,25,11.468961953845923
fed_deficit_B,4,25,6.684422112645182
fed_deficit_B,5,25,1.5326154583806386
fed_deficit_B,6,25,-3.9474837673840897
fed_deficit_B,7,25,-9.942327048187817
fed_deficit_B,8,25,-16.4574213885986
fed_deficit_B,9,25,-23.920612300524496
fed_deficit_B,0,50,29.906250504848636
fed_deficit_B,1,50,22.72240421161671
fed_deficit_B,2,50,18.866994935606595
fed_deficit_B,3,50,15.141899912696129
fed_deficit_B,4,50,10.95754839102058
fed_deficit_B,5,50,6.579929190219458
fed_deficit_B,6,50,1.9290576067928487
fed_deficit_B,7,50,-3.1607449048970366
fed_deficit_B,8,50,-9.052532901558893
fed_deficit_B,9,50,-15.618027289209074
fed_deficit_B,0,75,34.387158560834784
fed_deficit_B,1,75,26.46573991833144
fed_deficit_B,2,75,22.69908543728703
fed_deficit_B,3,75,19.504768502480694
fed_deficit_B,4,75,15.898717075160725
fed_deficit_B,5,75,12.20901687625081
fed_deficit_B,6,75,8.57980855254169
fed_deficit_B,7,75,4.341015165533749
fed_deficit_B,8,75,-0.12233851944761662
fed_deficit_B,9,75,-6.217489805394238
fed_deficit_B,0,90,38.887825022421346
fed_deficit_B,1,90,30.083741940428027
fed_deficit_B,2,90,26.98200078532654
fed_deficit_B,3,90,24.233684911704326
fed_deficit_B,4,90,21.075758791194673
fed_deficit_B,5,90,18.35063117755494
fed_deficit_B,6,90,15.007346378310515
fed_deficit_B,7,90,11.634809440505032
fed_deficit_B,8,90,7.7776799506472445
fed_deficit_B,9,90,2.966286195560775
fed_debt_B,0,10,22.75580255059244
fed_debt_B,1,10,40.49842565118129
fed_debt_B,2,10,55.495849915540965
fed_debt_B,3,10,66.68330540029785
fed_debt_B,4,10,74.06853518349027
fed_debt_B,5,10,74.87688542829692
fed_debt_B,6,10,69.2884237509402
fed_debt_B,7,10,59.22937929551432
fed_debt_B,8,10,38.84027243553323
fed_debt_B,9,10,13.498165393542857
fed_debt_B,0,25,25.671132188738678
fed_debt_B,1,25,46.1001219348163
fed_debt_B,2,25,63.34790192219368
fed_debt_B,3,25,77.4126270841351
fed_debt_B,4,25,87.25665302927118
fed_debt_B,5,25,92.74591054240123
fed_debt_B,6,25,91.99185661081438
fed_debt_B,7,25,86.30738743492047
fed_debt_B,8,25,73.96471132918506
fed_debt_B,9,25,51.93728919477775
fed_debt_B,0,50,29.906250504848636
fed_debt_B,1,50,53.51160636664107
fed_debt_B,2,50,74.45934293260905
fed_debt_B,3,50,91.48291922563142
fed_debt_B,4,50,105.64231323640576
fed_debt_B,5,50,113.72633266113519
fed_debt_B,6,50,119.88298345872153
fed_debt_B,7,50,119.88428567418298
fed_debt_B,8,50,114.70878192991427
fed_debt_B,9,50,103.09847612711121
fed_debt_B,0,75,34.387158560834784
fed_debt_B,1,75,61.801551700156296
fed_debt_B,2,75,86.2503894673855
fed_debt_B,3,75,107.48417750675202
fed_debt_B,4,75,125.11344046642749
fed_debt_B,5,75,139.81574520099423
fed_debt_B,6,75,151.0764453458473
fed_debt_B,7,75,159.44765832438733
fed_debt_B,8,75,163.77253699354776
fed_debt_B,9,75,159.82615893604162
fed_debt_B,0,90,38.887825022421346
fed_debt_B,1,90,70.14180928726773
fed_debt_B,2,90,98.08028811066247
fed_debt_B,3,90,123.29063012952211
fed_debt_B,4,90,147.75239957583972
fed_debt_B,5,90,169.1088003950503
fed_debt_B,6,90,187.97594967360348
fed_debt_B,7,90,204.80902000096313
fed_debt_B,8,90,211.56090929390476
fed_debt_B,9,90,216.17813980029754
fed_deficit_abs_pct_gdp,0,10,6.288273627795456
fed_deficit_abs_pct_gdp,1,10,5.903325140778206
fed_deficit_abs_pct_gdp,2,10,5.538682972208738
fed_deficit_abs_pct_gdp,3,10,5.196353199560986
fed_deficit_abs_pct_gdp,4,10,4.871391687499936
fed_deficit_abs_pct_gdp,5,10,4.5676769654217235
fed_deficit_abs_pct_gdp,6,10,4.2826254582412595
fed_deficit_abs_pct_gdp,7,10,4.012966752836166
fed_deficit_abs_pct_gdp,8,10,3.7579270678800714
fed_deficit_abs_pct_gdp,9,10,3.5209618485090735
fed_deficit_abs_pct_gdp,0,25,6.2946239583484065
fed_deficit_abs_pct_gdp,1,25,5.92580554381156
fed_deficit_abs_pct_gdp,2,25,5.582851369766356
fed_deficit_abs_pct_gdp,3,25,5.258172687456055
fed_deficit_abs_pct_gdp,4,25,4.950836087226891
fed_deficit_abs_pct_gdp,5,25,4.658942008283357
fed_deficit_abs_pct_gdp,6,25,4.383576493399733
fed_deficit_abs_pct_gdp,7,25,4.124234964202008
fed_deficit_abs_pct_gdp,8,25,3.878985091967561
fed_deficit_abs_pct_gdp,9,25,3.6456090543700355
fed_deficit_abs_pct_gdp,0,50,6.301779686375515
fed_deficit_abs_pct_gdp,1,50,5.951323940671081
fed_deficit_abs_pct_gdp,2,50,5.629398455831394
fed_deficit_abs_pct_gdp,3,50,5.323616253672627
fed_deficit_abs_pct_gdp,4,50,5.032504821445977
fed_deficit_abs_pct_gdp,5,50,4.757087067553687
fed_deficit_abs_pct_gdp,6,50,4.495074683807914
fed_deficit_abs_pct_gdp,7,50,4.247457874471319
fed_deficit_abs_pct_gdp,8,50,4.010225495773092
fed_deficit_abs_pct_gdp,9,50,3.7867304930130627
fed_deficit_abs_pct_gdp,0,75,6.311266545538499
fed_deficit_abs_pct_gdp,1,75,5.977871711161654
fed_deficit_abs_pct_gdp,2,75,5.679658883646223
fed_deficit_abs_pct_gdp,3,75,5.396698510398431
fed_deficit_abs_pct_gdp,4,75,5.126923269509408
fed_deficit_abs_pct_gdp,5,75,4.868998316776095
fed_deficit_abs_pct_gdp,6,75,4.623945820823023
fed_deficit_abs_pct_gdp,7,75,4.389339180695801
fed_deficit_abs_pct_gdp,8,75,4.164897713666721
fed_deficit_abs_pct_gdp,9,75,3.951860539279386
fed_deficit_abs_pct_gdp,0,90,6.319279915612853
fed_deficit_abs_pct_gdp,1,90,6.001071416753674
fed_deficit_abs_pct_gdp,2,90,5.72496939616841
fed_deficit_abs_pct_gdp,3,90,5.461828383074038
fed_deficit_abs_pct_gdp,4,90,5.2091164177354585
fed_deficit_abs_pct_gdp,5,90,4.966126879042709
fed_deficit_abs_pct_gdp,6,90,4.734326666929601
fed_deficit_abs_pct_gdp,7,90,4.51305861853881
fed_deficit_abs_pct_gdp,8,90,4.299955643895968
fed_deficit_abs_pct_gdp,9,90,4.096923191732584
employment_drop_pct,0,10,0.7242883460233651
employment_drop_pct,1,10,1.1281460064624615
employment_drop_pct,2,10,1.5293043412895913
employment_drop_pct,3,10,1.9511866214116202
employment_drop_pct,4,10,2.385402472922422
employment_drop_pct,5,10,2.836394150474321
employment_drop_pct,6,10,3.3044148374388405
employment_drop_pct,7,10,3.780948617186106
employment_drop_pct,8,10,4.260051150504034
employment_drop_pct,9,10,4.70348654333853
employment_drop_pct,0,25,0.8209252490228997
employment_drop_pct,1,25,1.2733574374758945
employment_drop_pct,2,25,1.7175001742704032
employment_drop_pct,3,25,2.1901211643261362
employment_drop_pct,4,25,2.6765524754099435
employment_drop_pct,5,25,3.1762572246053806
employment_drop_pct,6,25,3.6987578796602416
employment_drop_pct,7,25,4.212554260440521
employment_drop_pct,8,25,4.740161116280153
employment_drop_pct,9,25,5.250994574640469
employment_drop_pct,0,50,0.9526483874286062
employment_drop_pct,1,50,1.4810224388107418
employment_drop_pct,2,50,1.9969917240306945
employment_drop_pct,3,50,2.5382551238270326
employment_drop_pct,4,50,3.0943491939748324
employment_drop_pct,5,50,3.668089596902674
employment_drop_pct,6,50,4.264146429973264
employment_drop_pct,7,50,4.868553570673589
employment_drop_pct,8,50,5.453408852879749
employment_drop_pct,9,50,6.026565721537663
employment_drop_pct,0,75,1.079943418506163
employment_drop_pct,1,75,1.6815885147304117
employment_drop_pct,2,75,2.257900275151001
employment_drop_pct,3,75,2.8672293131387443
employment_drop_pct,4,75,3.4966548055653717
employment_drop_pct,5,75,4.157222115096742
employment_drop_pct,6,75,4.823398482381624
employment_drop_pct,7,75,5.493692803452574
employment_drop_pct,8,75,6.148751286280155
employment_drop_pct,9,75,6.782701204442967
employment_drop_pct,0,90,1.2163232470478968
employment_drop_pct,1,90,1.888989141869446
employment_drop_pct,2,90,2.5344864108010126
employment_drop_pct,3,90,3.218293881289838
employment_drop_pct,4,90,3.9127450102486394
employment_drop_pct,5,90,4.625291626776334
employment_drop_pct,6,90,5.369264496856398
employment_drop_pct,7,90,6.147893380362866
employment_drop_pct,8,90,6.88822767740464
employment_drop_pct,9,90,7.580019062078996
state_gap_B,0,10,5.142156194893235
state_gap_B,1,10,6.431024108528249
state_gap_B,2,10,7.057081956510479
state_gap_B,3,10,7.620961929997796
state_gap_B,4,10,8.232244753453065
state_gap_B,5,10,8.829240289203772
state_gap_B,6,10,9.45853840413833
state_gap_B,7,10,10.034619437765691
state_gap_B,8,10,10.521399225241753
state_gap_B,9,10,10.715052217221812
state_gap_B,0,25,5.848823934807958
state_gap_B,1,25,7.331727138003494
state_gap_B,2,25,8.058835377113395
state_gap_B,3,25,8.829032455201233
state_gap_B,4,25,9.526814789550023
state_gap_B,5,25,10.2584341237194
state_gap_B,6,25,10.929658976927776
state_gap_B,7,25,11.591761916641612
state_gap_B,8,25,12.155825480675713
state_gap_B,9,25,12.57343962894286
state_gap_B,0,50,6.781218067226497
state_gap_B,1,50,8.502131972879045
state_gap_B,2,50,9.299758821164026
state_gap_B,3,50,10.169463859718283
state_gap_B,4,50,10.956168417010968
state_gap_B,5,50,11.776028805377894
state_gap_B,6,50,12.58621169811674
state_gap_B,7,50,13.366780688564447
state_gap_B,8,50,14.00360656129251
state_gap_B,9,50,14.446471433215226
state_gap_B,0,75,7.653410327726622
state_gap_B,1,75,9.772647847915282
state_gap_B,2,75,10.78912114067789
state_gap_B,3,75,11.882947340567052
state_gap_B,4,75,12.840208314649887
state_gap_B,5,75,13.80970802400867
state_gap_B,6,75,14.6880660986835
state_gap_B,7,75,15.607028830179878
state_gap_B,8,75,16.38142666915889
state_gap_B,9,75,16.95493147366683
state_gap_B,0,90,8.66795254369907
state_gap_B,1,90,10.988653539732342
state_gap_B,2,90,12.211778727720086
state_gap_B,3,90,13.422889009430296
state_gap_B,4,90,14.532910928332052
state_gap_B,5,90,15.636774041022127
state_gap_B,6,90,16.73372158882439
state_gap_B,7,90,17.81036295607629
state_gap_B,8,90,18.715873941574028
state_gap_B,9,90,19.262118682406033
induced_M,0,10,0.0
induced_M,1,10,0.041678306794517554
induced_M,2,10,0.032042929428177165
induced_M,3,10,0.036000237046948394
induced_M,4,10,0.03260916017451951
induced_M,5,10,0.03165832316274032
induced_M,6,10,0.02935179761989728
induced_M,7,10,0.026987574519668225
induced_M,8,10,0.02433978483020422
induced_M,9,10,0.019903922831336192
induced_M,0,25,0.0
induced_M,1,25,0.05057873305630508
induced_M,2,25,0.03958516593137439
induced_M,3,25,0.04446364152264985
induced_M,4,25,0.04123546068085746
induced_M,5,25,0.04063100875515442
induced_M,6,25,0.03840743567220043
induced_M,7,25,0.036810223877796526
induced_M,8,25,0.03417832729299482
induced_M,9,25,0.030555917783797557
induced_M,0,50,0.0
induced_M,1,50,0.06130600460550133
induced_M,2,50,0.051089658433907975
induced_M,3,50,0.05649763437827927
induced_M,4,50,0.05409995625733148
induced_M,5,50,0.053965254077320224
induced_M,6,50,0.05306186803644772
induced_M,7,50,0.05256047345630534
induced_M,8,50,0.05052781292863262
induced_M,9,50,0.0471518139605126
induced_M,0,75,0.0
induced_M,1,75,0.07498963538434433
induced_M,2,75,0.06334173114513864
induced_M,3,75,0.07028221114700446
induced_M,4,75,0.06890986196663654
induced_M,5,75,0.06945506734757738
induced_M,6,75,0.06872531646600206
induced_M,7,75,0.06801877554491634
induced_M,8,75,0.06664246454990123
induced_M,9,75,0.0647392224843111
induced_M,0,90,0.0
induced_M,1,90,0.08897087752861041
induced_M,2,90,0.07685936028867066
induced_M,3,90,0.08504771757039473
induced_M,4,90,0.08347537532644266
induced_M,5,90,0.08552615824307506
induced_M,6,90,0.08637075409352572
induced_M,7,90,0.08671006341743949
induced_M,8,90,0.08708176269496985
induced_M,9,90,0.08545462911410658
