group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-39.099467282791316,-48.00791779389022,-54.678846113377766,-61.49070284491744,-68.0383260842066,-74.59727974102637,-81.14472496781494,-87.73013065412385,-94.3585932496993,-98.16587918682663,-707.3118679186745
① Labour → capital,Labour taxes gained (survivors),flow,7.757698955952693,11.652903235915009,15.652340209377265,19.755699527233613,23.962983653840332,28.274046809602915,32.68962712827841,37.20988889298421,41.8349600937486,45.98982130586934,264.7799698128024
① Labour → capital,Capital-side recoveries,flow,17.59795847325261,26.83914181710778,36.111980376559096,45.626188515712116,55.38185619811477,65.37906978877301,75.6179121980926,86.09846302006306,96.82079866491428,106.43571986148643,611.9090889140757
① Labour → capital,Channel 1 net,subtotal,-13.743809853586011,-9.51587274086743,-2.9145255274414055,3.891185198028282,11.306513767748498,19.055836857349554,27.16281435855607,35.57822125892342,44.29716550896358,54.259661980529145,169.3771908082037
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,32.38248198600065,48.6386302363457,65.32675733898148,82.446863293908,99.99894810112525,117.98301176063326,136.39905427243198,155.2470756365215,174.5270758529017,191.84655666273162,1104.7964551415812
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-1.3804996237268856,-1.883850320543062,-2.1467842806611834,-2.415986080919174,-2.674171056910419,-2.933224590692248,-3.1922383769510048,-3.453375881193584,-3.7169012144161613,-3.881329422883231,-27.67836084889695
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,21.931486211103206,20.54827619504572,24.11413895253581,27.841303259396646,31.599029845656727,35.45910333206277,39.41146808023112,43.468835350492604,47.632628039187,49.73158734901037,341.737856614722
Net,Net fiscal impact (federal + state),net,-37.055795688416104,-31.94799925645621,-29.1754487606384,-26.36610414228754,-22.96668713481865,-19.33649106540546,-15.440892098626051,-11.34398997276277,-7.052363744639578,0.6467452086355436,-200.03902665541523
