group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-17.60448047473083,-21.732665804216282,-24.874776344462123,-28.07533310755752,-31.15658691789831,-34.239484310823535,-37.313852057590196,-40.401204146269585,-43.50353628870083,-45.40112256079391,-324.3030420130431
Federal revenue changes,Payroll (FICA),flow,-17.20150348740013,-20.991704831422343,-23.78276817437236,-26.637865401465103,-29.377645915856565,-32.125205812902934,-34.87094302256583,-37.63721207635344,-40.42665672288639,-41.91597301838113,-304.96747846360626
Federal revenue changes,Corporate recovery,flow,15.312136215417269,23.01253246588062,30.926054759875687,39.052703097402436,47.392477478460904,55.945377903051074,64.71140437117293,73.69055688282651,82.88283543801175,91.10784964178391,524.0339282538831
Federal revenue changes,Windfall capital gains,flow,0.0,0.393294275720405,0.5746250986376641,0.7537068328573514,0.9306294419273695,1.1054792908537054,1.2783392900421064,1.44928903348209,1.6184049314035929,1.7857603376273534,9.889528532551639
Federal revenue changes,Compute-pool tax,flow,2.28582225783534,3.433315075506755,4.611300518045751,5.819778585452328,7.058749277726488,8.32821259486823,9.628168536877553,10.958617103754458,12.319558295498943,13.542109882075172,77.98563212764101
Federal revenue changes,Survivor wage taxes,flow,6.887434634566177,10.345726384555627,13.896576529034478,17.53967363052815,21.275022395398388,25.10249174033113,29.022810826700717,33.03613106040035,37.14258349768383,40.83152804148141,235.07997874068027
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,1.4191202603303295,0.7234014784725682,0.7494803580059861,0.7755592375394035,0.8016381170728223,0.8277169966062395,0.8537958761396572,0.8798747556730762,0.9059536352064922,0.7875956434779049,8.724136358524479
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-8.90147059398185,-4.8161009555026455,2.1004927447650825,9.22822287475705,16.9242838768311,24.944588401983914,33.309723820776945,41.97605261351347,50.939142786217396,60.73774796727073,226.4426835366312
Federal outlay changes,Means-tested transfers,flow,7.15545726444406,9.670274027971764,10.875719009856574,12.130123726412537,13.330438115294388,14.5442027678807,15.765553816692226,17.00685964765053,18.269720621092073,18.869417358976108,137.61776635627098
Federal outlay changes,Unemployment insurance,flow,14.191202603303296,7.234014784725681,7.49480358005986,7.755592375394034,8.016381170728222,8.277169966062393,8.53795876139657,8.79874755673076,9.059536352064923,7.875956434779049,87.24136358524478
Federal outlay changes,SSDI,flow,0.0,1.5874888389920578,3.3888843540228386,5.288921381502847,7.290710283539635,9.377922205416505,11.547951081900223,13.797335020947067,16.125233025268468,18.531260675372256,86.9357068669619
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,21.346659867747356,18.491777651689503,21.759406943939272,25.174637483309418,28.637529569562243,32.199294939359596,35.85146365998902,39.602942225328356,43.45448999842546,45.276634469127416,311.79483680847767
Net,Net fiscal impact (federal),net,-30.248130461729204,-23.307878607192148,-19.65891419917419,-15.946414608552368,-11.713245692731142,-7.254706537375682,-2.5417398392120774,2.373110388185111,7.484652787791937,15.461113498143312,-85.35215327184645
Levels,Federal revenue (absolute),level,4973.8985294060185,4977.983899044498,4984.900492744765,4992.028222874757,4999.724283876832,5007.744588401984,5016.109723820777,5024.7760526135135,5033.739142786218,5043.537747967271,5043.537747967271
Levels,Federal deficit (absolute),level,1863.2481304617293,1856.3078786071922,1852.6589141991742,1848.9464146085525,1844.713245692731,1840.2547065373758,1835.5417398392121,1830.626889611815,1825.515347212208,1817.5388865018567,1817.5388865018567
Levels,Federal debt (Δ cumulative),level,30.248130461729204,54.46345298277323,75.75627077143064,93.97537350312592,108.50788040095084,119.01782335035507,125.13009789007782,126.51089043859506,122.82156436396099,111.04509779673651,111.04509779673651
Levels,Deficit (% of GDP),level,6.301100801582805,5.951202291570586,5.630092203679741,5.325577522121467,5.035600665536222,4.760348336829331,4.499067044638762,4.251235315108042,4.016227343758606,3.7903338763841115,3.7903338763841115
State & local,State income tax,flow,-4.293483320660348,-5.283547158251602,-6.02130159454328,-6.7775043358948235,-7.504093250451725,-8.232589617299912,-8.959929887658909,-9.69171443150082,-10.428400238112078,-10.84878360765159,-78.04134744202509
State & local,State consumption tax,flow,-1.3804996237268856,-1.883850320543062,-2.1467842806611834,-2.415986080919174,-2.674171056910419,-2.933224590692248,-3.1922383769510048,-3.453375881193584,-3.7169012144161613,-3.881329422883231,-27.67836084889695
State & local,Survivor wage taxes (state),flow,0.8702643213865163,1.3071768513593807,1.7557636803427874,2.2160258967054642,2.6879612584419434,3.171555069271787,3.666816301577692,4.173757832583862,4.692376596064769,5.15829326438793,29.69999107212213
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
