period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,swf_revenue_B,fed_vat_B,shareholder_cg_tax_B,shareholder_realized_B,shareholder_windfall_stock_B,shareholder_undist_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.02,153.05552956641398,0.898270433586041,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,0.5834675296004566,23.89411889503914,0.6616339430836171,14.269815065876049,8.106425055220909,0.9312609198588424,93.12609198588422,9.312609198588422,83.8134827872958,37.716067254283104,16.76269655745916,29.334718975553532,0.0,16.61142537616901,16.61142537616901,0.999828833658451,1.0027846637284428,16.614269179842033,16.614269179842033,0.05655024264295549,0.05655024264295549,0.012618523443529891,16.61142537616901,7.799153052363904,0.9854232976794655,29.334718975554065,0.0,0.0,0.0,0.0,0.0,1.002109787541055,1.002109787541055,1.0,0.9982291373075662,10.75829362344662,10.512029908966749,4.372779439382482,8.67240159090757,0.8672401590907572,0.0,0.0,0.0,0.0,0.0,27.396660073402828,6.34181946143584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7066447594765095,2.623795362625769,0.8436386589442082,1.224634035585998,3.7066447594765095,0.0,3.7066447594765095,0.0,0.0,0,True,0.044698994476462126,17.908236347814437,4979.2337556541215,1849.611425376169,6.296628527149754,3515.0
1,0.04000000000000001,152.0520169239313,0.9588136480061892,0.4473628986920244,0.40350587399436927,0.03593081734344165,0.044698994476462126,0.011470843556205753,153.9538,5.82076609134674e-17,1.235294663768416,40.30742661738324,1.1161224117768052,19.29657502601112,16.61450846713828,1.9067909365265399,190.67909365265396,19.067909365265397,171.61118428738854,77.22503292932484,34.32223685747771,60.063914500586,0.0,17.963794479250677,35.073562616704756,0.9996505471654459,1.005701701258412,17.97007417260744,35.08582345716453,0.058641930538804024,0.11449593375680772,0.020127070337538588,17.963794479250677,15.971735478457957,2.0178332443765523,60.06391450058575,0.0,0.0,0.0,0.0,0.005834675296004566,1.004351672030228,1.004351672030228,1.0003911647753545,0.9956951881292758,18.22414342208368,17.646890222830642,7.8338781246906875,9.237086106827054,0.9237086106827054,0.0,0.0,0.0,0.2082146165578615,1.0958664029361131,54.93896107683644,12.971024879576978,0.0,0.0,0.6467547121819496,0.0,0.0,0.0,0.0,0.0,0.0,6.165529539886454,4.436392972468912,1.5213590173007134,2.2256107944933796,6.165529539886454,0.0,6.165529539886454,0.0,0.0,0,True,0.01950034727550919,25.720869091894855,4982.553924464449,1850.9637944792507,6.042380989777447,3515.0
2,0.06000000000000001,151.01315971422946,1.019356862426337,0.70187718440467,1.0535892817093069,0.09396583899042867,0.04181134688827139,0.030039771351524528,153.9538,1.164153218269348e-16,1.91007970298267,51.54730042004888,1.4273572414220157,22.70016109782361,25.52425023575211,2.9265900500030924,292.6590050003092,29.265900500030924,263.3931045002783,118.52689702512522,52.67862090005566,92.18758657509741,0.0,13.04944627892407,49.175215774129974,0.9994652724768535,1.0087511125899074,13.056427910281675,49.201525183826554,0.04084459399523066,0.1539177739798938,0.02316311373303751,13.04944627892407,24.51657331787239,3.0973382775220006,92.18758657509638,0.0,0.0,0.0,0.0,0.009658203605631854,1.0067296394211767,1.0067296394211767,1.0010297750798811,0.992398152465129,23.41537628470739,22.452890230186465,10.05315080954216,9.801770622746531,0.9801770622746532,0.0,0.0,0.0,0.417536104183957,2.197558443073458,82.62107737309955,19.887616254423406,0.0,0.0,1.691385101827716,0.0,0.0,0.0,0.0,0.0,0.0,7.40038714418795,5.679033905155016,1.973451851020018,2.8452396655349195,7.40038714418795,0.0,7.40038714418795,0.0,0.0,0,True,0.011079412459366828,21.1901907438131,4991.296860255193,1846.049446278924,5.778110313397901,3515.0
3,0.08000000000000002,149.9221802249236,1.0799000768464846,0.8616244799583923,1.8409286278569321,0.16448765473919982,0.03200955852828423,0.052669377147096574,153.9538,1.164153218269348e-16,2.6187205350412857,60.65905127463982,1.6796638308719487,25.44491948706604,34.83565036106239,3.990658260288499,399.06582602884987,39.90658260288499,359.15924342596486,161.62165954168418,71.83184868519298,125.70573519908771,0.0,5.13998975612986,55.79046200348373,0.9992731454773687,1.011932897722929,5.143728498452147,55.83104304962758,0.015423652002837176,0.16741135913608293,0.024329026228121116,5.13998975612986,33.4348552197647,4.223871753042871,125.70573519908721,0.0,0.0,0.0,0.0,0.012064487184767159,1.0092489678446455,1.0092489678446455,1.0018564406879908,0.9883380303151255,27.669366060968727,26.29970013493408,11.769420179273203,10.366455138666012,1.0366455138666013,0.0,0.0,0.0,0.6279201880355567,3.304843094923982,110.43741635047903,27.09159358597513,0.0,0.0,2.9607777853055968,0.0,0.0,0.0,0.0,0.0,0.0,8.107739046897201,6.689985078737015,2.3325815520762347,3.3090441691268233,8.107739046897201,0.0,8.107739046897201,0.0,0.0,0,True,-0.004914958624150198,10.855199418148226,5002.756663347115,1838.1399897561298,5.515736972177143,3515.0
4,0.10000000000000002,148.78665189228116,1.1404432912666327,0.9753572636010854,2.718662096995569,0.24342901935252625,0.011165577316433204,0.07809085918662653,153.9538,1.164153218269348e-16,3.356297868398739,68.60577896671865,1.8997106466017182,27.832020968040933,44.54870884306915,5.098995567382761,509.8995567382761,50.98995567382761,458.9096010644485,206.50932047900184,91.78192021288972,160.61836037255696,0.0,-4.74946577488809,52.71471008870016,0.9990743057443344,1.0152470566574767,-4.753866401708353,52.7635530066269,-0.013661638517307855,0.1516316461493971,0.024462099204465508,-4.74946577488809,42.72826593763175,5.397491501180998,160.61836037255827,0.0,0.0,0.0,0.0,0.013892177149183782,1.0119144820526773,1.0119144820526773,1.0027872964881068,0.9835148216792655,31.409203371057465,29.623717241843295,13.213160287086023,10.931139654585492,1.0931139654585493,0.0,0.0,0.0,0.8393243642636407,4.417496654019161,138.38260910173022,34.58295687423215,0.0,0.0,4.381722348345472,0.0,0.0,0.0,0.0,0.0,0.0,8.504243675188441,7.572858353817882,2.641155796182145,3.6877210263694167,8.504243675188441,0.0,8.504243675188441,0.0,0.0,0,True,0.008999701776201838,8.079031491429019,5016.075488064906,1828.250534225112,5.258885757155914,3515.0
5,0.12000000000000002,147.57666568481815,1.2009865056867808,1.0673851404739405,3.6600183192913875,0.3285076646398923,0.014632544288202608,0.10560414080165069,153.9538,3.4924596548080445e-16,4.142238980253721,76.73072091068286,2.1246922581574648,30.28935323743704,54.66342568177235,6.251601971285878,625.1601971285878,62.51601971285878,562.644177415729,253.18987983707805,112.52883548314581,196.92546209550517,0.0,-15.13823410532277,39.15791728603839,0.9988688963087006,1.018693589393551,-15.155376407520347,39.202259106020485,-0.04173662921731805,0.10795971731703823,0.024526470262083135,-15.13823410532277,52.398578078991626,6.618263266518827,196.92546209550508,0.0,0.0,0.0,0.0,0.01540460911453867,1.0147345750421815,1.0147345750421815,1.003796008918663,0.9779285265575489,35.226722279736876,33.02759882333693,14.713378635853891,11.49582417050497,1.1495824170504971,0.0,0.0,0.0,1.0517078291731496,5.5353043640692094,166.4515014758982,42.361706119194466,0.0,0.0,5.913137963518062,0.0,0.0,0.0,0.0,0.0,0.0,8.895961546664408,8.47639980760905,2.9576745744960014,4.080150431078182,8.895961546664408,0.0,8.895961546664408,0.0,0.0,0,True,0.006461576980830987,8.451163469331185,5030.0605748752,1817.8617658946773,5.0119070668095915,3515.0
6,0.14,146.30867438773038,1.2615297201069275,1.1499143921729085,4.6646950351320795,0.41982783225784925,0.013879309123441042,0.13527932347640756,153.9538,1.164153218269348e-16,4.965857037805899,84.68603071915982,2.344976714770225,32.69743519474124,65.179800877172,7.448477471997848,744.8477471997847,74.48477471997849,670.3629724798063,301.66333761591284,134.07259449596125,234.6270403679322,0.0,-26.426136544554673,13.906518260064873,0.9986570634138313,1.0222724959311513,-26.4616728932142,13.925218946057944,-0.06982508901892154,0.0367448292645856,0.024312769748539666,-26.426136544554673,62.446049557651335,7.886492393625933,234.62704036793102,0.0,0.0,0.0,0.0,0.01697460175274912,1.017714948349583,1.017714948349583,1.004845296112468,0.9715791449499758,38.969419175284884,36.35490108620818,16.177543713566987,12.060508686424443,1.206050868642444,0.0,0.0,0.0,1.2650314112168262,6.658060059035928,194.6391454880663,50.427841320862065,0.0,0.0,7.556900980641287,0.0,0.0,0.0,0.0,0.0,0.0,9.201457272429995,9.36171045766676,3.2668564136393536,4.4593827947498115,9.201457272429995,0.0,9.201457272429995,0.0,0.0,0,True,0.007939204202894911,8.741384408808495,5045.021089925188,1806.5738634554452,4.7734628413182305,3515.0
7,0.16,144.97866224900042,1.3220729345270756,1.2291604492752672,5.725072180329445,0.5168407691139804,0.01501376079366337,0.1669776569601521,153.9538,1.164153218269348e-16,5.8297604547595245,92.73744418915894,2.5679223050618205,35.142891442283215,76.09783442926813,8.689622069518675,868.9622069518674,86.89622069518676,782.0659862566806,351.9296938155063,156.41319725133616,273.72309518983826,0.0,-38.32128756523676,-23.997573757369935,0.9984389562728632,1.025983776270278,-38.38120230032765,-24.03509358944889,-0.09702990810869673,-0.06076211224754266,0.02400757091748295,-38.32128756523676,72.87195795268359,9.202334017843672,273.72309518983883,0.0,0.0,0.0,0.0,0.01849680546365684,1.02086344980526,1.02086344980526,1.0059456930295372,0.9644666768565461,42.75372186303027,39.725786367570834,17.672068435180663,12.625193202343922,1.262519320234392,0.0,0.0,0.0,1.479257505709304,7.7855658195226525,222.94079107271457,58.781362479234964,0.0,0.0,9.303133844051647,0.0,0.0,0.0,0.0,0.0,0.0,9.481623210866669,10.257935958557825,3.5803914653938893,4.8456298047586275,9.481623210866669,0.0,9.481623210866669,0.0,0.0,0,True,0.007469082549145247,9.007542050323336,5060.721683046813,1794.6787124347632,4.544145607209411,3515.0
8,0.18000000000000002,143.86102148239473,1.1101716840565596,1.3083751549514606,6.838849115322945,0.6194906548978205,0.015168743320884099,0.2007231650556187,153.9538,1.7462298274040223e-16,6.555718999859228,95.80263929441999,2.6527983003945264,33.5460941198513,85.61006373292665,9.77582482820851,977.5824828208508,97.75824828208508,879.8242345387657,395.9209055424446,175.96484690775318,307.93848208856804,0.0,-55.15059633436272,-79.86809730445376,0.9982493678092216,1.0292317483040625,-55.247314060811625,-80.00816216867125,-0.13387275282189404,-0.19387210219759937,0.02152878004405926,-55.15059633436272,81.99988312552546,10.354182888523663,307.9384820885678,0.0,0.0,0.0,0.0,0.020047802969963002,1.0236685616640655,1.0236685616640655,1.007089541397601,0.9600250114636143,44.41254266093265,40.79469980836189,17.987533450032043,10.648797396625758,1.0648797396625758,0.0,0.0,0.0,1.6943500121526307,8.917631642908583,245.76509516859298,66.12903278913936,0.0,0.0,11.15083178816077,0.0,0.0,0.0,0.0,0.0,0.0,8.869056867463,10.595396825125446,3.718079657667718,4.909763273193494,8.869056867463,0.0,8.869056867463,0.0,0.0,0,True,0.005861581520658004,8.42560402408985,5077.737758969181,1777.8494036656373,4.315557937551933,3515.0
9,0.2,142.7449882168175,1.1101716840565576,1.2450413721212181,7.890241638743962,0.7168392781909767,0.013670284123802206,0.232847525945987,153.9538,2.328306436538696e-16,7.280633399878733,99.82886114245905,2.7642853591452288,34.01089444613606,95.12229303658515,10.862027586898344,1086.2027586898341,108.62027586898343,977.5824828208508,439.91211726938286,195.51649656417015,342.15386898729787,0.0,-69.32972349239238,-151.59386371597972,0.9980609721593772,1.0324797203378473,-69.46441693075374,-151.8883795125216,-0.1613398780924841,-0.3527799370812236,0.019497574477041365,-69.32972349239238,91.13275691749772,11.506479141195705,342.1538689872992,0.0,0.0,0.0,0.0,0.01985785455535527,1.0265209031249505,1.0265209031249505,1.0082453264508862,0.9555833460706825,46.46563778177345,42.32355117073462,18.378955154961343,10.648797396625744,1.0648797396625742,0.0,0.0,0.0,1.8678147232813067,9.830603806743719,267.6764271006361,73.47670309904372,0.0,0.0,12.90310700743758,0.0,0.0,0.0,0.0,0.0,0.0,8.378346774817452,11.039672189950977,3.8620118315132097,4.983141894548968,8.378346774817452,0.0,8.378346774817452,0.0,0.0,0,True,0.006196467994554615,7.9594294360765785,5094.060583051417,1763.6702765076077,4.104305239848521,3515.0
