metric,period,pct,value
fed_deficit_B,0,10,12.375597243476257
fed_deficit_B,1,10,13.120022221537708
fed_deficit_B,2,10,7.5386909239301225
fed_deficit_B,3,10,-1.6391415246795251
fed_deficit_B,4,10,-13.178770202708595
fed_deficit_B,5,10,-25.7787242146958
fed_deficit_B,6,10,-39.84268030540819
fed_deficit_B,7,10,-55.716203303740784
fed_deficit_B,8,10,-72.92846157736709
fed_deficit_B,9,10,-90.73871303094471
fed_deficit_B,0,25,14.242149414586823
fed_deficit_B,1,25,15.186941640092227
fed_deficit_B,2,25,9.949316363001913
fed_deficit_B,3,25,1.7213502663847138
fed_deficit_B,4,25,-8.656587745674198
fed_deficit_B,5,25,-19.867239739248618
fed_deficit_B,6,25,-32.712874368329395
fed_deficit_B,7,25,-47.705873601895235
fed_deficit_B,8,25,-64.03784613207395
fed_deficit_B,9,25,-79.98401214121542
fed_deficit_B,0,50,16.537056237274108
fed_deficit_B,1,50,17.719669046609916
fed_deficit_B,2,50,12.821820745077721
fed_deficit_B,3,50,5.307299487170061
fed_deficit_B,4,50,-4.009503396259719
fed_deficit_B,5,50,-14.208558647513499
fed_deficit_B,6,50,-25.077503427099792
fed_deficit_B,7,50,-38.28964079932564
fed_deficit_B,8,50,-52.27548351631307
fed_deficit_B,9,50,-66.57936912529496
fed_deficit_B,0,75,18.96802118572859
fed_deficit_B,1,75,20.525950067404384
fed_deficit_B,2,75,15.844285042834386
fed_deficit_B,3,75,8.986429313837368
fed_deficit_B,4,75,0.3346857287693115
fed_deficit_B,5,75,-8.737926108654717
fed_deficit_B,6,75,-18.85710810903471
fed_deficit_B,7,75,-30.45101455118547
fed_deficit_B,8,75,-42.451648305557804
fed_deficit_B,9,75,-55.38606699174155
fed_deficit_B,0,90,21.09269010499693
fed_deficit_B,1,90,23.27062224638366
fed_deficit_B,2,90,19.24524034346786
fed_deficit_B,3,90,12.795742136220044
fed_deficit_B,4,90,4.968533106868469
fed_deficit_B,5,90,-3.248311659929267
fed_deficit_B,6,90,-12.153160849405205
fed_deficit_B,7,90,-22.251403434407397
fed_deficit_B,8,90,-33.5697093564815
fed_deficit_B,9,90,-45.6449887661553
fed_debt_B,0,10,12.375597243476257
fed_debt_B,1,10,26.039183620991366
fed_debt_B,2,10,35.73380503856203
fed_debt_B,3,10,37.19801966169505
fed_debt_B,4,10,26.938087202918197
fed_debt_B,5,10,4.811290731255204
fed_debt_B,6,10,-34.34922796015762
fed_debt_B,7,10,-87.61701078609771
fed_debt_B,8,10,-159.0688769458664
fed_debt_B,9,10,-253.1751245240619
fed_debt_B,0,25,14.242149414586823
fed_debt_B,1,25,30.076232211924427
fed_debt_B,2,25,41.330514392636445
fed_debt_B,3,25,44.70417745078011
fed_debt_B,4,25,38.46899709266032
fed_debt_B,5,25,21.458452142587532
fed_debt_B,6,25,-8.247021266615867
fed_debt_B,7,25,-54.42180915971434
fed_debt_B,8,25,-117.80703438983112
fed_debt_B,9,25,-198.06315822723204
fed_debt_B,0,50,16.537056237274108
fed_debt_B,1,50,34.63762034423148
fed_debt_B,2,50,48.58000717552815
fed_debt_B,3,50,54.97303950284871
fed_debt_B,4,50,52.20461650865391
fed_debt_B,5,50,40.016500473780496
fed_debt_B,6,50,15.71364483490016
fed_debt_B,7,50,-22.819080869257398
fed_debt_B,8,50,-75.02782903009042
fed_debt_B,9,50,-141.91471276551323
fed_debt_B,0,75,18.96802118572859
fed_debt_B,1,75,39.85517962721789
fed_debt_B,2,75,56.629500721639175
fed_debt_B,3,75,65.70380282711488
fed_debt_B,4,75,67.09428199258693
fed_debt_B,5,75,59.72921572328233
fed_debt_B,6,75,40.12717314823862
fed_debt_B,7,75,8.60963389265855
fed_debt_B,8,75,-35.26289771494621
fed_debt_B,9,75,-93.74154518250542
fed_debt_B,0,90,21.09269010499693
fed_debt_B,1,90,45.04952784052232
fed_debt_B,2,90,64.40898947503958
fed_debt_B,3,90,77.5584655051728
fed_debt_B,4,90,83.29870472156156
fed_debt_B,5,90,80.07820403282159
fed_debt_B,6,90,66.09034373897028
fed_debt_B,7,90,41.53938313671499
fed_debt_B,8,90,5.282935105852062
fed_debt_B,9,90,-39.71215156331762
fed_deficit_abs_pct_gdp,0,10,6.285493699271342
fed_deficit_abs_pct_gdp,1,10,5.999487423076373
fed_deficit_abs_pct_gdp,2,10,5.69922976552279
fed_deficit_abs_pct_gdp,3,10,5.402297539444255
fed_deficit_abs_pct_gdp,4,10,5.115137298676895
fed_deficit_abs_pct_gdp,5,10,4.838912391735468
fed_deficit_abs_pct_gdp,6,10,4.576063244884522
fed_deficit_abs_pct_gdp,7,10,4.319614947827519
fed_deficit_abs_pct_gdp,8,10,4.0769614678760275
fed_deficit_abs_pct_gdp,9,10,3.848082543818288
fed_deficit_abs_pct_gdp,0,25,6.289899034040499
fed_deficit_abs_pct_gdp,1,25,6.01812950616032
fed_deficit_abs_pct_gdp,2,25,5.73348721811559
fed_deficit_abs_pct_gdp,3,25,5.452243145641633
fed_deficit_abs_pct_gdp,4,25,5.180072003338822
fed_deficit_abs_pct_gdp,5,25,4.918129305831266
fed_deficit_abs_pct_gdp,6,25,4.664701243935724
fed_deficit_abs_pct_gdp,7,25,4.421012451013194
fed_deficit_abs_pct_gdp,8,25,4.187096694578068
fed_deficit_abs_pct_gdp,9,25,3.9666037762138133
fed_deficit_abs_pct_gdp,0,50,6.296470857308043
fed_deficit_abs_pct_gdp,1,50,6.040527677775593
fed_deficit_abs_pct_gdp,2,50,5.775697832960913
fed_deficit_abs_pct_gdp,3,50,5.513360242774574
fed_deficit_abs_pct_gdp,4,50,5.255912670652617
fed_deficit_abs_pct_gdp,5,50,5.009330968370532
fed_deficit_abs_pct_gdp,6,50,4.768132465224074
fed_deficit_abs_pct_gdp,7,50,4.535381514115194
fed_deficit_abs_pct_gdp,8,50,4.312338035237164
fed_deficit_abs_pct_gdp,9,50,4.101125042851866
fed_deficit_abs_pct_gdp,0,75,6.302693431366777
fed_deficit_abs_pct_gdp,1,75,6.065291469331906
fed_deficit_abs_pct_gdp,2,75,5.820980934237872
fed_deficit_abs_pct_gdp,3,75,5.576004040071697
fed_deficit_abs_pct_gdp,4,75,5.33906940983017
fed_deficit_abs_pct_gdp,5,75,5.109624761446105
fed_deficit_abs_pct_gdp,6,75,4.885388606609487
fed_deficit_abs_pct_gdp,7,75,4.66815496715055
fed_deficit_abs_pct_gdp,8,75,4.455202918243851
fed_deficit_abs_pct_gdp,9,75,4.252092644363829
fed_deficit_abs_pct_gdp,0,90,6.308404614881125
fed_deficit_abs_pct_gdp,1,90,6.086478934612104
fed_deficit_abs_pct_gdp,2,90,5.860436389494328
fed_deficit_abs_pct_gdp,3,90,5.632879083514132
fed_deficit_abs_pct_gdp,4,90,5.408176343132844
fed_deficit_abs_pct_gdp,5,90,5.1910908478328475
fed_deficit_abs_pct_gdp,6,90,4.978778753500822
fed_deficit_abs_pct_gdp,7,90,4.77035163381125
fed_deficit_abs_pct_gdp,8,90,4.5692765850798995
fed_deficit_abs_pct_gdp,9,90,4.3764304662560995
employment_drop_pct,0,10,0.44103993412605513
employment_drop_pct,1,10,0.939480597344281
employment_drop_pct,2,10,1.4685845985022195
employment_drop_pct,3,10,2.027221055018229
employment_drop_pct,4,10,2.621216855769587
employment_drop_pct,5,10,3.2562206538507312
employment_drop_pct,6,10,3.9217950766384235
employment_drop_pct,7,10,4.5498779721204405
employment_drop_pct,8,10,5.1671452268162925
employment_drop_pct,9,10,5.751475978510926
employment_drop_pct,0,25,0.5034767349318681
employment_drop_pct,1,25,1.0695485566454028
employment_drop_pct,2,25,1.6600713541998462
employment_drop_pct,3,25,2.2831557341246396
employment_drop_pct,4,25,2.9410659955354967
employment_drop_pct,5,25,3.6306781254084126
employment_drop_pct,6,25,4.356737128465954
employment_drop_pct,7,25,5.071242381280191
employment_drop_pct,8,25,5.763490814921349
employment_drop_pct,9,25,6.421575835567459
employment_drop_pct,0,50,0.5827751179428464
employment_drop_pct,1,50,1.228787479643878
employment_drop_pct,2,50,1.8974185231087848
employment_drop_pct,3,50,2.6008123717213563
employment_drop_pct,4,50,3.337449023313038
employment_drop_pct,5,50,4.115982266367595
employment_drop_pct,6,50,4.922620480751361
employment_drop_pct,7,50,5.730616116591341
employment_drop_pct,8,50,6.500125502503035
employment_drop_pct,9,50,7.21998742351952
employment_drop_pct,0,75,0.6572821586109945
employment_drop_pct,1,75,1.3859308448156527
employment_drop_pct,2,75,2.1386445880508393
employment_drop_pct,3,75,2.932061548926818
employment_drop_pct,4,75,3.7675692614598604
employment_drop_pct,5,75,4.648328036359079
employment_drop_pct,6,75,5.569381631056453
employment_drop_pct,7,75,6.459010688467034
employment_drop_pct,8,75,7.331995457716541
employment_drop_pct,9,75,8.145028978048197
employment_drop_pct,0,90,0.727946276027398
employment_drop_pct,1,90,1.5379878392902757
employment_drop_pct,2,90,2.371068977874937
employment_drop_pct,3,90,3.2437667588297128
employment_drop_pct,4,90,4.15914189800832
employment_drop_pct,5,90,5.108486362447882
employment_drop_pct,6,90,6.099249627678606
employment_drop_pct,7,90,7.095467910189244
employment_drop_pct,8,90,8.03963569442852
employment_drop_pct,9,90,8.934331792728807
state_gap_B,0,10,2.8037401433245983
state_gap_B,1,10,4.669263207208439
state_gap_B,2,10,5.558647530310816
state_gap_B,3,10,6.014485072501224
state_gap_B,4,10,6.273955298320359
state_gap_B,5,10,6.421862041721632
state_gap_B,6,10,6.509516464205387
state_gap_B,7,10,6.3540453588065695
state_gap_B,8,10,5.874722343907418
state_gap_B,9,10,5.322071978526906
state_gap_B,0,25,3.2001396328967795
state_gap_B,1,25,5.352244196711389
state_gap_B,2,25,6.324126590041053
state_gap_B,3,25,6.922132064200432
state_gap_B,4,25,7.242595523869689
state_gap_B,5,25,7.453496034855871
state_gap_B,6,25,7.605151340121118
state_gap_B,7,25,7.524611790543013
state_gap_B,8,25,7.171711572539712
state_gap_B,9,25,6.644160327449287
