group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-23.894118895039142,-40.30742661738323,-51.54730042004887,-60.65905127463983,-68.60577896671865,-76.73072091068286,-84.68603071915982,-92.73744418915894,-95.80263929441999,-99.82886114245905,-694.7993724297104
① Labour → capital,Labour taxes gained (survivors),flow,8.78457635004337,17.98956872283451,27.61391159539439,37.65872697280757,48.12575743881274,59.01684134551046,70.33254195127726,82.07429197052726,92.35406601404912,102.63923605869343,546.5895184199501
① Labour → capital,Capital-side recoveries,flow,9.03768597507975,18.72951402022268,28.868376389939158,39.45422880938645,50.48702877471555,61.96673548223138,73.89330976038667,86.26671400449611,97.08023857328779,107.85213534676481,573.6359671365103
① Labour → capital,Channel 1 net,subtotal,-6.071856569916022,-3.588343874326039,4.934987565284679,16.453904507554192,30.007007246809643,44.25285591705897,59.53982099250412,75.60356178586443,93.63166529291692,110.66251026299919,425.42611312675007
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,16.76269655745916,34.32223685747771,52.67862090005566,71.83184868519298,91.78192021288972,112.52883548314581,134.07259449596125,156.41319725133616,175.96484690775318,195.51649656417015,1041.8732939154418
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-0.8436386589442082,-1.5213590173007134,-1.973451851020018,-2.3325815520762347,-2.641155796182145,-2.9576745744960014,-3.2668564136393536,-3.5803914653938893,-3.718079657667718,-3.8620118315132097,-26.697200818233494
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,13.402574906785294,19.019621127510366,23.411369137376674,27.36905175850503,31.120629350927857,35.052908783904606,39.048285306740084,43.18350596610047,43.63204616834949,45.84912171391106,321.08911422011096
Net,Net fiscal impact (federal + state),net,-20.318070135645524,-24.12932401913712,-20.44983342311201,-13.247728803027073,-3.7547779003003576,6.242272558658364,17.224679272124682,28.839664354370072,46.281539466899716,60.95137671757492,77.63979808840567
