group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-10.75829362344662,-18.22414342208368,-23.41537628470739,-27.669366060968727,-31.409203371057465,-35.226722279736876,-38.969419175284884,-42.75372186303027,-44.41254266093265,-46.46563778177345,-319.3044265230221
Federal revenue changes,Payroll (FICA),flow,-10.512029908966749,-17.646890222830642,-22.452890230186465,-26.29970013493408,-29.623717241843295,-33.02759882333693,-36.35490108620818,-39.725786367570834,-40.79469980836189,-42.32355117073462,-298.7617649949737
Federal revenue changes,Corporate recovery,flow,8.106425055220909,16.61450846713828,25.52425023575211,34.83565036106239,44.54870884306915,54.66342568177235,65.179800877172,76.09783442926813,85.61006373292665,95.12229303658515,506.302960719967
Federal revenue changes,Windfall capital gains,flow,0.0,0.2082146165578615,0.417536104183957,0.6279201880355567,0.8393243642636407,1.0517078291731496,1.2650314112168262,1.479257505709304,1.6943500121526307,1.8678147232813067,9.451156754574232
Federal revenue changes,Compute-pool tax,flow,0.9312609198588424,1.9067909365265399,2.9265900500030924,3.990658260288499,5.098995567382761,6.251601971285878,7.448477471997848,8.689622069518675,9.77582482820851,10.862027586898344,57.88184966196899
Federal revenue changes,Survivor wage taxes,flow,7.799153052363904,15.971735478457957,24.51657331787239,33.4348552197647,42.72826593763175,52.398578078991626,62.446049557651335,72.87195795268359,81.99988312552546,91.13275691749772,485.2998086384404
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
