period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,swf_revenue_B,fed_vat_B,shareholder_cg_tax_B,shareholder_realized_B,shareholder_windfall_stock_B,shareholder_undist_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.05,150.89151443095668,3.0622855690433215,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,1.9890938509106837,81.45722350581524,2.2555702605123304,48.64709681548653,31.900283782119317,4.762129703823626,317.4753135882417,47.62129703823625,269.85401655000544,148.419709102503,80.95620496500163,40.47810248250081,0.0,66.60326356120228,66.60326356120228,0.9991771182270721,1.0073835780678408,66.65811530930804,66.65811530930804,0.22584947062621008,0.22584947062621008,0.0496294472785168,66.60326356120228,10.762497056079765,1.3599065926410008,40.478102482500056,0.0,0.0,0.0,0.0,0.0,1.0029589772684304,1.0029589772684304,1.0,0.9939629680939758,36.67600098902257,35.83646559875027,14.907202634258459,29.56500542354853,2.9565005423548536,0.0,0.0,0.0,0.0,0.0,107.81093084440928,24.956233991761405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.635779965845282,8.944756918042392,2.8760408827643453,4.174888757679538,14.635779965845282,0.0,14.635779965845282,0.0,0.0,0,True,0.24336000349408057,108.33324629985388,4960.668944496605,1899.6032635612023,6.441492031105722,3515.0
1,0.07142857142857144,149.31871462116922,1.329439806293386,1.2639196563096817,1.6740891493467074,0.09186856707129964,0.24336000349408057,0.03240819631563287,153.9538,1.164153218269348e-16,3.010698910212539,82.714366891253,2.2903808655311813,33.662830446877216,45.699259634651725,6.821209126187174,454.7472750791449,68.21209126187173,386.5351838172732,212.59435109950027,115.96055514518196,57.980277572590964,0.0,34.253685389802676,102.85504685784103,0.9988250390966913,1.0105761357276415,34.29397947490455,102.97603967844077,0.11137210277942296,0.33442190875741634,0.048778707849880795,34.253685389802676,15.417382953969446,1.9479635192759546,57.980277572590786,0.0,0.0,0.0,0.0,0.019890938509106837,1.0042883531237785,1.0042883531237785,1.0,0.9911449431423247,37.65112124490293,35.94714221815068,16.21279495736411,12.829119501474896,1.2829119501474897,0.0,0.0,0.0,0.8193630744175107,4.312437233776372,150.09619404162353,35.74273872115738,0.0,0.0,1.6536342072833936,0.0,0.0,0.0,0.0,0.0,0.0,15.002415063672661,9.116103428199372,3.213359166711031,4.6209159880382105,15.002415063672661,0.0,15.002415063672661,0.0,0.0,0,True,0.0012022541448494153,108.86843734406408,4979.24186327632,1867.2536853898027,6.071170649170472,3515.0
2,0.09285714285714286,147.97785353756606,1.339658829458277,1.0742953302069744,3.2204692340112784,0.1769701510542141,0.10201377645129608,0.06253914125187443,153.9538,1.164153218269348e-16,3.8816492106293787,81.83207088850591,2.265949875385499,32.28510813669032,59.57469088330147,8.891188563842773,592.745904256185,88.91188563842773,503.8340186177572,277.1087102397665,151.15020558532714,75.57510279266356,0.0,13.06288250036995,119.00358076394622,0.9984733313231765,1.0137855936230205,13.082855686349701,119.18553759091664,0.04072402265862746,0.3709980947429863,0.043114032282751014,13.06288250036995,20.097462178445817,2.539365441905212,75.57510279266265,0.0,0.0,0.0,0.0,0.019026517359611916,1.0056473813758624,1.0056473813758624,1.0,0.9881884828526608,37.68799039555918,35.12621827445119,15.135538699016083,12.924161236304485,1.2924161236304488,0.0,0.0,0.0,1.1407310747163388,6.003847761664942,190.92585618098107,46.583828976023696,0.0,0.0,3.1854627189758538,0.0,0.0,0.0,0.0,0.0,0.0,13.829516365506189,9.01786221849554,3.125611387546114,4.225408201369749,13.829516365506189,0.0,13.829516365506189,0.0,0.0,0,True,0.09980126656999648,89.83924411873659,5000.982280153927,1846.06288250037,5.75516978385644,3515.0
3,0.1142857142857143,146.5281744183729,1.3498778526231698,1.0038040355672382,4.587907029744602,0.25244918913771053,0.14222205574499283,0.08936541880936763,153.9538,2.328306436538696e-16,4.823281777797694,87.60164408777634,2.425710755563232,33.07385139449475,73.52657752806854,10.972068016790429,731.4712011193618,109.72068016790426,621.7505209514575,341.96278652330165,186.52515628543725,93.26257814271861,0.0,-0.8338998705932827,121.73978831627133,0.9981220089243275,1.017011951753978,-0.8354688736820598,121.96884471816213,-0.0024926718741211423,0.3639014191014741,0.0424272639256481,-0.8338998705932827,24.80211022758548,3.1338790889695773,93.26257814271715,0.0,0.0,0.0,0.0,0.017498966946814076,1.0070468961837933,1.0070468961837933,1.0,0.985093587224984,40.63942624703628,37.29522220382588,15.721875879464987,13.019202971134092,1.3019202971134092,0.0,0.0,0.0,1.4510365069754563,7.637034247239243,230.3581413047964,57.4795047563604,0.0,0.0,4.544085404478789,0.0,0.0,0.0,0.0,0.0,0.0,14.193641074278657,9.666995636914171,3.3277519824383974,4.332772543895669,14.193641074278657,0.0,14.193641074278657,0.0,0.0,0,True,0.04821523446283216,84.77436541975919,5016.919064125671,1832.1661001294067,5.476663407156525,3515.0
4,0.13571428571428573,145.11986230812204,1.3600968757880614,0.9826470396712282,5.940191462969772,0.3273263074557725,0.10759202737396825,0.11608397861917183,153.9538,1.164153218269348e-16,5.73804458992111,92.79945182164755,2.569639311433344,33.66783050167302,87.55491956895294,13.063847485030136,870.9231656686758,130.63847485030135,740.2846908183744,407.15657995010594,222.0854072455123,111.04270362275614,0.0,-15.494807838858938,109.89717412690054,0.9977710857027925,1.0202552101205138,-15.529421588665278,110.14267270482499,-0.044409308966143514,0.3149737390139202,0.04131409420578812,-15.494807838858938,29.53248795456751,3.7316369321946143,111.04270362275744,0.0,0.0,0.0,0.0,0.01786217289625114,1.0084825202180658,1.0084825202180658,1.0,0.9818602562592942,43.33980023865332,39.21466002517832,16.158015010205247,13.114244705963692,1.3114244705963694,0.0,0.0,0.0,1.7507218739164527,9.214325652191857,268.44894449369093,68.42976606216745,0.0,0.0,5.891873534203906,0.0,0.0,0.0,0.0,0.0,0.0,14.414859534140442,10.24499155781591,3.5059341230150625,4.395570785504088,14.414859534140442,0.0,14.414859534140442,0.0,0.0,0,True,0.06872772621916062,78.48985461573021,5033.458941089232,1817.5051921611412,5.209109429794521,3515.0
5,0.15714285714285717,143.6808186829499,1.370315898952953,0.9821425285863679,7.263429575183165,0.40083638574077024,0.11383325615928915,0.14242367242754356,153.9538,2.328306436538696e-16,6.672768919669469,99.37910816746526,2.751831590267377,34.71141586527627,101.65971700595472,15.166526968561898,1011.1017979041267,151.665269685619,859.4365282185076,472.69009052017924,257.8309584655523,128.91547923277614,0.0,-28.71212886843134,84.48196048227624,0.9974205752471803,1.023515368722628,-28.786381172571975,84.70043889092618,-0.07890180175380523,0.23215899205141544,0.04109187912198453,-28.71212886843134,34.28872518993142,4.332570664666682,128.91547923277597,0.0,0.0,0.0,0.0,0.018055794912497092,1.0099591832725905,1.0099591832725905,1.0,0.9784884899555915,46.64579860488699,41.754154531755155,16.939686397478756,13.209286440793287,1.320928644079329,0.0,0.0,0.0,2.0402119781520516,10.737957779747639,305.25192502506184,79.43461289344486,0.0,0.0,7.215054943333864,0.0,0.0,0.0,0.0,0.0,0.0,14.953211492911475,10.979155030823105,3.7441840997508224,4.562443027004232,14.953211492911475,0.0,14.953211492911475,0.0,0.0,0,True,0.05470610068059246,75.02636174229826,5048.876156650037,1804.2878711315686,4.95823784321835,3515.0
6,0.1785714285714286,142.24557766015147,1.3805349221178447,0.9904686214485083,8.590710489137921,0.4748251362517286,0.10263394798415611,0.16904922290836588,153.9538,3.4924596548080445e-16,7.605023286108247,105.7806425983837,2.9290916301089576,35.69564499126788,115.8409698390738,17.280106467385714,1152.0070978257143,172.80106467385716,979.2060331518571,538.5633182335215,293.7618099455571,146.88090497277852,0.0,-42.22596687766587,44.790452419078655,0.9970704909332038,1.0267924275603206,-42.35003167944993,44.922051977646255,-0.11125818226671627,0.11801516193786203,0.040695450523778536,-42.22596687766587,39.07067794047714,4.936723120165241,146.88090497277744,0.0,0.0,0.0,0.0,0.018640546218982368,1.0114763670989635,1.0114763670989635,1.0,0.9749782883138759,49.87367004858592,44.215322798317736,17.67596134196588,13.304328175622887,1.3304328175622888,0.0,0.0,0.0,2.3199146301904703,12.210077001002475,340.8185958052098,90.49404525019266,0.0,0.0,8.546852452531116,0.0,0.0,0.0,0.0,0.0,0.0,15.445198823842695,11.691649751480046,3.974916718848777,4.715355473679119,15.445198823842695,0.0,15.445198823842695,0.0,0.0,0,True,0.05711302579181431,71.11237675565471,5064.553108847786,1790.7740331223342,4.718382514551923,3515.0
7,0.2,140.79771068907692,1.3907539452827344,1.0027398226837982,9.917169055219441,0.5490342609982439,0.10051875881242832,0.19587346792642776,153.9538,2.328306436538696e-16,8.545478780597215,112.49244578592142,3.114943087016781,36.78041418143544,130.0986780683102,19.404585981501583,1293.6390654334389,194.04585981501583,1099.593205618423,604.7762630901328,329.87796168552694,164.9389808427634,0.0,-55.487403009382994,-9.353237017731987,0.9967208459248545,1.0300863866335916,-55.669953363819126,-9.384008627865251,-0.1401763503019407,-0.023628833889251744,0.04043485832074127,-55.487403009382994,43.87873281742362,5.544084330760223,164.93898084276267,0.0,0.0,0.0,0.0,0.019172659271503245,1.013036820169094,1.013036820169094,1.0,0.9713296513341473,53.23761673265556,46.81538982462774,18.489759011313044,13.399369910452469,1.339936991045247,0.0,0.0,0.0,2.5902213281195947,13.63274383220839,375.1984092241837,101.60806313241078,0.0,0.0,9.882616697968391,0.0,0.0,0.0,0.0,0.0,0.0,16.005733309773667,12.439439228638108,4.219093152225854,4.891285259669926,16.005733309773667,0.0,16.005733309773667,0.0,0.0,0,True,0.05169428797472812,67.758601458293,5080.059148629117,1777.512596990617,4.4904827933600515,3515.0
8,0.2,140.6983276263327,0.047688774769494645,1.0169344068169397,11.249548630152002,0.6238546368016127,0.09440214279974271,0.22304378232750352,153.9538,1.7462298274040223e-16,8.610032603071371,83.52464126349899,2.3128175592734244,16.397479490055442,130.45546991685774,19.455452719531166,1297.0301813020776,194.55452719531164,1102.4756541067661,606.3616097587214,330.74269623202986,165.3713481160149,0.0,-98.14268048779063,-107.77651461605458,0.9967125017300935,1.0301652543996243,-98.46638856985798,-108.13199837362943,-0.23838301650723895,-0.26178305437671257,0.024624824689062925,-98.14268048779063,43.99404464190662,5.558504697412445,165.37134811601575,0.0,0.0,0.0,0.0,0.019791153902835812,1.01307930133428,1.01307930133428,1.0,0.9706836197567537,40.5566942073679,33.70102377748943,12.727517967037988,0.44352809587145836,0.044352809587145825,0.0,0.0,0.0,2.851507910103796,15.007936368967348,361.2909170486988,101.86279558460579,0.0,0.0,11.229383462429027,0.0,0.0,0.0,0.0,0.0,0.0,10.138080878983976,9.26692327864167,3.203228870608765,3.2264334271459942,10.138080878983976,0.0,10.138080878983976,0.0,0.0,0,True,-0.05635723134219771,16.935933202707265,5105.343110013129,1734.8573195122094,4.21387024462239,3515.0
9,0.2,140.69076335197138,0.04768877476949458,0.4527000369159858,11.868324423647708,0.658625396533198,1.726455575544248e-05,0.23568075160647567,153.9538,3.4924596548080445e-16,8.614945943541896,69.24637752610766,1.9174489759640219,11.776753658148003,130.81226176540528,19.50631945756075,1300.4212971707166,195.0631945756075,1105.3581025951091,607.94695642731,331.6074307785327,165.80371538926633,0.0,-114.17702849635994,-225.18683855089617,0.9967041588128706,1.0302441221656569,-114.55458220657076,-225.93147280443384,-0.26664483778295817,-0.5258930699722596,0.015975086297552826,-114.17702849635994,44.10959659044156,5.573157378244504,165.80371538926744,0.0,0.0,0.0,0.0,0.01159741879278453,1.0131132719919713,1.0131132719919713,1.0,0.97003758817936,34.30753393969019,27.24746121248621,9.187532710559505,0.4435280958714576,0.04435280958714576,0.0,0.0,0.0,2.745810969570111,14.451636681947953,347.9397245602334,102.11752803680082,0.0,0.0,11.855257137597563,0.0,0.0,0.0,0.0,0.0,0.0,6.84051451583764,7.6913823739312726,2.576596668433828,2.1456928517170395,6.84051451583764,0.0,6.84051451583764,0.0,0.0,0,True,0.014580952599802207,6.498488790045757,5118.463346440389,1718.82297150364,4.01407602255844,3515.0
