group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-81.45722350581524,-82.71436689125298,-81.83207088850591,-87.60164408777634,-92.79945182164754,-99.37910816746526,-105.78064259838371,-112.4924457859214,-83.52464126349899,-69.24637752610768,-896.8279725363751
① Labour → capital,Labour taxes gained (survivors),flow,12.122403648720766,17.3653464732454,22.636827620351028,27.93598931655506,33.264124886762126,38.6212958545981,44.00740106064238,49.42281714818384,49.552549339319064,49.682753968686065,344.61150931706385
① Labour → capital,Capital-side recoveries,flow,36.66241348594294,53.339831835256405,69.60661052186059,85.94968205183443,102.36948892789952,118.86645595266867,135.44099093665,152.09348537793136,152.7624305464927,153.06439219253613,1060.1557818290728
① Labour → capital,Channel 1 net,subtotal,-32.67240637115153,-12.009188582751179,10.411367253705706,26.284027280613152,42.83416199301411,58.108643639801514,73.66774939890867,89.02385674019379,118.79033862231279,133.50076863511453,507.9393186097616
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,80.95620496500163,115.96055514518196,151.15020558532714,186.52515628543725,222.0854072455123,257.8309584655523,293.7618099455571,329.87796168552694,330.74269623202986,331.6074307785327,2300.4983863336593
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-2.8760408827643453,-3.213359166711031,-3.125611387546114,-3.3277519824383974,-3.5059341230150625,-3.7441840997508224,-3.974916718848777,-4.219093152225854,-3.203228870608765,-2.576596668433828,-33.766717052343
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,45.690596273131675,34.03355270401312,34.17815473203572,36.31601650186013,38.24827956528056,40.60554216453081,42.91206462623671,45.32309388835858,27.58251014289732,23.58765798615842,368.4774685845031
Net,Net fiscal impact (federal + state),net,-81.23904352704756,-49.25610045347533,-26.89239886587613,-13.359741203685378,1.0799483047184921,13.758917375519879,26.78076805382318,39.48166969960936,88.0045996088067,107.33651398052227,105.69513297291552
