group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-36.67600098902257,-37.65112124490293,-37.68799039555918,-40.63942624703628,-43.33980023865332,-46.64579860488699,-49.87367004858592,-53.23761673265556,-40.5566942073679,-34.30753393969019,-420.6156526483609
Federal revenue changes,Payroll (FICA),flow,-35.83646559875027,-35.94714221815068,-35.12621827445119,-37.29522220382588,-39.21466002517832,-41.754154531755155,-44.215322798317736,-46.81538982462774,-33.70102377748943,-27.24746121248621,-377.1530604650326
Federal revenue changes,Corporate recovery,flow,31.900283782119317,45.699259634651725,59.57469088330147,73.52657752806854,87.55491956895294,101.65971700595472,115.8409698390738,130.0986780683102,130.45546991685774,130.81226176540528,907.1228279926958
Federal revenue changes,Windfall capital gains,flow,0.0,0.8193630744175107,1.1407310747163388,1.4510365069754563,1.7507218739164527,2.0402119781520516,2.3199146301904703,2.5902213281195947,2.851507910103796,2.745810969570111,17.709519346161784
Federal revenue changes,Compute-pool tax,flow,4.762129703823626,6.821209126187174,8.891188563842773,10.972068016790429,13.063847485030136,15.166526968561898,17.280106467385714,19.404585981501583,19.455452719531166,19.50631945756075,135.32343449021525
Federal revenue changes,Survivor wage taxes,flow,10.762497056079765,15.417382953969446,20.097462178445817,24.80211022758548,29.53248795456751,34.28872518993142,39.07067794047714,43.87873281742362,43.99404464190662,44.10959659044156,305.9537175508284
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,2.9565005423548536,1.2829119501474897,1.2924161236304488,1.3019202971134092,1.3114244705963694,1.320928644079329,1.3304328175622888,1.339936991045247,0.044352809587145825,0.04435280958714576,12.225177455703726
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-22.131055503395288,-3.558136723680269,18.182280153926474,34.11906412567115,50.65894108923178,66.07615665003726,81.75310884778574,97.25914862911694,122.54311001312915,135.66334644038844,580.5659637222113
Federal outlay changes,Means-tested transfers,flow,14.907202634258459,16.21279495736411,15.135538699016083,15.721875879464987,16.158015010205247,16.939686397478756,17.67596134196588,18.489759011313044,12.727517967037988,9.187532710559505,153.15588460866405
Federal outlay changes,Unemployment insurance,flow,29.56500542354853,12.829119501474896,12.924161236304485,13.019202971134092,13.114244705963692,13.209286440793287,13.304328175622887,13.399369910452469,0.44352809587145836,0.4435280958714576,122.25177455703724
Federal outlay changes,SSDI,flow,0.0,1.6536342072833936,3.1854627189758538,4.544085404478789,5.891873534203906,7.215054943333864,8.546852452531116,9.882616697968391,11.229383462429027,11.855257137597563,64.0042205588019
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,44.47220805780699,30.6955486661224,31.24516265429642,33.28516425507787,35.16413325037284,37.364027781605905,39.527141970119885,41.771745619733906,24.400429525338474,21.486317944028528,339.41187972450325
Net,Net fiscal impact (federal),net,-66.60326356120228,-34.25368538980267,-13.062882500369945,0.8338998705932781,15.49480783885894,28.712128868431357,42.225966877665854,55.48740300938303,98.14268048779067,114.17702849635991,241.15408399770814
