period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_target_M,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.05,151.70812391603488,2.245676083965103,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,1.4586688240011747,59.735297237597855,1.6540848577090428,35.67453766469013,22.517847375613638,6.286011209047186,232.81522996471057,23.281522996471057,209.5337069682395,104.76685348411975,104.76685348411975,0.0,0.0,54.81680242437084,54.81680242437084,0.9982203119892957,1.0046411062140714,54.91453316065028,54.91453316065028,0.18656804710517805,0.18656804710517805,0.039923432943572715,54.81680242437084,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,26.895734058616554,26.280074772416878,10.931948598456204,21.68100397726893,2.168100397726893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73017014288994,6.559488406564423,2.1090966473605204,3.0615850889649945,11.73017014288994,0.0,11.73017014288994,0.0,0.0,0,True,0.2571745060041664,0.2571745060041664,103.0345735982998,4960.596150151355,1887.8168024243707,6.425152116572022,3515.0
1,0.1,148.99337207559512,2.45757733443562,1.4669879018502034,0.6737028251895307,0.06737028251895308,0.2571745060041664,0.03761507440641547,153.9538,5.82076609134674e-17,3.2220237008796726,116.08135547702788,3.214320866156851,52.94659951755356,46.597699471713504,12.990365382938053,481.1246438125204,48.112464381252046,433.0121794312683,216.50608971563415,216.50608971563415,0.0,0.0,96.87390524125658,153.33521173835854,0.9963402153820518,1.0095910846317042,97.22974516702588,153.8984469070752,0.31606849971525236,0.5002836440522018,0.08053550958457974,96.87390524125658,-7.847056526503042,-0.9917726567897798,0.0,0.0,0.0,0.0,-0.002188003236001762,0.014586688240011747,0.9978119967639982,1.0,52.51987490034517,50.77387273859473,22.816841040435623,23.657399782987106,2.365739978298711,0.0,0.0,0.0,1.2126650853411556,0.0,0.0,0.0,0.0,0.0,0.0,24.683855971352916,12.787607838087977,4.432116782344339,6.472358694130826,24.683855971352916,0.0,24.683855971352916,0.0,0.0,0,True,0.5939798207870666,0.33680531478290027,237.97249000955975,4933.613000667508,1929.8739052412566,6.296559928601335,3515.0
2,0.15000000000000002,145.98708817590605,2.6694785849061384,2.563722240603714,1.9282247478765278,0.19282247478765271,0.5048045608301219,0.1076592150897728,153.9538,1.164153218269348e-16,5.174741918740522,167.0747905331864,4.62634144142022,68.07878550069985,72.23955628829961,20.113062521672596,744.9282415434293,74.49282415434294,670.4354173890864,335.2177086945432,335.2177086945432,0.0,0.0,130.46471248696054,288.3999805774699,0.9943628960580629,1.0148499352528981,131.20432490407651,290.03493766789705,0.4079815819591723,0.90186747105851,0.11290410900709758,130.46471248696054,-14.526475125585756,-1.8361351511399988,0.0,0.0,0.0,0.0,-0.0041409972838753585,0.027606648559169056,0.9958590027161246,1.0,75.97401593973011,72.66007495058956,33.115544705014806,25.633795588705294,2.5633795588705293,0.0,0.0,0.0,3.470804546177749,0.0,0.0,0.0,0.0,0.0,0.0,36.10457621511332,18.440699642866736,6.498296214126839,9.32944520697974,36.10457621511332,0.0,36.10457621511332,0.0,0.0,0,True,0.8892959680509991,0.3844914072208771,356.2881573857773,4914.555432352938,1963.4647124869605,6.140031463308548,3515.0
3,0.2,142.72121693330854,2.881379835376654,3.418588439264311,3.64962636377852,0.3649626363778519,0.7142549865831543,0.2037708053109674,153.9538,1.7462298274040223e-16,7.296073930420333,214.44553933235443,5.938048956248242,81.69862166671851,99.44341782537192,27.654102625250815,1024.2260231574376,102.42260231574376,921.8034208416938,460.9017104208469,460.9017104208469,0.0,0.0,157.1596022911459,454.2115822859398,0.992291652721675,1.0204176580776532,158.38045383137685,457.7400011782023,0.47096053201976923,1.3611368654817415,0.13901339987703165,157.1596022911459,-19.802334721008805,-2.503112993216165,0.0,0.0,0.0,0.0,-0.005782557655527515,0.03855038437018343,0.9942174423444725,1.0,97.97787468525253,92.76009449234078,42.29831913338407,27.61019139442345,2.761019139442346,0.0,0.0,0.0,6.569327454801336,0.0,0.0,0.0,0.0,0.0,0.0,46.388793014394786,23.707570154761125,8.387998727506494,11.790111138910987,46.388793014394786,0.0,46.388793014394786,0.0,0.0,0,True,1.1514016183200344,0.43714663173687995,461.2983480643883,4902.118235691463,1990.1596022911458,5.963915735564925,3515.0
4,0.25,139.1907892157245,3.093281085847173,4.115454275409211,5.753893342145756,0.5753893342145756,0.9037337017223253,0.3212590449364714,153.9538,1.164153218269348e-16,9.589247413363944,260.0872109236362,7.201877904137881,94.47651061176319,128.20928408293048,35.613485693672715,1319.017988654545,131.9017988654545,1187.1161897890904,593.5580948945452,593.5580948945452,0.0,0.0,179.3443020282472,647.1822317827651,0.9901298840834162,1.0262942531059698,181.13209682007522,653.6336718913147,0.514933413898505,1.8581898184524657,0.16088329268477025,179.3443020282472,-24.014864448688417,-3.035657208622591,0.0,0.0,0.0,0.0,-0.0071992043867431625,0.04799469591162109,0.9928007956132568,1.0,119.33531999118722,111.95882995561404,50.87312091337091,29.58658720014164,2.958658720014164,0.0,0.0,0.0,10.35700801586236,0.0,0.0,0.0,0.0,0.0,0.0,56.03346191133644,28.793060976834916,10.18794122762832,14.016802498250621,56.03346191133644,0.0,56.03346191133644,0.0,0.0,0,True,1.3934748466672697,0.489741144944944,558.2827352412306,4894.272414101128,2012.3443020282473,5.777843564940255,3515.0
5,0.3,135.39586573446184,3.305182336317688,4.709106374740733,8.187634061039368,0.8187634061039367,1.080105185595053,0.45714290174136474,153.9538,3.4924596548080445e-16,12.054222932813708,305.13898951212343,8.449372571816106,106.81580925464077,158.53715506097524,43.99121172693829,1629.3041380347513,162.93041380347512,1466.3737242312761,733.1868621156381,733.1868621156381,0.0,0.0,198.5769264730506,865.1746252092988,0.9878810759961073,1.0324797203378473,201.01298759349154,875.788236288381,0.546181273034641,2.3796429252228015,0.17975868609463688,198.5769264730506,-27.49836419405853,-3.475926055846206,0.0,0.0,0.0,0.0,-0.008482439667258762,0.05654959778172508,0.9915175603327412,1.0,140.5287798358304,130.78874728806127,59.144975927869275,31.562983005859802,3.1562983005859806,0.0,0.0,0.0,14.737741309870861,0.0,0.0,0.0,0.0,0.0,0.0,65.35545825871424,33.82146238823174,11.950219493724624,16.107850320911677,65.35545825871424,0.0,65.35545825871424,0.0,0.0,0,True,1.6244232224704642,0.5443180368754109,650.810053729466,4889.66877377055,2031.5769264730507,5.587805651324965,3515.0
6,0.35000000000000003,132.07611848744506,2.7754292101413984,5.235334100498914,10.91595223003541,1.091595223003541,1.2498967493653794,0.6094739995103103,153.9538,3.4924596548080445e-16,14.210549861422672,336.5448506680774,9.31900847861929,107.88439728063099,184.96001423780447,51.32308034809467,1900.85482770721,190.085482770721,1710.769344936489,855.3846724682445,855.3846724682445,0.0,0.0,201.15165334965036,1092.2815173152283,0.9859349980732631,1.0378930070608219,204.0212120908027,1107.8636212831373,0.5302535873187011,2.879350894081629,0.18886248668107275,201.15165334965036,-30.578806642115012,-3.865351456625205,0.0,0.0,0.0,0.0,-0.009687335369536754,0.06458223579691169,0.9903126646304632,1.0,155.99094526043476,143.2272504298533,64.02923744667477,26.621993491564393,2.66219934915644,0.0,0.0,0.0,19.64871401406374,0.0,0.0,0.0,0.0,0.0,0.0,71.64496829474683,37.32665497778929,13.21979551794048,17.233166342391826,71.64496829474683,0.0,71.64496829474683,0.0,0.0,0,True,1.793272010825133,0.5433752614597536,718.4577501556079,4891.948291602653,2034.1516533496504,5.36220405538513,3515.0
7,0.4,128.7573140158439,2.7754292101413953,5.233031132675785,13.694150248037118,1.3694150248037118,1.3598703129826877,0.7645900555154058,153.9538,2.328306436538696e-16,16.36626441449066,366.7313732202298,10.154880603969339,112.63618768768939,211.38287341463368,58.65494896925105,2172.4055173796683,217.24055173796685,1955.1649656417017,977.5824828208508,977.5824828208508,0.0,0.0,203.68889918728826,1328.7388620219733,0.9840091149443052,1.0433062937837965,206.99899634447698,1350.3318636404906,0.5146167893514062,3.3570377658698782,0.19453912376715532,203.68889918728826,-31.10402479347722,-3.9316926534685566,0.0,0.0,0.0,0.0,-0.010126480274506022,0.06750986849670682,0.989873519725494,1.0,170.929811888486,155.10391096971296,67.97970933062209,26.621993491564364,2.662199349156437,0.0,0.0,0.0,24.64947044646681,0.0,0.0,0.0,0.0,0.0,0.0,76.9999362417483,40.697650362030856,14.336108360745985,18.03448486550294,76.9999362417483,0.0,76.9999362417483,0.0,0.0,0,True,1.9252950772655777,0.56542476428289,771.3515636489674,4898.362274081365,2036.6888991872884,5.145662362501601,3515.0
8,0.45,125.4164600414196,2.775429210141396,5.2315267189453225,16.504649444777076,1.6504649444777075,1.453760046238831,0.9215095940000536,153.9538,3.4924596548080445e-16,18.536301123181374,396.6793855494402,10.98414832344177,117.30360183002493,237.80573259146288,65.98681759040743,2443.956207052127,244.3956207052127,2199.560586346914,1099.780293173457,1099.780293173457,0.0,0.0,205.7748187753654,1574.375846657998,0.9821031138844262,1.048719580506771,209.52465771285696,1603.0657314902583,0.4982759918444919,3.8122919568010816,0.19920562439405354,205.7748187753654,-31.395787983652077,-3.9684695172122333,0.0,0.0,0.0,0.0,-0.010514199091921932,0.07009466061281289,0.989485800908078,1.0,185.77376440884436,166.8606357905914,71.86901763114122,26.621993491564368,2.662199349156437,0.0,0.0,0.0,29.708369000598736,0.0,0.0,0.0,0.0,0.0,0.0,82.2666593005609,44.044985350004445,15.440613726024889,18.812590707319348,82.2666593005609,0.0,82.2666593005609,0.0,0.0,0,True,2.0540184356257947,0.6002583893869639,822.9233797938041,4905.224561347939,2038.7748187753655,4.936816618372773,3515.0
9,0.5,122.04077244189125,2.7754292101413953,5.230543960675899,19.342864237374744,1.9342864237374742,1.5499271395924799,1.0799765865867565,153.9538,2.328306436538696e-16,20.728963856760107,426.808972759548,11.81844389537199,122.01943805160047,264.22859176829206,73.31868621156381,2715.5068967245857,271.55068967245853,2443.956207052127,1221.9781035260635,1221.9781035260635,0.0,0.0,208.00442338529285,1829.6115454430308,0.9802166885925592,1.0541328672297456,212.20249135316732,1866.537844882107,0.4827429985490031,4.2462181777308015,0.20320323330851148,208.00442338529285,-31.58101404828994,-3.9917242197554432,0.0,0.0,0.0,0.0,-0.010891016095679811,0.07260677397119875,0.9891089839043202,1.0,200.7068935294066,178.6877597240103,75.79908429375936,26.62199349156436,2.662199349156436,0.0,0.0,0.0,34.81715562727454,0.0,0.0,0.0,0.0,0.0,0.0,87.55625975189267,47.414319506131044,16.551855759729417,19.59836026627675,87.55625975189267,0.0,87.55625975189267,0.0,0.0,0,True,2.1826275081171524,0.6327003685246727,874.4494083683675,4912.033810027306,2041.0044233852927,4.736825204778124,3515.0
