group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-59.73529723759786,-116.13436615560887,-167.37025843551015,-215.29188002073604,-261.89258092820864,-308.4033700576831,-341.8554535244605,-374.05012422601175,-405.9627869084035,-438.04741789530186,-2688.743535389522
① Labour → capital,Labour taxes gained (survivors),flow,0.0,-8.838829183292821,-16.373782091968522,-22.366990602430146,-27.224949925352423,-31.341642905571142,-35.101060930692796,-36.09177770676824,-36.79317067430328,-37.3502913097162,-251.4824953300956
① Labour → capital,Capital-side recoveries,flow,28.803858584660823,60.1664387895345,93.5229251612949,128.87277536067975,166.21546874199728,205.5505054853833,239.94618886511375,274.22450042419405,308.4818686328305,342.719131225041,1848.50366127073
① Labour → capital,Channel 1 net,subtotal,-30.93143865293704,-64.80675654936718,-90.22111536618375,-108.78609526248644,-122.90206211156377,-134.19450747787093,-137.01032559003954,-135.91740150858595,-134.27408894987622,-132.67857797997704,-1091.7223694488878
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,104.76685348411975,216.50608971563415,335.2177086945432,460.9017104208469,593.5580948945452,733.1868621156381,855.3846724682445,977.5824828208508,1099.780293173457,1221.9781035260635,6598.862871313942
③ Taxable → consumer surplus,Consumption tax change (incl. federal VAT),flow,-2.1090966473605204,-4.434588481508133,-6.512071131813438,-8.427528182435443,-10.272438941674022,-12.103327879288788,-13.469404824172187,-14.680690355707316,-15.878536130884902,-17.08308563642273,-104.97076821126748
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,33.50643726696323,51.813834396544614,69.10192820109422,85.84774725946401,102.62302036124166,119.7890102671387,127.19901824095217,137.93888071866306,148.7030873492952,159.62871366777978,1036.1516777291365
Net,Net fiscal impact (federal + state),net,-66.5469725672608,-121.05517942741992,-165.83511469909143,-203.0613707043859,-235.79752141447943,-266.08684562429846,-277.6787486551639,-288.5369725829563,-298.8557124300563,-309.3903772841795,-2232.844815389292
