lever,tag,spearman,eta2,eta2_debiased,nonmonotone_flag,target
ubi_annual,policy,0.81753,0.6317,0.631,False,final_fed_deficit_B
ubi_recapture_rate,policy,-0.32001,0.1195,0.1179,False,final_fed_deficit_B
compute_effective_rate,policy,-0.1619,0.0306,0.0287,False,final_fed_deficit_B
retained_profit_share,uncertainty,-0.16119,0.032,0.0302,False,final_fed_deficit_B
price_reduction_share,uncertainty,0.14167,0.0254,0.0236,False,final_fed_deficit_B
reabsorption_rate,uncertainty,-0.10384,0.0139,0.0121,False,final_fed_deficit_B
automation_tax_frac,policy,-0.098346,0.0159,0.014,False,final_fed_deficit_B
auto_cost,uncertainty,0.085671,0.0096,0.0077,False,final_fed_deficit_B
lfp_exit_rate,uncertainty,0.066212,0.0066,0.0047,False,final_fed_deficit_B
reemployment_haircut,uncertainty,0.057935,0.0055,0.0036,False,final_fed_deficit_B
survivor_elasticity,uncertainty,-0.055511,0.0048,0.0029,False,final_fed_deficit_B
attrition_rate,uncertainty,-0.035307,0.0018,0,False,final_fed_deficit_B
demand_multiplier,uncertainty,0.027657,0.0025,0.0006,False,final_fed_deficit_B
productivity_passthrough,uncertainty,-0.027068,0.0023,0.0004,False,final_fed_deficit_B
physical_feasibility,uncertainty,0.021161,0.0017,0,False,final_fed_deficit_B
interest_rate,policy,-0.018448,0.0017,0,False,final_fed_deficit_B
cognitive_feasibility,uncertainty,-0.016117,0.0021,0.0002,False,final_fed_deficit_B
robotics_lag,uncertainty,0.015157,0.0017,0,False,final_fed_deficit_B
price_passthrough,uncertainty,0.01353,0.0014,0,False,final_fed_deficit_B
adoption_end,uncertainty,-0.013101,0.0029,0.001,False,final_fed_deficit_B
baseline_growth_rate,uncertainty,0.011807,0.0018,0,False,final_fed_deficit_B
state_cut_share,policy,0.0090542,0.0012,0,False,final_fed_deficit_B
state_rate_hike_cap,policy,0.0079177,0.0015,0,False,final_fed_deficit_B
ui_weeks,uncertainty,-0.0029559,0.0021,0.0002,False,final_fed_deficit_B
survivor_raise_ceiling,uncertainty,-0.0025807,0.0018,0,False,final_fed_deficit_B
survivor_spillover_to_profit,uncertainty,-0.00063463,0.0014,0,False,final_fed_deficit_B
