lever,no-instruments,status-quo,compute-20,compute-40,auto-25,auto-50,max-revenue
cognitive_feasibility,0.103,0.078,0.041,0.003,0.046,0.018,0.062
physical_feasibility,0.04,0.034,0.023,0.001,0.024,0.013,0.009
robotics_lag,0.004,0.004,0.003,0.0,0.003,0.002,0.0
adoption_end,0.277,0.224,0.136,0.001,0.141,0.065,0.105
ui_weeks,0.004,0.004,0.003,0.0,0.004,0.003,0.002
reabsorption_rate,0.067,0.094,0.123,0.116,0.096,0.084,0.055
reemployment_haircut,0.031,0.043,0.055,0.05,0.042,0.036,0.022
lfp_exit_rate,0.037,0.05,0.063,0.056,0.052,0.047,0.029
attrition_rate,0.003,0.005,0.006,0.004,0.003,0.001,0.0
survivor_elasticity,0.042,0.062,0.085,0.089,0.065,0.059,0.048
survivor_raise_ceiling,0.0,0.0,0.001,0.002,0.0,0.001,0.0
survivor_spillover_to_profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retained_profit_share,0.0,0.0,0.0,0.0,0.019,0.073,0.222
price_reduction_share,0.038,0.054,0.072,0.071,0.093,0.124,0.17
auto_cost,0.085,0.031,0.001,0.153,0.084,0.143,0.008
baseline_growth_rate,0.0,0.0,0.001,0.001,0.001,0.0,0.0
demand_multiplier,0.039,0.055,0.074,0.072,0.056,0.048,0.034
price_passthrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0
productivity_passthrough,0.002,0.002,0.003,0.004,0.002,0.001,0.0
_sum_first_order,0.772,0.74,0.69,0.623,0.731,0.718,0.766
